rgn_id,iso3c,notes,ID_0,Country
250,ABW,NA,14,Aruba
200,AGO,NA,8,Angola
118,AIA,NA,9,Anguilla
82,ALB,NA,4,Albania
54,ARE,NA,241,United Arab Emirates
172,ARG,NA,12,Argentina
151,ASM,NA,6,American Samoa
213,ATA,NA,10,Antarctica
120,ATG,NA,11,Antigua and Barbuda
16,AUS,NA,15,Australia
59,BEL,NA,23,Belgium
99,BEN,NA,25,Benin
204,BGD,NA,20,Bangladesh
71,BGR,NA,37,Bulgaria
52,BHR,NA,19,Bahrain
110,BHS,NA,18,Bahamas
232,BIH,NA,30,Bosnia and Herzegovina
164,BLZ,NA,24,Belize
108,BMU,NA,26,Bermuda
171,BRA,NA,33,Brazil
124,BRB,NA,21,Barbados
247,BRN,NA,36,Brunei
105,uninhabited_island,"uninhabited island, iso3c BVT; admin country = Norway",400,Bouvet Island
218,CAN,NA,42,Canada
1,CCK,NA,52,Cocos Islands
224,CHL,NA,48,Chile
209,CHN/MAC/HKG,NA,49,China_Macao_HongKong
195,CIV,NA,57,Côte d'Ivoire
197,CMR,NA,41,Cameroon
199,COD,NA,301,Democratic Republic of the Congo
100,COG,NA,185,Republic of Congo
153,COK,NA,55,Cook Islands
132,COL,NA,53,Colombia
28,COM,NA,54,Comoros
56,CPV,NA,43,Cape Verde
130,CRI,NA,56,Costa Rica
112,CUB,NA,59,Cuba
244,CUW,NA,60,Curaçao
2,CXR,NA,50,Christmas Island
113,CYM,NA,45,Cayman Islands
81,CYP,NA,61,Cyprus
176,DEU,NA,86,Germany
46,DJI,NA,65,Djibouti
123,DMA,NA,66,Dominica
175,DNK,NA,64,Denmark
115,DOM,NA,67,Dominican Republic
84,DZA,NA,5,Algeria
137,ECU,NA,68,Ecuador
214,EGY,NA,69,Egypt
45,ERI,NA,72,Eritrea
63,ESH,NA,253,Western Sahara
182,ESP,NA,215,Spain
70,EST,NA,73,Estonia
174,FIN,NA,78,Finland
18,FJI,NA,77,Fiji
95,FLK,NA,75,Falkland Islands
179,FRA,NA,79,France
141,FRO,NA,76,Faroe Islands
198,GAB,NA,83,Gabon
180,GBR,NA,242,United Kingdom
74,GEO,NA,85,Georgia
228,GGY,NA,95,Guernsey
106,GHA,NA,87,Ghana
60,GIB,NA,88,Gibraltar
194,GIN,NA,96,Guinea
65,GMB,NA,84,Gambia
193,GNB,NA,97,Guinea-Bissau
104,GNQ,NA,71,Equatorial Guinea
80,GRC,NA,89,Greece
125,GRD,NA,91,Grenada
145,GRL,NA,90,Greenland
136,GTM,NA,94,Guatemala
169,GUF,NA,80,French Guiana
167,GUY,NA,98,Guyana
94,uninhabited_island,"uninhabited island, iso3c: HMD; admin country: AUS",400,Heard and McDonald Islands
133,HND,NA,101,Honduras
187,HRV,NA,58,Croatia
114,HTI,NA,99,Haiti
216,IDN,NA,106,Indonesia
34,IND,NA,105,India
203,IND,NA,105,India
38,IOT,NA,34,British Indian Ocean Territory
181,IRL,NA,109,Ireland
191,IRN,NA,107,Iran
192,IRQ,NA,108,Iraq
143,ISL,NA,104,Iceland
79,ISR,NA,111,Israel
184,ITA,NA,112,Italy
166,JAM,NA,113,Jamaica
227,JEY,NA,115,Jersey
215,JOR,NA,116,Jordan
210,JPN,NA,114,Japan
43,KEN,NA,118,Kenya
24,KHM,NA,40,Cambodia
212,KIR,NA,119,Kiribati
