rgn_typ,rgn_id,rgn_nam,iso3c,notes
eez,250,Aruba,ABW,
eez,200,Angola,AGO,
eez,118,Anguilla,AIA,
eez,82,Albania,ALB,
eez,54,United Arab Emirates,ARE,
eez,172,Argentina,ARG,
eez,151,American Samoa,ASM,
eez,213,Antarctica,ATA,
eez,120,Antigua and Barbuda,ATG,
eez,16,Australia,AUS,
eez,59,Belgium,BEL,
eez,99,Benin,BEN,
eez,204,Bangladesh,BGD,
eez,71,Bulgaria,BGR,
eez,52,Bahrain,BHR,
eez,110,Bahamas,BHS,
eez,232,Bosnia and Herzegovina,BIH,
eez,164,Belize,BLZ,
eez,108,Bermuda,BMU,
eez,171,Brazil,BRA,
eez,124,Barbados,BRB,
eez,247,Brunei,BRN,
eez,105,Bouvet Island,uninhabited_island,"uninhabited island, iso3c BVT; admin country = Norway"
eez,218,Canada,CAN,
eez,1,Cocos Islands,CCK,
eez,224,Chile,CHL,
eez,209,China,CHN/MAC/HKG,
eez,195,Ivory Coast,CIV,
eez,197,Cameroon,CMR,
eez,199,Democratic Republic of the Congo,COD,
eez,100,Republique du Congo,COG,
eez,153,Cook Islands,COK,
eez,132,Colombia,COL,
eez,28,Comoro Islands,COM,
eez,56,Cape Verde,CPV,
eez,130,Costa Rica,CRI,
eez,112,Cuba,CUB,
eez,244,Curacao,CUW,
eez,2,Christmas Island,CXR,
eez,113,Cayman Islands,CYM,
eez,81,Cyprus,CYP,
eez,176,Germany,DEU,
eez,46,Djibouti,DJI,
eez,123,Dominica,DMA,
eez,175,Denmark,DNK,
eez,115,Dominican Republic,DOM,
eez,84,Algeria,DZA,
eez,137,Ecuador,ECU,
eez,214,Egypt,EGY,
eez,45,Eritrea,ERI,
eez,63,Western Sahara,ESH,
eez,182,Spain,ESP,
eez,70,Estonia,EST,
eez,174,Finland,FIN,
eez,18,Fiji,FJI,
eez,95,Falkland Islands,FLK,
eez,179,France,FRA,
eez,141,Faeroe Islands,FRO,
eez,198,Gabon,GAB,
eez,180,United Kingdom,GBR,
eez,74,Georgia,GEO,
eez,228,Guernsey,GGY,
eez,106,Ghana,GHA,
eez,60,Gibraltar,GIB,
eez,194,Guinea,GIN,
eez,65,Gambia,GMB,
eez,193,Guinea Bissau,GNB,
eez,104,Equatorial Guinea,GNQ,
eez,80,Greece,GRC,
eez,125,Grenada,GRD,
eez,145,Greenland,GRL,
eez,136,Guatemala,GTM,
eez,169,French Guiana,GUF,
eez,167,Guyana,GUY,
