iso3c,ID_0,Country,fao_country,proportional_change_headcount,gapfilled
AFG,1,Afghanistan,Afghanistan,1.0531502172563625,NA
CYP,61,Cyprus,Cyprus,0.9694733310969473,NA
ALA,3,Åland,NA,1.1035311355311355,gf with mean global prop change
ALB,4,Albania,Albania,1.4938036224976168,NA
DZA,5,Algeria,Algeria,1.0715714285714286,NA
ASM,6,American Samoa,American Samoa,1,NA
AND,7,Andorra,NA,1.1035311355311355,gf with mean global prop change
AGO,8,Angola,Angola,2.132133886325136,NA
AIA,9,Anguilla,NA,1.1035311355311355,gf with mean global prop change
ATG,11,Antigua and Barbuda,Antigua and Barbuda,1.0533333333333332,NA
ARG,12,Argentina,Argentina,1.207142857142857,NA
ARM,13,Armenia,Armenia,0.9754475703324809,NA
ABW,14,Aruba,Aruba,1.1035311355311355,gf with mean global prop change
AUS,15,Australia,Australia,1.1443919830410483,NA
AUT,16,Austria,Austria,1.0693929712460064,NA
AZE,17,Azerbaijan,Azerbaijan,1.4408037825059101,NA
BHS,18,Bahamas,Bahamas,1.0543333333333333,NA
BHR,19,Bahrain,Bahrain,1.0207547169811322,NA
BGD,20,Bangladesh,Bangladesh,1.2067577345582914,NA
BRB,21,Barbados,Barbados,1.0183333333333333,NA
BLR,22,Belarus,Belarus,1.4375,NA
BEL,23,Belgium,Belgium,0.7826909090909091,NA
BLZ,24,Belize,Belize,1.0594771241830065,NA
BEN,25,Benin,Benin,1.2473111782477342,NA
BMU,26,Bermuda,Bermuda,1.02,NA
BTN,27,Bhutan,Bhutan,3.0601719197707737,NA
BOL,28,Bolivia,Bolivia (Plurinational State of),1.1395183411119298,NA
BES,29,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",0.9818181818181818,NA
BIH,30,Bosnia and Herzegovina,Bosnia and Herzegovina,0.774227294341417,NA
BWA,31,Botswana,Botswana,0.4031800113571834,NA
BRA,33,Brazil,Brazil,1.151540907230774,NA
IOT,34,British Indian Ocean Territory,NA,1.1035311355311355,gf with mean global prop change
VGB,35,British Virgin Islands,NA,1.1035311355311355,gf with mean global prop change
BRN,36,Brunei,Brunei Darussalam,1.1435949027498322,NA
BGR,37,Bulgaria,Bulgaria,0.7779027621547306,NA
BFA,38,Burkina Faso,Burkina Faso,1.1042051282051282,NA
BDI,39,Burundi,Burundi,1.3372093023255813,NA
KHM,40,Cambodia,Cambodia,0.7741861531407611,NA
CMR,41,Cameroon,Cameroon,1.1355555555555557,NA
CAN,42,Canada,Canada,1.0301151515151514,NA
CPV,43,Cape Verde,Cabo Verde,1.6181229773462784,NA
CYM,45,Cayman Islands,Cayman Islands,1,NA
CAF,46,Central African Republic,Central African Republic,1.1645232120451694,NA
TCD,47,Chad,Chad,1.1127927927927928,NA
CHL,48,Chile,Chile,2.316245076770783,NA
CHN,49,China,China,1.0010067307692307,NA
CXR,50,Christmas Island,NA,1.1035311355311355,gf with mean global prop change
CCK,52,Cocos Islands,NA,1.1035311355311355,gf with mean global prop change
COL,53,Colombia,Colombia,1.0367151898734177,NA
COM,54,Comoros,Comoros,0.9927272727272727,NA
COK,55,Cook Islands,Cook Islands,0.9,NA
CRI,56,Costa Rica,Costa Rica,1.0671129707112972,NA
CIV,57,Côte d'Ivoire,Côte d'Ivoire,1.3283539021575068,NA
HRV,58,Croatia,Croatia,1.951993652053164,NA
CUB,59,Cuba,Cuba,0.8282714054927303,NA
CUW,60,Curaçao,NA,1.1035311355311355,gf with mean global prop change
CZE,62,Czech Republic,Czechia,0.856293153647783,NA
COD,301,Democratic Republic of the Congo,Democratic Republic of the Congo,0.9604325509543031,NA
DNK,64,Denmark,Denmark,1.1464830789648308,NA
DJI,65,Djibouti,NA,1.1035311355311355,gf with mean global prop change
DOM,67,Dominican Republic,Dominican Republic,1.0311993857638442,NA
DMA,66,Dominica,Dominica,1.0473684210526315,NA
ECU,68,Ecuador,Ecuador,0.8776909200240529,NA
EGY,69,Egypt,Egypt,1.3951093083082022,NA
SLV,70,El Salvador,El Salvador,1.149,NA
GNQ,71,Equatorial Guinea,Equatorial Guinea,1.0970588235294119,NA
ERI,72,Eritrea,Eritrea,0.9592,NA
EST,73,Estonia,Estonia,1.2408140192198982,NA
ETH,74,Ethiopia,Ethiopia,1.2002759348306855,NA
FLK,75,Falkland Islands,Falkland Islands (Malvinas),1,NA
FRO,76,Faroe Islands,NA,1.1035311355311355,gf with mean global prop change
FJI,77,Fiji,Fiji,1.125531914893617,NA
FIN,78,Finland,Finland,1.7432842287694974,NA
FRA,79,France,France,0.7266668682270319,NA
GUF,80,French Guiana,French Guiana,0.8760330578512396,NA
PYF,81,French Polynesia,French Polynesia,1.07,NA
GAB,83,Gabon,Gabon,1.0251612903225806,NA
GMB,84,Gambia,Gambia,1.6,NA
GEO,85,Georgia,Georgia,1.29983844911147,NA
DEU,86,Germany,Germany,1.4021189522666129,NA
GHA,87,Ghana,Ghana,1.6217750041883063,NA
GIB,88,Gibraltar,NA,1.1035311355311355,gf with mean global prop change
GRC,89,Greece,Greece,1.3383858338421752,NA
GRL,90,Greenland,NA,1.1035311355311355,gf with mean global prop change
GRD,91,Grenada,Grenada,1.0185185185185186,NA
GLP,92,Guadeloupe,Guadeloupe,0.9833333333333333,NA
GUM,93,Guam,Guam,1.445,NA
GTM,94,Guatemala,Guatemala,1.1014848484848485,NA
GGY,95,Guernsey,NA,1.1035311355311355,gf with mean global prop change
GNB,97,Guinea-Bissau,Guinea-Bissau,1.2825814536340852,NA
GIN,96,Guinea,Guinea,1.3392680514342234,NA
GUY,98,Guyana,Guyana,1.3145794392523364,NA
HTI,99,Haiti,Haiti,1.0335714285714286,NA
HND,101,Honduras,Honduras,1.068447296735768,NA
HKG,102,Hong Kong,"China, Hong Kong SAR",1.04,NA
HUN,103,Hungary,Hungary,0.9968563247011952,NA
ISL,104,Iceland,Iceland,1.055045871559633,NA
