iso3c,animal,product,counts_2010,counts_2016,prop_change,ID_0,Country,Global_Name,Region_Name,Sub_region_Name,Intermediate_Region_Name,gapfilled
AFG,chickens,meat,4688000,2530673,0.5398193259385665,1,Afghanistan,World,Asia,Southern Asia,Southern Asia,NA
AFG,chickens,eggs,8200000,9368727,1.1425276829268292,1,Afghanistan,World,Asia,Southern Asia,Southern Asia,NA
ALB,chickens,meat,745000,2844000,3.8174496644295304,4,Albania,World,Europe,Southern Europe,Southern Europe,NA
ALB,chickens,eggs,4500000,4790000,1.0644444444444445,4,Albania,World,Europe,Southern Europe,Southern Europe,NA
DZA,chickens,meat,106331000,110630486,1.0404349249043083,5,Algeria,World,Africa,Northern Africa,Northern Africa,NA
DZA,chickens,eggs,19669000,22997495,1.1692254308810819,5,Algeria,World,Africa,Northern Africa,Northern Africa,NA
ASM,chickens,meat,31287,31739,1.0144468948764662,6,American Samoa,World,Oceania,Polynesia,Polynesia,NA
ASM,chickens,eggs,8713,8769,1.0064271777803282,6,American Samoa,World,Oceania,Polynesia,Polynesia,NA
AGO,chickens,meat,16269000,34800000,2.1390374331550803,8,Angola,World,Africa,Sub-Saharan Africa,Middle Africa,NA
AGO,chickens,eggs,850000,900000,1.0588235294117647,8,Angola,World,Africa,Sub-Saharan Africa,Middle Africa,NA
ATG,chickens,meat,85000,99768,1.1737411764705883,11,Antigua and Barbuda,World,Americas,Latin America and the Caribbean,Caribbean,NA
ATG,chickens,eggs,65000,59063,0.9086615384615384,11,Antigua and Barbuda,World,Americas,Latin America and the Caribbean,Caribbean,NA
ARG,chickens,meat,60000000,68000000,1.1333333333333333,12,Argentina,World,Americas,Latin America and the Caribbean,South America,NA
ARG,chickens,eggs,38000000,43100000,1.1342105263157896,12,Argentina,World,Americas,Latin America and the Caribbean,South America,NA
ARM,chickens,meat,1260267,1210800,0.9607487937079999,13,Armenia,World,Asia,Western Asia,Western Asia,NA
ARM,chickens,eggs,2649733,2732000,1.0310472791032153,13,Armenia,World,Asia,Western Asia,Western Asia,NA
AUS,chickens,meat,71290000,74424000,1.0439612848926918,15,Australia,World,Oceania,Australia and New Zealand,Australia and New Zealand,NA
AUS,chickens,eggs,11734000,15628000,1.331856144537242,15,Australia,World,Oceania,Australia and New Zealand,Australia and New Zealand,NA
AUT,chickens,meat,9926000,9922000,0.999597017932702,16,Austria,World,Europe,Western Europe,Western Europe,NA
AUT,chickens,eggs,5724000,6823000,1.1919986023759608,16,Austria,World,Europe,Western Europe,Western Europe,NA
AZE,chickens,meat,8196000,12609000,1.5384333821376281,17,Azerbaijan,World,Asia,Western Asia,Western Asia,NA
AZE,chickens,eggs,12954000,15400000,1.1888219854871083,17,Azerbaijan,World,Asia,Western Asia,Western Asia,NA
BHS,chickens,meat,2886812,2917714,1.0107045418960432,18,Bahamas,World,Americas,Latin America and the Caribbean,Caribbean,NA
BHS,chickens,eggs,113188,114918,1.015284305756794,18,Bahamas,World,Americas,Latin America and the Caribbean,Caribbean,NA
BHR,chickens,meat,260287,267924,1.0293406893160242,19,Bahrain,World,Asia,Western Asia,Western Asia,NA
BHR,chickens,eggs,269713,273803,1.015164267202545,19,Bahrain,World,Asia,Western Asia,Western Asia,NA
BGD,chickens,meat,110035000,23393000,0.212595992184305,20,Bangladesh,World,Asia,Southern Asia,Southern Asia,NA
BGD,chickens,eggs,118000000,245000000,2.0762711864406778,20,Bangladesh,World,Asia,Southern Asia,Southern Asia,NA
BRB,chickens,meat,2739499,2757064,1.0064117563101866,21,Barbados,World,Americas,Latin America and the Caribbean,Caribbean,NA
BRB,chickens,eggs,860501,875922,1.0179209553504296,21,Barbados,World,Americas,Latin America and the Caribbean,Caribbean,NA
BLR,chickens,meat,17000000,26155201,1.5385412352941177,22,Belarus,World,Europe,Eastern Europe,Eastern Europe,NA
BLR,chickens,eggs,15000000,19880799,1.3253866,22,Belarus,World,Europe,Eastern Europe,Eastern Europe,NA
BEL,chickens,meat,25435000,17335000,0.6815411834086889,23,Belgium,World,Europe,Western Europe,Western Europe,NA
BEL,chickens,eggs,8940000,10971000,1.2271812080536912,23,Belgium,World,Europe,Western Europe,Western Europe,NA
BLZ,chickens,meat,993742,859214,0.8646248221369329,24,Belize,World,Americas,Latin America and the Caribbean,Central America,NA
BLZ,chickens,eggs,536258,750000,1.3985805339966957,24,Belize,World,Americas,Latin America and the Caribbean,Central America,NA
BEN,chickens,meat,3323000,2442133,0.7349181462533855,25,Benin,World,Africa,Sub-Saharan Africa,Western Africa,NA
BEN,chickens,eggs,13227000,17559867,1.327577455205262,25,Benin,World,Africa,Sub-Saharan Africa,Western Africa,NA
BMU,chickens,meat,20000,20513,1.02565,26,Bermuda,World,Americas,Northern America,Northern America,NA
BMU,chickens,eggs,30000,30434,1.0144666666666666,26,Bermuda,World,Americas,Northern America,Northern America,NA
BTN,chickens,meat,129004,158000,1.2247682242411089,27,Bhutan,World,Asia,Southern Asia,Southern Asia,NA
BTN,chickens,eggs,220000,880000,4,27,Bhutan,World,Asia,Southern Asia,Southern Asia,NA
BOL,chickens,meat,178807900,179026531,1.0012227144326398,28,Bolivia,World,Americas,Latin America and the Caribbean,South America,NA
BOL,chickens,eggs,16600000,22530000,1.3572289156626507,28,Bolivia,World,Americas,Latin America and the Caribbean,South America,NA
BIH,chickens,meat,17235000,11291000,0.655120394545982,30,Bosnia and Herzegovina,World,Europe,Southern Europe,Southern Europe,NA
BIH,chickens,eggs,3795000,3775000,0.994729907773386,30,Bosnia and Herzegovina,World,Europe,Southern Europe,Southern Europe,NA
