iso3c,country,animal,system,product,headcount,headcount_system,product_prop,animal_rgn_total,animal_rgn_syst_total,gapfill
AFG,Afghanistan,cows,grassland,milk,2771103.8993594167,2771103.8993594167,1,5669671.635980836,2771103.8993594167,NA
AFG,Afghanistan,cows,grassland,meat,0,2771103.8993594167,0,5669671.635980836,2771103.8993594167,NA
AFG,Afghanistan,cows,mixed,milk,2898567.7366214194,2898567.7366214194,1,5669671.635980836,2898567.7366214194,NA
AFG,Afghanistan,cows,mixed,meat,0,2898567.7366214194,0,5669671.635980836,2898567.7366214194,NA
AFG,Afghanistan,sheep,grassland,milk,5232130.178739628,5311457.482065393,0.9850648708770389,12686602.813580925,5311457.482065393,NA
AFG,Afghanistan,sheep,grassland,meat,79327.3033257646,5311457.482065393,0.014935129122961122,12686602.813580925,5311457.482065393,NA
AFG,Afghanistan,sheep,mixed,milk,7323163.833806125,7375145.331515532,0.9929518002191389,12686602.813580925,7375145.331515532,NA
AFG,Afghanistan,sheep,mixed,meat,51981.4977094067,7375145.331515532,0.007048199780861122,12686602.813580925,7375145.331515532,NA
AFG,Afghanistan,goats,grassland,milk,3068817.4072454893,3761443.5046860445,0.8158616242467355,6843743.903540413,3761443.5046860445,NA
AFG,Afghanistan,goats,grassland,meat,692626.097440555,3761443.5046860445,0.1841383757532645,6843743.903540413,3761443.5046860445,NA
AFG,Afghanistan,goats,mixed,milk,2514730.6454454777,3082300.3988543684,0.8158616358029719,6843743.903540413,3082300.3988543684,NA
AFG,Afghanistan,goats,mixed,meat,567569.7534088907,3082300.3988543684,0.18413836419702811,6843743.903540413,3082300.3988543684,NA
ALB,Albania,cows,grassland,milk,126314.66708316415,126314.66708316415,1,482962.7903728596,126314.66708316415,NA
ALB,Albania,cows,grassland,meat,0,126314.66708316415,0,482962.7903728596,126314.66708316415,NA
ALB,Albania,cows,mixed,milk,356648.1232896955,356648.1232896955,1,482962.7903728596,356648.1232896955,NA
ALB,Albania,cows,mixed,meat,0,356648.1232896955,0,482962.7903728596,356648.1232896955,NA
ALB,Albania,sheep,grassland,milk,516994.64201120916,516994.64201120916,1,1736667.6871178283,516994.64201120916,NA
ALB,Albania,sheep,grassland,meat,0,516994.64201120916,0,1736667.6871178283,516994.64201120916,NA
ALB,Albania,sheep,mixed,milk,1219673.0451066191,1219673.0451066191,1,1736667.6871178283,1219673.0451066191,NA
ALB,Albania,sheep,mixed,meat,0,1219673.0451066191,0,1736667.6871178283,1219673.0451066191,NA
ALB,Albania,goats,grassland,milk,254190.5429778117,254190.5429778117,1,764938.8790241766,254190.5429778117,NA
ALB,Albania,goats,grassland,meat,0,254190.5429778117,0,764938.8790241766,254190.5429778117,NA
ALB,Albania,goats,mixed,milk,510748.3360463649,510748.3360463649,1,764938.8790241766,510748.3360463649,NA
ALB,Albania,goats,mixed,meat,0,510748.3360463649,0,764938.8790241766,510748.3360463649,NA
DZA,Algeria,cows,grassland,milk,929722.7437920487,929722.7437920487,1,1728451.241592015,929722.7437920487,NA
DZA,Algeria,cows,grassland,meat,0,929722.7437920487,0,1728451.241592015,929722.7437920487,NA
DZA,Algeria,cows,mixed,milk,798728.4977999663,798728.4977999663,1,1728451.241592015,798728.4977999663,NA
