iso3c,country,animal,system,headcount_system,headcount_total,system_prop
ABW,Aruba,cows,feedlot,0,0,0
ABW,Aruba,cows,grassland,0,0,0
ABW,Aruba,cows,mixed,0,0,0
ABW,Aruba,goats,grassland,0,0,0
ABW,Aruba,goats,mixed,0,0,0
ABW,Aruba,sheep,grassland,0,0,0
ABW,Aruba,sheep,mixed,0,0,0
AFG,Afghanistan,cows,feedlot,0,5669671.635980836,0
AFG,Afghanistan,cows,grassland,2771103.8993594167,5669671.635980836,0.4887591517246702
AFG,Afghanistan,cows,mixed,2898567.7366214194,5669671.635980836,0.5112408482753298
AFG,Afghanistan,goats,grassland,3761443.5046860445,6843743.903540413,0.5496178053565345
AFG,Afghanistan,goats,mixed,3082300.3988543684,6843743.903540413,0.45038219464346546
AFG,Afghanistan,sheep,grassland,5311457.482065393,12686602.813580925,0.4186666485987496
AFG,Afghanistan,sheep,mixed,7375145.331515532,12686602.813580925,0.5813333514012504
AGO,Angola,cows,feedlot,0,4510361.378428215,0
AGO,Angola,cows,grassland,3025141.8858422684,4510361.378428215,0.6707094248169709
AGO,Angola,cows,mixed,1485219.4925859473,4510361.378428215,0.3292905751830292
AGO,Angola,goats,grassland,3020052.4573005233,3711607.185783469,0.8136778236846289
AGO,Angola,goats,mixed,691554.7284829457,3711607.185783469,0.18632217631537107
AGO,Angola,sheep,grassland,722046.9435568253,874995.3319598954,0.8252009092888734
AGO,Angola,sheep,mixed,152948.3884030702,874995.3319598954,0.1747990907111267
AIA,Anguilla,cows,feedlot,0,0,0
AIA,Anguilla,cows,grassland,0,0,0
AIA,Anguilla,cows,mixed,0,0,0
AIA,Anguilla,goats,grassland,0,0,0
AIA,Anguilla,goats,mixed,0,0,0
AIA,Anguilla,sheep,grassland,0,0,0
AIA,Anguilla,sheep,mixed,0,0,0
ALB,Albania,cows,feedlot,0,482962.7903728596,0
ALB,Albania,cows,grassland,126314.66708316415,482962.7903728596,0.2615411986203865
ALB,Albania,cows,mixed,356648.1232896955,482962.7903728596,0.7384588013796135
ALB,Albania,goats,grassland,254190.5429778117,764938.8790241766,0.33230176939375805
ALB,Albania,goats,mixed,510748.3360463649,764938.8790241766,0.667698230606242
ALB,Albania,sheep,grassland,516994.64201120916,1736667.6871178283,0.29769347690761316
ALB,Albania,sheep,mixed,1219673.0451066191,1736667.6871178283,0.7023065230923868
AND,Andorra,cows,feedlot,0,0,0
AND,Andorra,cows,grassland,0,0,0
AND,Andorra,cows,mixed,0,0,0
AND,Andorra,goats,grassland,0,0,0
AND,Andorra,goats,mixed,0,0,0
AND,Andorra,sheep,grassland,0,0,0
AND,Andorra,sheep,mixed,0,0,0
ARE,United Arab Emirates,cows,feedlot,0,80321.56581373874,0
ARE,United Arab Emirates,cows,grassland,80321.56581373874,80321.56581373874,1
ARE,United Arab Emirates,cows,mixed,0,80321.56581373874,0
ARE,United Arab Emirates,goats,grassland,1690583.5947417242,1787513.1601429062,0.945774068934165
ARE,United Arab Emirates,goats,mixed,96929.56540118207,1787513.1601429062,0.054225931065834974
ARE,United Arab Emirates,sheep,grassland,1245918.847784129,1285597.6588680674,0.9691359028151354
