iso3c,product,gleam_headcount
BEN,eggs,800497.960242253
BMU,eggs,0
BTN,eggs,45923.28975130198
BOL,eggs,1478310.9341760762
BIH,eggs,165861.0590702958
BWA,eggs,31464.062050954948
BRA,eggs,4102964.296780921
VGB,eggs,0
BRN,eggs,13183.563714631895
BGR,eggs,516067.69359410607
BFA,eggs,6334172.401396904
BDI,eggs,180880.98959318246
CPV,eggs,0
KHM,eggs,2262162.5480989916
CMR,eggs,647648.8482957204
CAN,eggs,0
CYM,eggs,0
CAF,eggs,165848.44797610366
TCD,eggs,350994.85546934436
CHL,eggs,164308.88704713082
HKG,eggs,0
MAC,eggs,0
CHN,eggs,227123884.26369002
COL,eggs,1956658.0002173525
COM,eggs,64941.213639094014
COG,eggs,22167.493225886665
COK,eggs,0
CRI,eggs,221817.62720675586
CIV,eggs,3548558.1415664204
HRV,eggs,49524.42050160859
CUB,eggs,0
CYP,eggs,2949.4039687067343
CZE,eggs,0
PRK,eggs,5308055.811325213
COD,eggs,1560760.240107949
DNK,eggs,0
DJI,eggs,0
DMA,eggs,2267.62264417764
DOM,eggs,865768.7395489088
ECU,eggs,1837067.5743049856
EGY,eggs,36040621.27754332
SLV,eggs,376008.04638486146
GNQ,eggs,0
ERI,eggs,129980.68443157035
EST,eggs,6194.220144755538
ETH,eggs,2389435.463397818
FLK,eggs,0
FRO,eggs,0
FSM,eggs,14689.356404656206
FJI,eggs,54596.767213212726
FIN,eggs,0
FRA,eggs,0
GUF,eggs,10138.608863658383
PYF,eggs,0
GAB,eggs,113837.79108684779
GMB,eggs,51619.630079412585
GEO,eggs,643638.9243652511
DEU,eggs,0
GHA,eggs,4580103.547346882
GRC,eggs,477478.31599744206
GRL,eggs,0
GRD,eggs,11086.9163972722
GLP,eggs,0
GUM,eggs,0
GTM,eggs,2481039.7747885324
GGY,eggs,0
GNB,eggs,106298.34775274547
GIN,eggs,9680385.446894795
GUY,eggs,2514.6451508034515
HTI,eggs,318165.8789892104
HND,eggs,601628.1128912136
HUN,eggs,119525.53024279549
ISL,eggs,0
IND,eggs,85518839.16495651
IDN,eggs,42049798.87502439
IRN,eggs,6915248.778931852
IRQ,eggs,506763.6830219616
IRL,eggs,0
IMN,eggs,0
ISR,eggs,32695.67242859324
ITA,eggs,0
JAM,eggs,14994.512702488602
JPN,eggs,0
JEY,eggs,0
JOR,eggs,83284.7185404549
KAZ,eggs,1041550.4411183186
KEN,eggs,11789269.086272856
KIR,eggs,0
KWT,eggs,79473.21871433452
KGZ,eggs,1657742.3567025745
LAO,eggs,3025594.3673874633
LVA,eggs,106019.0989850067
LBN,eggs,114347.174204754
LSO,eggs,0
LBR,eggs,297676.23911287193
LBY,eggs,110654.32504202973
LIE,eggs,0
LTU,eggs,32096.685531525105
LUX,eggs,0
MDG,eggs,632825.4310174322
MWI,eggs,1143053.3567559952
MYS,eggs,264473.0051441715
MDV,eggs,0
MLI,eggs,1383336.1496656323
MLT,eggs,0
MHL,eggs,0
MTQ,eggs,13106.663894448455
MRT,eggs,502971.64650150784
MUS,eggs,0
MYT,eggs,0
MEX,eggs,5834254.97043803
MCO,eggs,0
MNG,eggs,42884.469345518344
MNE,eggs,39750.631910646254
MSR,eggs,0
MAR,eggs,2029267.5995572093
MOZ,eggs,1329130.9284205027
MMR,eggs,8771083.799743466
NAM,eggs,85705.41392645048
NRU,eggs,0
NPL,eggs,10435758.530591156
NLD,eggs,0
NCL,eggs,0
NZL,eggs,0
NIC,eggs,249030.29349833963
NER,eggs,1197933.5438973587
NGA,eggs,48178455.97186972
NIU,eggs,0
NFK,eggs,0
MNP,eggs,0
NOR,eggs,0
OMN,eggs,90614.56351217456
PAK,eggs,20766766.709997203
PLW,eggs,0
PAN,eggs,52804.29610498012
PNG,eggs,197222.79365684022
PRY,eggs,2620650.8399732956
PER,eggs,963553.1173384122
PHL,eggs,11057445.822316537
PCN,eggs,0
POL,eggs,539585.3379174424
PRT,eggs,0
PRI,eggs,35533.58985225514
QAT,eggs,20219.597790213382
KOR,eggs,0
MDA,eggs,799524.8422323377
REU,eggs,0
ROU,eggs,537840.8640688516
RUS,eggs,1457358.17577254
RWA,eggs,326136.9531250957
SHN,eggs,0
KNA,eggs,0
LCA,eggs,7085.119862743532
SPM,eggs,0
VCT,eggs,8888.838175911245
WSM,eggs,0
SMR,eggs,0
STP,eggs,21566.33162327829
SAU,eggs,187550.57991666492
SEN,eggs,2000816.7959133328
SRB,eggs,2544198.942900659
SYC,eggs,0
SLE,eggs,544963.885863509
SGP,eggs,0
SVK,eggs,204104.7510670017
SVN,eggs,1869.854296855265
SLB,eggs,33847.28232715617
SOM,eggs,23585.322947078283
ZAF,eggs,1523298.3094896018
SSD,eggs,487086.06447071384
ESP,eggs,0
LKA,eggs,310621.8416871333
SDN,eggs,1646115.5242474217
SUR,eggs,38461.48086385499
SJM,eggs,0
SWZ,eggs,20315.863062064927
SWE,eggs,0
CHE,eggs,0
SYR,eggs,352564.5702064056
TJK,eggs,2534174.786747583
THA,eggs,6546296.165196227
MKD,eggs,99682.36566780778
TLS,eggs,162595.65013716815
TGO,eggs,480767.5611301212
TKL,eggs,0
TON,eggs,0
TTO,eggs,12300.328260750463
TUN,eggs,3403654.523890641
TUR,eggs,1295690.7848114774
TKM,eggs,840463.0350363611
TCA,eggs,0
TUV,eggs,0
UGA,eggs,1082348.2432007703
UKR,eggs,8342585.346815193
ARE,eggs,28581.17965382742
GBR,eggs,0
TZA,eggs,1271845.0683605724
USA,eggs,0
VIR,eggs,0
URY,eggs,182241.45139870592
UZB,eggs,11001063.0394039
VUT,eggs,29606.634912258247
VEN,eggs,386062.9340226103
VNM,eggs,152725233.1481722
WLF,eggs,0
PSE,eggs,47841.77475050801
ESH,eggs,0
YEM,eggs,4204101.65977887
ZMB,eggs,22948749.82632457
ZWE,eggs,9993611.740169022
