iso3c,product,gleam_headcount
AFG,meat,11851008.429270908
ALB,meat,2189342.7902969173
DZA,meat,13800989.347257696
ASM,meat,0
AND,meat,10730.785609681498
AGO,meat,3320504.234221095
AIA,meat,0
ATG,meat,0
ARG,meat,3729740.1522593317
ARM,meat,106310.90702740646
ABW,meat,0
AUS,meat,0
AUT,meat,0
AZE,meat,3733122.442457264
BHS,meat,49773.103608146426
BHR,meat,12119.32029432333
BGD,meat,124842811.24868876
BRB,meat,76688.27917108995
BLR,meat,1615848.7726630461
BEL,meat,0
BLZ,meat,72817.72636454983
BEN,meat,12455555.642491093
BMU,meat,0
BTN,meat,25626.351277279715
BOL,meat,47296425.51573735
BIH,meat,1993650.940582418
BWA,meat,245964.04015339696
BRA,meat,57849024.989824235
VGB,meat,0
BRN,meat,105743.17559374169
BGR,meat,3963698.505800697
BFA,meat,31823014.709208053
BDI,meat,4354000.835300649
CPV,meat,0
KHM,meat,9096730.550563231
CMR,meat,30696821.45509882
CAN,meat,0
CYM,meat,0
CAF,meat,4282009.715605053
TCD,meat,5159518.951950163
CHL,meat,1553788.4591430814
HKG,meat,0
MAC,meat,0
CHN,meat,486985145.3898572
COL,meat,13862357.178370724
COM,meat,309459.64243598765
COG,meat,720247.7560488478
COK,meat,0
CRI,meat,1403735.2718129002
CIV,meat,23461370.082532756
HRV,meat,135230.192604212
CUB,meat,0
CYP,meat,48854.406345175004
CZE,meat,0
PRK,meat,4583892.7097852435
COD,meat,16663466.895592446
DNK,meat,0
DJI,meat,447599.8086972325
DMA,meat,10440.87373072634
DOM,meat,9439511.019151313
ECU,meat,9807792.649569033
EGY,meat,0
SLV,meat,2092404.3633139993
GNQ,meat,0
ERI,meat,1025080.0278472118
EST,meat,50537.9681220823
ETH,meat,37970208.15603208
FLK,meat,0
FRO,meat,0
FSM,meat,49848.09220002307
FJI,meat,851856.0790979643
FIN,meat,0
FRA,meat,0
GUF,meat,21997.082410327883
PYF,meat,0
GAB,meat,2123510.0363840954
GMB,meat,634520.8794939796
GEO,meat,4862365.113961942
DEU,meat,0
GHA,meat,33742291.64691594
GRC,meat,3681891.403497856
GRL,meat,0
GRD,meat,11811.189405968886
GLP,meat,0
GUM,meat,0
GTM,meat,6758875.480166434
GGY,meat,0
GNB,meat,1092134.1185859162
GIN,meat,8072758.549619651
GUY,meat,404479.91349865455
HTI,meat,3919327.9445889047
HND,meat,9905255.132355394
HUN,meat,879361.0345540778
ISL,meat,0
IND,meat,276968256.16787475
IDN,meat,281846475.50016814
IRN,meat,54672614.334004894
IRQ,meat,2897508.1175592816
IRL,meat,0
IMN,meat,0
ISR,meat,760155.6479192784
ITA,meat,0
JAM,meat,1356758.6642926536
JPN,meat,0
JEY,meat,0
JOR,meat,1172755.9030390475
KAZ,meat,1262467.9817358644
KEN,meat,9551805.233034072
KIR,meat,0
KWT,meat,222647.45791368868
KGZ,meat,600956.5402420597
LAO,meat,18003615.40936983
LVA,meat,304608.43034547195
LBN,meat,1726788.2954078214
LSO,meat,0
LBR,meat,5839515.85031123
LBY,meat,1401823.1966884527
LIE,meat,0
LTU,meat,298502.16155631444
LUX,meat,0
MDG,meat,15267079.945952805
MWI,meat,12574162.171870824
MYS,meat,2015192.9577395534
MDV,meat,0
MLI,meat,33565016.78424369
MLT,meat,0
MHL,meat,0
MTQ,meat,10798.996687419376
MRT,meat,2261402.6475867704
MUS,meat,0
MYT,meat,0
MEX,meat,14416411.91907691
MCO,meat,0
MNG,meat,81165.51338608468
MNE,meat,0
MSR,meat,0
MAR,meat,31976701.30771747
MOZ,meat,20019036.345687132
MMR,meat,122612546.9805674
NAM,meat,3076137.916590808
NRU,meat,0
NPL,meat,7577606.010948423
NLD,meat,0
NCL,meat,0
NZL,meat,0
NIC,meat,6044152.727109949
NER,meat,15328853.106383473
NGA,meat,86652160.2979196
NIU,meat,0
NFK,meat,0
MNP,meat,0
NOR,meat,0
OMN,meat,0
PAK,meat,120391917.2645308
PLW,meat,0
PAN,meat,979472.4924086961
PNG,meat,1701614.9089472322
PRY,meat,1110865.9333658007
PER,meat,13423077.005073814
PHL,meat,108178402.14619438
PCN,meat,0
POL,meat,3272700.313118621
PRT,meat,0
PRI,meat,582563.184645828
QAT,meat,9136.3443312171
KOR,meat,0
MDA,meat,7918177.8373825615
REU,meat,0
ROU,meat,3525108.202122062
RUS,meat,10525396.172221215
RWA,meat,2809851.376353237
SHN,meat,0
KNA,meat,0
LCA,meat,28185.297389192616
SPM,meat,0
VCT,meat,13299.87722755547
WSM,meat,0
SMR,meat,16827.13917344258
STP,meat,242593.07786536097
SAU,meat,2745278.012009253
SEN,meat,26258860.86437604
SRB,meat,0
SYC,meat,0
SLE,meat,6646075.36975965
SGP,meat,0
SVK,meat,1154213.0064993773
SVN,meat,27181.075440659282
SLB,meat,67350.63577285137
SOM,meat,206332.20437232315
ZAF,meat,34473894.28769499
SSD,meat,5051595.957911925
ESP,meat,0
LKA,meat,1792061.0727328586
SDN,meat,17071104.210416954
SUR,meat,823638.1219776488
SJM,meat,0
SWZ,meat,741643.2955594084
SWE,meat,0
CHE,meat,0
SYR,meat,2187481.804965464
TJK,meat,0
THA,meat,70025708.69257252
MKD,meat,50516.5494311834
TLS,meat,305271.18334798526
TGO,meat,14560159.159168188
TKL,meat,0
TON,meat,0
TTO,meat,714090.5643923515
TUN,meat,44597937.25190741
TUR,meat,9187907.33365716
TKM,meat,985439.9883027661
TCA,meat,0
TUV,meat,0
UGA,meat,30028765.456746645
UKR,meat,120992221.849554
ARE,meat,192544.16268735737
GBR,meat,0
TZA,meat,22141208.49107625
USA,meat,0
VIR,meat,0
URY,meat,749597.0441785044
UZB,meat,2543847.4554241253
VUT,meat,183986.21438457046
VEN,meat,7753218.399935167
VNM,meat,0
WLF,meat,0
PSE,meat,0
ESH,meat,0
YEM,meat,0
ZMB,meat,0
ZWE,meat,0
AFG,eggs,795858.1247121588
ALB,eggs,428851.6481557191
DZA,eggs,1812462.506322757
ASM,eggs,0
AND,eggs,0
AGO,eggs,104785.6154218637
AIA,eggs,0
ATG,eggs,0
ARG,eggs,335579.88636303536
ARM,eggs,450253.08962660586
ABW,eggs,0
AUS,eggs,0
AUT,eggs,0
AZE,eggs,748506.5898270158
BHS,eggs,2890.888711940248
BHR,eggs,1202.573118213397
BGD,eggs,59514773.31839825
BRB,eggs,3538.387371806073
BLR,eggs,215147.97015066483
BEL,eggs,0
BLZ,eggs,3658.3751690133067
