iso3c,animal,system,product,headcount,gleam_rgn_animal_headcount,gleam_prop,ID_0,Country,gf_prop,year,fao_product,fao_rgn_animal_headcount,fao_allocated_headcount
AFG,sheep,grassland,meat,5232130.178739628,12686602.813580925,0.4124138081424498,1,Afghanistan,NA,2016,meat and milk,13265200,5470751.647771225
AFG,sheep,grassland,milk,79327.3033257646,12686602.813580925,0.006252840456299715,1,Afghanistan,NA,2016,meat and milk,13265200,82945.17922090698
AFG,sheep,mixed,meat,7323163.833806125,12686602.813580925,0.5772359978012969,1,Afghanistan,NA,2016,meat and milk,13265200,7657150.958033763
AFG,sheep,mixed,milk,51981.4977094067,12686602.813580925,0.0040973535999535545,1,Afghanistan,NA,2016,meat and milk,13265200,54352.21497410389
AFG,goats,grassland,meat,3068817.4072454893,6843743.903540413,0.44841207539310834,1,Afghanistan,NA,2016,meat and milk,7448000,3339773.137527871
AFG,goats,grassland,milk,692626.097440555,6843743.903540413,0.10120572996342615,1,Afghanistan,NA,2016,meat and milk,7448000,753780.276767598
AFG,goats,mixed,meat,2514730.6454454777,6843743.903540413,0.3674495540583502,1,Afghanistan,NA,2016,meat and milk,7448000,2736764.2786265924
AFG,goats,mixed,milk,567569.7534088907,6843743.903540413,0.08293264058511525,1,Afghanistan,NA,2016,meat and milk,7448000,617682.3070779383
ALB,sheep,grassland,meat,516994.64201120916,1736667.6871178283,0.29769347690761316,4,Albania,NA,2016,meat and milk,1971933,587031.5909988603
ALB,sheep,grassland,milk,0,1736667.6871178283,0,4,Albania,NA,2016,meat and milk,1971933,0
ALB,sheep,mixed,meat,1219673.0451066191,1736667.6871178283,0.7023065230923868,4,Albania,NA,2016,meat and milk,1971933,1384901.4090011397
ALB,sheep,mixed,milk,0,1736667.6871178283,0,4,Albania,NA,2016,meat and milk,1971933,0
ALB,goats,grassland,meat,254190.5429778117,764938.8790241766,0.33230176939375805,4,Albania,NA,2016,meat and milk,940806,312631.4984562639
ALB,goats,grassland,milk,0,764938.8790241766,0,4,Albania,NA,2016,meat and milk,940806,0
ALB,goats,mixed,meat,510748.3360463649,764938.8790241766,0.667698230606242,4,Albania,NA,2016,meat and milk,940806,628174.5015437361
ALB,goats,mixed,milk,0,764938.8790241766,0,4,Albania,NA,2016,meat and milk,940806,0
DZA,sheep,grassland,meat,18224037.445263736,25126708.038166367,0.7252855176086825,5,Algeria,NA,2016,meat and milk,28135986,20406623.169440646
DZA,sheep,grassland,milk,0,25126708.038166367,0,5,Algeria,NA,2016,meat and milk,28135986,0
DZA,sheep,mixed,meat,6902670.592902631,25126708.038166367,0.2747144823913175,5,Algeria,NA,2016,meat and milk,28135986,7729362.830559356
DZA,sheep,mixed,milk,0,25126708.038166367,0,5,Algeria,NA,2016,meat and milk,28135986,0
DZA,goats,grassland,meat,3317998.7022639713,4158668.968553584,0.7978511219223097,5,Algeria,NA,2016,meat and milk,4934701,3937156.7292011436
DZA,goats,grassland,milk,0,4158668.968553584,0,5,Algeria,NA,2016,meat and milk,4934701,0
DZA,goats,mixed,meat,840670.2662896127,4158668.968553584,0.20214887807769036,5,Algeria,NA,2016,meat and milk,4934701,997544.2707988567
DZA,goats,mixed,milk,0,4158668.968553584,0,5,Algeria,NA,2016,meat and milk,4934701,0
ASM,sheep,grassland,meat,0,0,0,6,American Samoa,0,NA,NA,NA,0
ASM,sheep,grassland,milk,0,0,0,6,American Samoa,0,NA,NA,NA,0
ASM,sheep,mixed,meat,0,0,0,6,American Samoa,0,NA,NA,NA,0
ASM,sheep,mixed,milk,0,0,0,6,American Samoa,0,NA,NA,NA,0
ASM,goats,grassland,meat,0,0,0,6,American Samoa,0,NA,NA,NA,0
ASM,goats,grassland,milk,0,0,0,6,American Samoa,0,NA,NA,NA,0
ASM,goats,mixed,meat,0,0,0,6,American Samoa,0,NA,NA,NA,0
ASM,goats,mixed,milk,0,0,0,6,American Samoa,0,NA,NA,NA,0
AND,sheep,grassland,meat,0,0,0,7,Andorra,0,NA,NA,NA,0
AND,sheep,grassland,milk,0,0,0,7,Andorra,0,NA,NA,NA,0
AND,sheep,mixed,meat,0,0,0.5,7,Andorra,0.5,NA,NA,NA,0
AND,sheep,mixed,milk,0,0,0.5,7,Andorra,0.5,NA,NA,NA,0
AND,goats,grassland,meat,0,0,0,7,Andorra,0,NA,NA,NA,0
AND,goats,grassland,milk,0,0,0,7,Andorra,0,NA,NA,NA,0
AND,goats,mixed,meat,0,0,0.5,7,Andorra,0.5,NA,NA,NA,0
AND,goats,mixed,milk,0,0,0.5,7,Andorra,0.5,NA,NA,NA,0
AGO,sheep,grassland,meat,0,874995.3319598954,0,8,Angola,NA,2016,meat and milk,1127799,0
AGO,sheep,grassland,milk,722046.9435568253,874995.3319598954,0.8252009092888734,8,Angola,NA,2016,meat and milk,1127799,930660.7602950821
AGO,sheep,mixed,meat,0,874995.3319598954,0,8,Angola,NA,2016,meat and milk,1127799,0
AGO,sheep,mixed,milk,152948.3884030702,874995.3319598954,0.1747990907111267,8,Angola,NA,2016,meat and milk,1127799,197138.23970491797
AGO,goats,grassland,meat,0,3711607.185783469,0,8,Angola,NA,2016,meat and milk,4430665,0
