lon,lat,iso3c
18.419430465514782,42.49202998620132,HRV
18.39559415852515,42.50141198598394,HRV
18.37175785153552,42.51079398576657,HRV
18.347921544545887,42.520175985549194,HRV
18.324085237556258,42.52955798533182,HRV
18.300248930566624,42.538939985114446,HRV
18.27641262357699,42.54832198489707,HRV
18.252576316587362,42.5577039846797,HRV
18.22874000959773,42.56708598446233,HRV
18.204903702608096,42.57646798424496,HRV
18.181067395618467,42.58584998402758,HRV
18.157231088628834,42.59523198381021,HRV
18.1333947816392,42.604613983592834,HRV
18.10955847464957,42.61399598337546,HRV
18.085722167659938,42.623377983158086,HRV
18.061885860670305,42.63275998294071,HRV
18.038049553680676,42.642141982723345,HRV
18.014213246691043,42.65152398250597,HRV
17.99037693970141,42.6609059822886,HRV
17.96654063271178,42.67028798207122,HRV
17.942704325722147,42.67966998185385,HRV
17.918868018732514,42.689051981636474,HRV
17.895031711742885,42.6984339814191,HRV
17.87119540475325,42.707815981201726,HRV
17.84735909776362,42.71719798098435,HRV
17.82352279077399,42.726579980766985,HRV
17.799686483784356,42.73596198054961,HRV
17.775850176794723,42.74534398033224,HRV
17.752013869805094,42.75472598011486,HRV
17.72817756281546,42.76410797989749,HRV
17.704341255825828,42.773489979680114,HRV
17.680504948836198,42.78287197946274,HRV
17.656668641846565,42.792253979245366,HRV
17.632832334856932,42.801635979028,HRV
17.608996027867303,42.811017978810625,HRV
17.58515972087767,42.82039997859325,HRV
17.561323413888037,42.82978197837588,HRV
17.537487106898407,42.8391639781585,HRV
17.513650799908774,42.84854597794113,HRV
17.491566698961183,42.86141837884937,HRV
17.469802552009273,42.874928129338585,HRV
17.448038405057364,42.888437879827805,HRV
17.426274258105455,42.90194763031702,HRV
17.404510111153545,42.91545738080624,HRV
17.382745964201636,42.92896713129545,HRV
17.360981817249726,42.942476881784664,HRV
17.339217670297817,42.955986632273884,HRV
17.317453523345907,42.9694963827631,HRV
17.295689376393998,42.98300613325232,HRV
17.27392522944209,42.99651588374153,HRV
17.25216108249018,43.01002563423074,HRV
17.23039693553827,43.02353538471996,HRV
17.20863278858636,43.037045135209176,HRV
17.18686864163445,43.050554885698396,HRV
17.16510449468254,43.06406463618761,HRV
17.143340347730632,43.07757438667683,HRV
17.121576200778723,43.09108413716604,HRV
17.099812053826813,43.104593887655255,HRV
17.078047906874904,43.118103638144476,HRV
17.056283759922994,43.13161338863369,HRV
17.034519612971085,43.14512313912291,HRV
17.012755466019176,43.15863288961212,HRV
16.990991319067266,43.172142640101335,HRV
16.969227172115357,43.185652390590555,HRV
16.947463025163447,43.19916214107977,HRV
16.925184759058947,43.21156511277848,HRV
16.900822574590748,43.2194818936118,HRV
16.876460390122553,43.22739867444511,HRV
16.852098205654357,43.235315455278425,HRV
16.82773602118616,43.243232236111744,HRV
16.803373836717963,43.25114901694506,HRV
16.779011652249768,43.25906579777837,HRV
16.75464946778157,43.26698257861168,HRV
16.730287283313373,43.274899359445,HRV
16.705925098845178,43.282816140278314,HRV
16.68156291437698,43.290732921111626,HRV
16.657200729908784,43.298649701944946,HRV
16.63283854544059,43.30656648277826,HRV
16.60847636097239,43.31448326361157,HRV
16.584114176504194,43.32240004444489,HRV
16.559751992035995,43.3303168252782,HRV
16.5353898075678,43.338233606111515,HRV
16.511027623099604,43.34615038694483,HRV
16.486665438631405,43.35406716777815,HRV
16.46230325416321,43.36198394861146,HRV
16.437941069695015,43.36990072944477,HRV
16.413578885226816,43.37781751027809,HRV
16.38921670075862,43.385734291111405,HRV
16.364854516290425,43.39365107194472,HRV
16.340492331822226,43.40156785277804,HRV
16.31613014735403,43.40948463361135,HRV
16.291767962885835,43.41740141444466,HRV
16.267405778417636,43.42531819527798,HRV
16.24304359394944,43.433234976111294,HRV
16.218681409481245,43.441151756944606,HRV
16.194319225013047,43.44906853777792,HRV
16.16995704054485,43.45698531861124,HRV
16.145594856076656,43.46490209944455,HRV
16.121232671608457,43.47281888027786,HRV
16.09687048714026,43.48073566111118,HRV
16.072508302672063,43.488652441944495,HRV
16.048146118203867,43.49656922277781,HRV
16.023783933735672,43.50448600361113,HRV
16.00275413730183,43.51826952275208,HRV
15.983477791101757,43.5351400274274,HRV
15.964201444901681,43.55201053210272,HRV
15.944925098701605,43.56888103677804,HRV
15.92564875250153,43.58575154145336,HRV
15.906372406301454,43.60262204612868,HRV
15.887096060101378,43.619492550804,HRV
15.867819713901302,43.63636305547932,HRV
15.848543367701227,43.65323356015464,HRV
15.82926702150115,43.670104064829964,HRV
15.809990675301075,43.68697456950528,HRV
15.790714329100998,43.7038450741806,HRV
15.771437982900922,43.72071557885592,HRV
15.752161636700848,43.73758608353124,HRV
15.732885290500771,43.754456588206565,HRV
15.713608944300695,43.77132709288188,HRV
15.694332598100619,43.7881975975572,HRV
15.675056251900545,43.805068102232525,HRV
15.655779905700468,43.82193860690784,HRV
15.636503559500392,43.83880911158316,HRV
15.617227213300316,43.855679616258485,HRV
15.597950867100241,43.8725501209338,HRV
15.578674520900165,43.88942062560913,HRV
15.559398174700089,43.906291130284444,HRV
15.540121828500013,43.92316163495976,HRV
15.520845482299938,43.940032139635086,HRV
15.501569136099862,43.956902644310404,HRV
15.482292789899786,43.97377314898573,HRV
15.46301644369971,43.990643653661046,HRV
15.443740097499635,44.00751415833636,HRV
15.424463751299559,44.02438466301169,HRV
15.405187405099483,44.041255167687005,HRV
15.385911058899406,44.05812567236233,HRV
15.366634712699332,44.07499617703765,HRV
15.347358366499256,44.091866681712965,HRV
15.32808202029918,44.10873718638829,HRV
