animal,grams_product,product,nutrient,grams_nutrient,source
sheep,100,milk,fat,7,https://www.fatsecret.com/calories-nutrition/usda/sheep-milk?portionid=56509&portionamount=100.000
sheep,100,milk,protein,5.98,https://www.fatsecret.com/calories-nutrition/usda/sheep-milk?portionid=56509&portionamount=100.000
sheep,100,milk,carbs,5.36,https://www.fatsecret.com/calories-nutrition/usda/sheep-milk?portionid=56509&portionamount=100.000
sheep,100,meat,fat,24.37,https://www.fatsecret.com/calories-nutrition/generic/lamb-chop-cooked-lean-and-fat-eaten?portionid=50224&portionamount=100.000
sheep,100,meat,protein,22.03,https://www.fatsecret.com/calories-nutrition/generic/lamb-chop-cooked-lean-and-fat-eaten?portionid=50224&portionamount=100.000
sheep,100,meat,carbs,0,https://www.fatsecret.com/calories-nutrition/generic/lamb-chop-cooked-lean-and-fat-eaten?portionid=50224&portionamount=100.000
goat,100,meat,fat,2.31,https://www.fatsecret.com/calories-nutrition/usda/goat-meat?portionid=61318&portionamount=100.000
goat,100,meat,protein,20.6,https://www.fatsecret.com/calories-nutrition/usda/goat-meat?portionid=61318&portionamount=100.000
goat,100,milk,fat,4.14,https://www.fatsecret.com/calories-nutrition/usda/goats-milk?portionid=56506&portionamount=100.000
goat,100,milk,carbs,4.45,https://www.fatsecret.com/calories-nutrition/usda/goats-milk?portionid=56506&portionamount=100.000
goat,100,milk,protein,3.56,https://www.fatsecret.com/calories-nutrition/usda/goats-milk?portionid=56506&portionamount=100.000
cow,100,meat,fat,18.54,https://www.nebraskabison.com/pages/nutritional-comparisons-why-bison
cow,100,meat,protein,28,https://www.nebraskabison.com/pages/nutritional-comparisons-why-bison
cow,100,milk,fat,2,https://www.fatsecret.com/calories-nutrition/generic/milk?portionid=49473&portionamount=100.000
cow,100,milk,carbs,4.71,https://www.fatsecret.com/calories-nutrition/generic/milk?portionid=49473&portionamount=100.000
cow,100,milk,protein,3.29,https://www.fatsecret.com/calories-nutrition/generic/milk?portionid=49473&portionamount=100.000
