iso3c,animal,system,product,leach_n_leave_rate
ABW,goats,grassland,meat,8.8025e-4
AFG,goats,grassland,meat,0.001185
AGO,goats,grassland,meat,8.55e-4
AIA,goats,grassland,meat,8.8025e-4
ALA,goats,grassland,meat,0.0017665
ALB,goats,grassland,meat,0.001527
AND,goats,grassland,meat,0.0015929999999999998
ARE,goats,grassland,meat,0.001095
ARG,goats,grassland,meat,0.001269
ARM,goats,grassland,meat,0.001251
ASM,goats,grassland,meat,0.0015214999999999998
ATG,goats,grassland,meat,8.8025e-4
AUS,goats,grassland,meat,0.001602
AUT,goats,grassland,meat,0.0019769999999999996
AZE,goats,grassland,meat,9.18e-4
BDI,goats,grassland,meat,6.33e-4
BEL,goats,grassland,meat,0.0012419999999999998
BEN,goats,grassland,meat,0.001302
BES,goats,grassland,meat,8.753478260869565e-4
BFA,goats,grassland,meat,7.68e-4
BGD,goats,grassland,meat,8.879999999999999e-4
BGR,goats,grassland,meat,0.001449
BHR,goats,grassland,meat,8.399999999999999e-4
BHS,goats,grassland,meat,0.001137
BIH,goats,grassland,meat,0.0014159999999999997
BLM,goats,grassland,meat,8.753478260869565e-4
BLR,goats,grassland,meat,0.002163
BLZ,goats,grassland,meat,9.75e-4
BMU,goats,grassland,meat,0.001716
BOL,goats,grassland,meat,0.001107
BRA,goats,grassland,meat,9.149999999999999e-4
BRB,goats,grassland,meat,8.8025e-4
BRN,goats,grassland,meat,5.459999999999999e-4
BTN,goats,grassland,meat,9.06e-4
BWA,goats,grassland,meat,0.0010769999999999998
CAF,goats,grassland,meat,8.100000000000001e-4
CAN,goats,grassland,meat,0.001569
CCK,goats,grassland,meat,0.0017039999999999998
CHE,goats,grassland,meat,0.001971
CHL,goats,grassland,meat,0.001122
CHN,goats,grassland,meat,7.529999999999999e-4
CIV,goats,grassland,meat,7.56e-4
CMR,goats,grassland,meat,7.709999999999999e-4
COD,goats,grassland,meat,8.13e-4
COG,goats,grassland,meat,8.13e-4
COK,goats,grassland,meat,0.0015214999999999998
COL,goats,grassland,meat,0.001011
COM,goats,grassland,meat,3.63e-4
CPV,goats,grassland,meat,7.445625e-4
CRI,goats,grassland,meat,8.759999999999999e-4
CUB,goats,grassland,meat,8.639999999999999e-4
CUW,goats,grassland,meat,8.753478260869565e-4
CXR,goats,grassland,meat,0.0017039999999999998
CYM,goats,grassland,meat,8.8025e-4
CYP,goats,grassland,meat,0.001098
CZE,goats,grassland,meat,0.002205
DEU,goats,grassland,meat,0.0018059999999999997
DJI,goats,grassland,meat,7.92e-4
DMA,goats,grassland,meat,0.001095
DNK,goats,grassland,meat,0.0017665
DOM,goats,grassland,meat,9e-4
DZA,goats,grassland,meat,7.26e-4
ECU,goats,grassland,meat,9.78e-4
EGY,goats,grassland,meat,5.07e-4
ERI,goats,grassland,meat,7.98e-4
ESH,goats,grassland,meat,7.015e-4
ESP,goats,grassland,meat,0.0020399999999999997
EST,goats,grassland,meat,0.0018
ETH,goats,grassland,meat,7.95e-4
FIN,goats,grassland,meat,0.001233
FJI,goats,grassland,meat,0.001339
FLK,goats,grassland,meat,0.0010414615384615384
FRA,goats,grassland,meat,0.002271
FRO,goats,grassland,meat,0.0017665
FSM,goats,grassland,meat,0.0015214999999999998
GAB,goats,grassland,meat,7.92e-4
GBR,goats,grassland,meat,0.0017665
GEO,goats,grassland,meat,9.57e-4
GGY,goats,grassland,meat,0.0017665
GHA,goats,grassland,meat,7.170000000000001e-4
GIB,goats,grassland,meat,0.0015929999999999998
GIN,goats,grassland,meat,8.01e-4
GLP,goats,grassland,meat,3.9299999999999996e-4
GMB,goats,grassland,meat,7.02e-4
GNB,goats,grassland,meat,6.3e-4
GNQ,goats,grassland,meat,7.8e-4
GRC,goats,grassland,meat,0.0015
GRD,goats,grassland,meat,8.8025e-4
GRL,goats,grassland,meat,0.001716
GTM,goats,grassland,meat,9.689999999999999e-4
GUF,goats,grassland,meat,0.001026
GUM,goats,grassland,meat,0.0015214999999999998
GUY,goats,grassland,meat,9.57e-4
HKG,goats,grassland,meat,8.855999999999998e-4
HND,goats,grassland,meat,9.54e-4
HRV,goats,grassland,meat,0.001713
HTI,goats,grassland,meat,7.5e-4
HUN,goats,grassland,meat,0.0013559999999999998
IDN,goats,grassland,meat,0.001269
IMN,goats,grassland,meat,0.0017665
IND,goats,grassland,meat,0.001626
IOT,goats,grassland,meat,8.148e-4
IRL,goats,grassland,meat,0.0015179999999999998
IRN,goats,grassland,meat,0.001011
IRQ,goats,grassland,meat,9.93e-4
ISL,goats,grassland,meat,0.0017665
ISR,goats,grassland,meat,0.001137
ITA,goats,grassland,meat,0.0013679999999999999
JAM,goats,grassland,meat,0.001332
JEY,goats,grassland,meat,0.0017665
JOR,goats,grassland,meat,9.48e-4
JPN,goats,grassland,meat,8.34e-4
KAZ,goats,grassland,meat,9.329999999999999e-4
KEN,goats,grassland,meat,0.001065
KGZ,goats,grassland,meat,9.06e-4
KHM,goats,grassland,meat,9.218999999999999e-4
KIR,goats,grassland,meat,0.0015214999999999998
KNA,goats,grassland,meat,8.8025e-4
KOR,goats,grassland,meat,8.13e-4
KWT,goats,grassland,meat,0.001032
LAO,goats,grassland,meat,0.001026
LBN,goats,grassland,meat,0.001125
LBR,goats,grassland,meat,7.23e-4
LBY,goats,grassland,meat,7.05e-4
LCA,goats,grassland,meat,7.44e-4
LIE,goats,grassland,meat,0.001257
LKA,goats,grassland,meat,0.001056
LSO,goats,grassland,meat,9.72e-4
LTU,goats,grassland,meat,0.0019950000000000002
LUX,goats,grassland,meat,0.001314
LVA,goats,grassland,meat,0.001983
MAC,goats,grassland,meat,8.855999999999998e-4
MAF,goats,grassland,meat,8.753478260869565e-4
MAR,goats,grassland,meat,5.55e-4
MCO,goats,grassland,meat,0.001617
MDA,goats,grassland,meat,0.0013469999999999999
MDG,goats,grassland,meat,9.36e-4
MDV,goats,grassland,meat,9.341250000000001e-4
MEX,goats,grassland,meat,9.9e-4
MHL,goats,grassland,meat,0.0015214999999999998
MKD,goats,grassland,meat,0.0015929999999999998
MLI,goats,grassland,meat,7.89e-4
MLT,goats,grassland,meat,0.00201
MMR,goats,grassland,meat,0.001053
MNE,goats,grassland,meat,0.0014159999999999997
MNG,goats,grassland,meat,0.0012090000000000002
MNP,goats,grassland,meat,0.0015214999999999998
MOZ,goats,grassland,meat,0.001032
MRT,goats,grassland,meat,9.24e-4
MSR,goats,grassland,meat,8.8025e-4
MTQ,goats,grassland,meat,8.79e-4
MUS,goats,grassland,meat,8.148e-4
MWI,goats,grassland,meat,7.469999999999999e-4
MYS,goats,grassland,meat,0.001263
MYT,goats,grassland,meat,8.148e-4
NAM,goats,grassland,meat,0.001026
NCL,goats,grassland,meat,0.0013499999999999999
NER,goats,grassland,meat,7.95e-4
NFK,goats,grassland,meat,0.0017039999999999998
NGA,goats,grassland,meat,6.240000000000001e-4
NIC,goats,grassland,meat,9.48e-4
NIU,goats,grassland,meat,0.0015214999999999998
NLD,goats,grassland,meat,0.001098
NOR,goats,grassland,meat,0.0020700000000000002
NPL,goats,grassland,meat,8.01e-4
NRU,goats,grassland,meat,0.0015214999999999998
NZL,goats,grassland,meat,0.0018059999999999997
OMN,goats,grassland,meat,0.001185
PAK,goats,grassland,meat,8.13e-4
PAN,goats,grassland,meat,9.299999999999999e-4
PCN,goats,grassland,meat,0.0015214999999999998
PER,goats,grassland,meat,0.001047
PHL,goats,grassland,meat,8.13e-4
PLW,goats,grassland,meat,0.0015214999999999998
PNG,goats,grassland,meat,0.0013169999999999998
POL,goats,grassland,meat,0.001608
PRI,goats,grassland,meat,9.87e-4
PRK,goats,grassland,meat,8.19e-4
PRT,goats,grassland,meat,0.0015929999999999998
PRY,goats,grassland,meat,0.001014
PSE,goats,grassland,meat,0.00219
PYF,goats,grassland,meat,0.0015214999999999998
QAT,goats,grassland,meat,0.00111
REU,goats,grassland,meat,8.148e-4
ROU,goats,grassland,meat,0.0012779999999999998
RUS,goats,grassland,meat,0.001458
RWA,goats,grassland,meat,6.779999999999999e-4
SAU,goats,grassland,meat,0.0010019999999999999
SDN,goats,grassland,meat,0.001071
SEN,goats,grassland,meat,6.089999999999998e-4
SGP,goats,grassland,meat,7.11e-4
SHN,goats,grassland,meat,3.63e-4
SJM,goats,grassland,meat,0.0017665
SLB,goats,grassland,meat,0.001339
SLE,goats,grassland,meat,7.44e-4
SLV,goats,grassland,meat,8.100000000000001e-4
SMR,goats,grassland,meat,0.0015929999999999998
SOM,goats,grassland,meat,6.720000000000001e-4
SPM,goats,grassland,meat,0.001716
SRB,goats,grassland,meat,0.0014159999999999997
SSD,goats,grassland,meat,8.148e-4
STP,goats,grassland,meat,2.85e-4
SUR,goats,grassland,meat,9.75e-4
SVK,goats,grassland,meat,0.0015090000000000001
SVN,goats,grassland,meat,0.001524
SWE,goats,grassland,meat,0.0017665
SWZ,goats,grassland,meat,0.001083
SXM,goats,grassland,meat,8.753478260869565e-4
SYC,goats,grassland,meat,8.148e-4
