iso3c,animal,system,product,leach_n_leave_rate
ABW,goats,mixed,meat,4.40125e-4
AFG,goats,mixed,meat,5.925e-4
AGO,goats,mixed,meat,4.275e-4
AIA,goats,mixed,meat,4.40125e-4
ALA,goats,mixed,meat,0.0012250116666666668
ALB,goats,mixed,meat,0.00109944
AND,goats,mixed,meat,0.0011469599999999998
ARE,goats,mixed,meat,5.475e-4
ARG,goats,mixed,meat,6.345e-4
ARM,goats,mixed,meat,6.255e-4
ASM,goats,mixed,meat,0.0015214999999999998
ATG,goats,mixed,meat,4.40125e-4
AUS,goats,mixed,meat,0.001602
AUT,goats,mixed,meat,7.3149e-4
AZE,goats,mixed,meat,4.59e-4
BDI,goats,mixed,meat,3.165e-4
BEL,goats,mixed,meat,4.5954e-4
BEN,goats,mixed,meat,6.51e-4
BES,goats,mixed,meat,4.3767391304347825e-4
BFA,goats,mixed,meat,3.84e-4
BGD,goats,mixed,meat,4.4399999999999995e-4
BGR,goats,mixed,meat,7.245e-4
BHR,goats,mixed,meat,4.1999999999999996e-4
BHS,goats,mixed,meat,5.685e-4
BIH,goats,mixed,meat,0.0010195199999999997
BLM,goats,mixed,meat,4.3767391304347825e-4
BLR,goats,mixed,meat,5.1912e-4
BLZ,goats,mixed,meat,4.875e-4
BMU,goats,mixed,meat,0.001716
BOL,goats,mixed,meat,5.535e-4
BRA,goats,mixed,meat,4.5749999999999995e-4
BRB,goats,mixed,meat,4.40125e-4
BRN,goats,mixed,meat,2.7299999999999997e-4
BTN,goats,mixed,meat,4.53e-4
BWA,goats,mixed,meat,5.384999999999999e-4
CAF,goats,mixed,meat,4.0500000000000003e-4
CAN,goats,mixed,meat,8.786400000000001e-4
CCK,goats,mixed,meat,0.0017039999999999998
CHE,goats,mixed,meat,3.942e-4
CHL,goats,mixed,meat,5.61e-4
CHN,goats,mixed,meat,3.7649999999999994e-4
CIV,goats,mixed,meat,3.78e-4
CMR,goats,mixed,meat,3.8549999999999994e-4
COD,goats,mixed,meat,4.065e-4
COG,goats,mixed,meat,4.065e-4
COK,goats,mixed,meat,0.0015214999999999998
COL,goats,mixed,meat,5.055e-4
COM,goats,mixed,meat,1.815e-4
CPV,goats,mixed,meat,3.7228125e-4
CRI,goats,mixed,meat,4.3799999999999997e-4
CUB,goats,mixed,meat,4.3199999999999993e-4
CUW,goats,mixed,meat,4.3767391304347825e-4
CXR,goats,mixed,meat,0.0017039999999999998
CYM,goats,mixed,meat,4.40125e-4
CYP,goats,mixed,meat,5.49e-4
CZE,goats,mixed,meat,0.0011025
DEU,goats,mixed,meat,5.7792e-4
DJI,goats,mixed,meat,3.96e-4
DMA,goats,mixed,meat,5.475e-4
DNK,goats,mixed,meat,0.001289545
DOM,goats,mixed,meat,4.5e-4
DZA,goats,mixed,meat,3.63e-4
ECU,goats,mixed,meat,4.89e-4
EGY,goats,mixed,meat,2.535e-4
ERI,goats,mixed,meat,3.99e-4
ESH,goats,mixed,meat,3.5075e-4
ESP,goats,mixed,meat,0.0016932
EST,goats,mixed,meat,0.0018
ETH,goats,mixed,meat,3.975e-4
FIN,goats,mixed,meat,4.0689000000000003e-4
FJI,goats,mixed,meat,0.001339
FLK,goats,mixed,meat,5.207307692307692e-4
FRA,goats,mixed,meat,5.5264875e-4
FRO,goats,mixed,meat,0.00169584
FSM,goats,mixed,meat,0.0015214999999999998
GAB,goats,mixed,meat,3.96e-4
GBR,goats,mixed,meat,0.00169584
GEO,goats,mixed,meat,4.785e-4
GGY,goats,mixed,meat,0.0010599000000000001
GHA,goats,mixed,meat,3.5850000000000004e-4
GIB,goats,mixed,meat,0.0011913771428571428
GIN,goats,mixed,meat,4.005e-4
