iso3c,animal,system,product,leach_n_leave_rate
ABW,sheep,mixed,milk,5.765e-4
AFG,sheep,mixed,milk,6.36e-4
AGO,sheep,mixed,milk,5.115e-4
AIA,sheep,mixed,milk,5.765e-4
ALA,sheep,mixed,milk,9.603865e-4
ALB,sheep,mixed,milk,0.0010389599999999998
AND,sheep,mixed,milk,0.0010605599999999999
ARE,sheep,mixed,milk,6.464999999999999e-4
ARG,sheep,mixed,milk,7.305e-4
ARM,sheep,mixed,milk,6.42e-4
ASM,sheep,mixed,milk,0.0017595
ATG,sheep,mixed,milk,5.765e-4
AUS,sheep,mixed,milk,0.00189
AUT,sheep,mixed,milk,6.204899999999999e-4
AZE,sheep,mixed,milk,5.58e-4
BDI,sheep,mixed,milk,3.81e-4
BEL,sheep,mixed,milk,5.938499999999999e-4
BEN,sheep,mixed,milk,4.6649999999999996e-4
BES,sheep,mixed,milk,5.722173913043477e-4
BFA,sheep,mixed,milk,4.89e-4
BGD,sheep,mixed,milk,3.78e-4
BGR,sheep,mixed,milk,6.51e-4
BHR,sheep,mixed,milk,5.49e-4
BHS,sheep,mixed,milk,6.644999999999999e-4
BIH,sheep,mixed,milk,0.0010389599999999998
BLM,sheep,mixed,milk,5.722173913043477e-4
BLR,sheep,mixed,milk,2.9304000000000005e-4
BLZ,sheep,mixed,milk,6.779999999999999e-4
BMU,sheep,mixed,milk,0.0019424999999999998
BOL,sheep,mixed,milk,7.589999999999999e-4
BRA,sheep,mixed,milk,7.5e-4
BRB,sheep,mixed,milk,5.765e-4
BRN,sheep,mixed,milk,2.205e-4
BTN,sheep,mixed,milk,5.715e-4
BWA,sheep,mixed,milk,5.37e-4
CAF,sheep,mixed,milk,5.535e-4
CAN,sheep,mixed,milk,0.00108696
CCK,sheep,mixed,milk,0.00189
CHE,sheep,mixed,milk,3.294e-4
CHL,sheep,mixed,milk,8.55e-4
CHN,sheep,mixed,milk,6.045000000000001e-4
CIV,sheep,mixed,milk,4.1549999999999996e-4
CMR,sheep,mixed,milk,5.175000000000001e-4
COD,sheep,mixed,milk,4.74e-4
COG,sheep,mixed,milk,5.145e-4
COK,sheep,mixed,milk,0.0017595
COL,sheep,mixed,milk,7.26e-4
COM,sheep,mixed,milk,2.205e-4
CPV,sheep,mixed,milk,4.1999999999999996e-4
CRI,sheep,mixed,milk,6.66e-4
CUB,sheep,mixed,milk,4.904999999999999e-4
CUW,sheep,mixed,milk,5.722173913043477e-4
