iso3c,animal,system,product,leach_n_leave_rate
ABW,chickens,industrial,eggs,3.9241238372093026e-5
AFG,chickens,industrial,eggs,6.195375e-5
AGO,chickens,industrial,eggs,3.9241238372093026e-5
AIA,chickens,industrial,eggs,3.9241238372093026e-5
ALA,chickens,industrial,eggs,1.65e-6
ALB,chickens,industrial,eggs,1.4015999999999998e-5
AND,chickens,industrial,eggs,1.4015999999999998e-5
ARE,chickens,industrial,eggs,6.195375e-5
ARG,chickens,industrial,eggs,3.9241238372093026e-5
ARM,chickens,industrial,eggs,6.195375e-5
ASM,chickens,industrial,eggs,4.39875e-5
ATG,chickens,industrial,eggs,3.9241238372093026e-5
AUS,chickens,industrial,eggs,4.761e-5
AUT,chickens,industrial,eggs,3.5999999999999994e-5
AZE,chickens,industrial,eggs,6.195375e-5
BDI,chickens,industrial,eggs,3.9241238372093026e-5
BEL,chickens,industrial,eggs,3.5999999999999994e-5
BEN,chickens,industrial,eggs,3.9241238372093026e-5
BES,chickens,industrial,eggs,3.9241238372093026e-5
BFA,chickens,industrial,eggs,3.9241238372093026e-5
BGD,chickens,industrial,eggs,6.195375e-5
BGR,chickens,industrial,eggs,1.4015999999999998e-5
BHR,chickens,industrial,eggs,6.195375e-5
BHS,chickens,industrial,eggs,3.9241238372093026e-5
BIH,chickens,industrial,eggs,1.4015999999999998e-5
BLM,chickens,industrial,eggs,3.9241238372093026e-5
BLR,chickens,industrial,eggs,1.4015999999999998e-5
BLZ,chickens,industrial,eggs,3.9241238372093026e-5
BMU,chickens,industrial,eggs,3.9241238372093026e-5
BOL,chickens,industrial,eggs,3.9241238372093026e-5
BRA,chickens,industrial,eggs,3.9241238372093026e-5
BRB,chickens,industrial,eggs,3.9241238372093026e-5
BRN,chickens,industrial,eggs,7.614000000000001e-5
BTN,chickens,industrial,eggs,6.195375e-5
BWA,chickens,industrial,eggs,3.9241238372093026e-5
CAF,chickens,industrial,eggs,3.9241238372093026e-5
CAN,chickens,industrial,eggs,3.9241238372093026e-5
CCK,chickens,industrial,eggs,4.7955000000000004e-5
CHE,chickens,industrial,eggs,3.5999999999999994e-5
CHL,chickens,industrial,eggs,3.9241238372093026e-5
CHN,chickens,industrial,eggs,6.195375e-5
CIV,chickens,industrial,eggs,3.9241238372093026e-5
CMR,chickens,industrial,eggs,3.9241238372093026e-5
COD,chickens,industrial,eggs,3.9241238372093026e-5
COG,chickens,industrial,eggs,3.9241238372093026e-5
COK,chickens,industrial,eggs,4.39875e-5
COL,chickens,industrial,eggs,3.9241238372093026e-5
COM,chickens,industrial,eggs,3.9241238372093026e-5
CPV,chickens,industrial,eggs,3.9241238372093026e-5
CRI,chickens,industrial,eggs,3.9241238372093026e-5
CUB,chickens,industrial,eggs,3.9241238372093026e-5
CUW,chickens,industrial,eggs,3.9241238372093026e-5
CXR,chickens,industrial,eggs,4.7955000000000004e-5
CYM,chickens,industrial,eggs,3.9241238372093026e-5
CYP,chickens,industrial,eggs,6.195375e-5
CZE,chickens,industrial,eggs,1.4015999999999998e-5
DEU,chickens,industrial,eggs,3.5999999999999994e-5
DJI,chickens,industrial,eggs,3.9241238372093026e-5
DMA,chickens,industrial,eggs,3.9241238372093026e-5
DNK,chickens,industrial,eggs,1.65e-6
DOM,chickens,industrial,eggs,3.9241238372093026e-5
DZA,chickens,industrial,eggs,3.9241238372093026e-5
ECU,chickens,industrial,eggs,3.9241238372093026e-5
EGY,chickens,industrial,eggs,3.9241238372093026e-5
ERI,chickens,industrial,eggs,3.9241238372093026e-5
ESH,chickens,industrial,eggs,3.9241238372093026e-5
ESP,chickens,industrial,eggs,1.4015999999999998e-5
EST,chickens,industrial,eggs,1.65e-6
ETH,chickens,industrial,eggs,3.9241238372093026e-5
FIN,chickens,industrial,eggs,1.65e-6
FJI,chickens,industrial,eggs,4.002000000000001e-5
FLK,chickens,industrial,eggs,3.9241238372093026e-5
FRA,chickens,industrial,eggs,3.5999999999999994e-5
FRO,chickens,industrial,eggs,1.65e-6
FSM,chickens,industrial,eggs,4.39875e-5
GAB,chickens,industrial,eggs,3.9241238372093026e-5
GBR,chickens,industrial,eggs,1.65e-6
GEO,chickens,industrial,eggs,6.195375e-5
GGY,chickens,industrial,eggs,1.65e-6
GHA,chickens,industrial,eggs,3.9241238372093026e-5
GIB,chickens,industrial,eggs,1.4015999999999998e-5
GIN,chickens,industrial,eggs,3.9241238372093026e-5
GLP,chickens,industrial,eggs,3.9241238372093026e-5
GMB,chickens,industrial,eggs,3.9241238372093026e-5
GNB,chickens,industrial,eggs,3.9241238372093026e-5
GNQ,chickens,industrial,eggs,3.9241238372093026e-5
GRC,chickens,industrial,eggs,1.4015999999999998e-5
GRD,chickens,industrial,eggs,3.9241238372093026e-5
GRL,chickens,industrial,eggs,3.9241238372093026e-5
GTM,chickens,industrial,eggs,3.9241238372093026e-5
GUF,chickens,industrial,eggs,3.9241238372093026e-5
GUM,chickens,industrial,eggs,4.39875e-5
GUY,chickens,industrial,eggs,3.9241238372093026e-5
HKG,chickens,industrial,eggs,6.195375e-5
HND,chickens,industrial,eggs,3.9241238372093026e-5
HRV,chickens,industrial,eggs,1.4015999999999998e-5
HTI,chickens,industrial,eggs,3.9241238372093026e-5
HUN,chickens,industrial,eggs,1.4015999999999998e-5
IDN,chickens,industrial,eggs,6.195375e-5
IMN,chickens,industrial,eggs,1.65e-6
IND,chickens,industrial,eggs,6.195375e-5
IOT,chickens,industrial,eggs,3.9241238372093026e-5
IRL,chickens,industrial,eggs,1.65e-6
IRN,chickens,industrial,eggs,6.195375e-5
IRQ,chickens,industrial,eggs,6.195375e-5
ISL,chickens,industrial,eggs,1.65e-6
ISR,chickens,industrial,eggs,6.195375e-5
ITA,chickens,industrial,eggs,1.4015999999999998e-5
JAM,chickens,industrial,eggs,3.9241238372093026e-5
JEY,chickens,industrial,eggs,1.65e-6
JOR,chickens,industrial,eggs,6.195375e-5
JPN,chickens,industrial,eggs,6.195375e-5
KAZ,chickens,industrial,eggs,6.195375e-5
KEN,chickens,industrial,eggs,3.9241238372093026e-5
KGZ,chickens,industrial,eggs,6.195375e-5
KHM,chickens,industrial,eggs,4.212000000000002e-5
KIR,chickens,industrial,eggs,4.39875e-5
KNA,chickens,industrial,eggs,3.9241238372093026e-5
KOR,chickens,industrial,eggs,6.195375e-5
KWT,chickens,industrial,eggs,6.195375e-5
LAO,chickens,industrial,eggs,4.131000000000001e-5
LBN,chickens,industrial,eggs,6.195375e-5
LBR,chickens,industrial,eggs,3.9241238372093026e-5
LBY,chickens,industrial,eggs,3.9241238372093026e-5
LCA,chickens,industrial,eggs,3.9241238372093026e-5
LIE,chickens,industrial,eggs,3.5999999999999994e-5
LKA,chickens,industrial,eggs,6.195375e-5
LSO,chickens,industrial,eggs,3.9241238372093026e-5
LTU,chickens,industrial,eggs,1.65e-6
LUX,chickens,industrial,eggs,3.5999999999999994e-5
LVA,chickens,industrial,eggs,1.65e-6
MAC,chickens,industrial,eggs,6.195375e-5
MAF,chickens,industrial,eggs,3.9241238372093026e-5
MAR,chickens,industrial,eggs,3.9241238372093026e-5
MCO,chickens,industrial,eggs,3.5999999999999994e-5
MDA,chickens,industrial,eggs,1.4015999999999998e-5
MDG,chickens,industrial,eggs,3.9241238372093026e-5
MDV,chickens,industrial,eggs,6.195375e-5
MEX,chickens,industrial,eggs,3.9241238372093026e-5
