iso3c,animal,system,product,leach_n_leave_rate
ABW,sheep,mixed,meat,5.765e-4
AFG,sheep,mixed,meat,6.36e-4
AGO,sheep,mixed,meat,5.115e-4
AIA,sheep,mixed,meat,5.765e-4
ALA,sheep,mixed,meat,9.603865e-4
ALB,sheep,mixed,meat,0.0010389599999999998
AND,sheep,mixed,meat,0.0010605599999999999
ARE,sheep,mixed,meat,6.464999999999999e-4
ARG,sheep,mixed,meat,7.305e-4
ARM,sheep,mixed,meat,6.42e-4
ASM,sheep,mixed,meat,0.0017595
ATG,sheep,mixed,meat,5.765e-4
AUS,sheep,mixed,meat,0.00189
AUT,sheep,mixed,meat,6.204899999999999e-4
AZE,sheep,mixed,meat,5.58e-4
BDI,sheep,mixed,meat,3.81e-4
BEL,sheep,mixed,meat,5.938499999999999e-4
BEN,sheep,mixed,meat,4.6649999999999996e-4
BES,sheep,mixed,meat,5.722173913043477e-4
BFA,sheep,mixed,meat,4.89e-4
BGD,sheep,mixed,meat,3.78e-4
BGR,sheep,mixed,meat,6.51e-4
BHR,sheep,mixed,meat,5.49e-4
BHS,sheep,mixed,meat,6.644999999999999e-4
BIH,sheep,mixed,meat,0.0010389599999999998
BLM,sheep,mixed,meat,5.722173913043477e-4
BLR,sheep,mixed,meat,2.9304000000000005e-4
BLZ,sheep,mixed,meat,6.779999999999999e-4
BMU,sheep,mixed,meat,0.0019424999999999998
BOL,sheep,mixed,meat,7.589999999999999e-4
BRA,sheep,mixed,meat,7.5e-4
BRB,sheep,mixed,meat,5.765e-4
BRN,sheep,mixed,meat,2.205e-4
BTN,sheep,mixed,meat,5.715e-4
BWA,sheep,mixed,meat,5.37e-4
CAF,sheep,mixed,meat,5.535e-4
CAN,sheep,mixed,meat,0.00108696
CCK,sheep,mixed,meat,0.00189
CHE,sheep,mixed,meat,3.294e-4
CHL,sheep,mixed,meat,8.55e-4
CHN,sheep,mixed,meat,6.045000000000001e-4
CIV,sheep,mixed,meat,4.1549999999999996e-4
CMR,sheep,mixed,meat,5.175000000000001e-4
COD,sheep,mixed,meat,4.74e-4
COG,sheep,mixed,meat,5.145e-4
COK,sheep,mixed,meat,0.0017595
COL,sheep,mixed,meat,7.26e-4
COM,sheep,mixed,meat,2.205e-4
CPV,sheep,mixed,meat,4.1999999999999996e-4
CRI,sheep,mixed,meat,6.66e-4
CUB,sheep,mixed,meat,4.904999999999999e-4
CUW,sheep,mixed,meat,5.722173913043477e-4
CXR,sheep,mixed,meat,0.00189
CYM,sheep,mixed,meat,5.765e-4
CYP,sheep,mixed,meat,6.029999999999999e-4
CZE,sheep,mixed,meat,6.705e-4
DEU,sheep,mixed,meat,5.0304e-4
DJI,sheep,mixed,meat,4.185e-4
DMA,sheep,mixed,meat,7.514999999999999e-4
DNK,sheep,mixed,meat,0.0011891699999999998
