site_no_,comp_name,cert_name,farm_name,species__c,type_of_certification__c,cert_country,farm_species,geom,,,,,
S0000769,"Fujian China-Singapore Evervest Co., Ltd.",Fuzhou Yongkefeng Aquaculture,Fuzhou Yongkefeng Aquaculture,Abalone,Single Site,China,Haliotis discus (Japanese abalone),POINT (119.910417 26.377611),,,,,
S0000992,Moana New Zealand (Aotearoa),Ruakaka,Ruakaka,Abalone,Single Site,New Zealand,Haliotis iris (Rainbow abalone),POINT (174.467739 -32.878411),,,,,
S0001090,Moana New Zealand (Aotearoa),Blue Abalone Farm,Blue Abalone Farm,Abalone,Single Site,New Zealand,Haliotis iris (Rainbow abalone),POINT (174.467739 -35.878411),,,,,
S0001226,I & J Aquaculture,Dangerpoint Farm,Dangerpoint Farm,Abalone,Single Site,South Africa,Haliotis midae (Perlemoen abalone),POINT (19.298 -34.628028),,,,,
S0001246,Jade Tiger Abalone,Jade Tiger Abalone Farm,Jade Tiger Abalone Farm,Abalone,Single Site,Australia,"Haliotis rubra (Blacklip abalone), Haliotis laevigata (Greenlip abalone)",POINT (144.716951 -38.148922),,,,,
S0001790,Chungsan Fishermen’s organization,Chungsan Farms,Incheol Lim,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.606565 34.289912),,,,,
S0001791,Chungsan Fishermen’s organization,Chungsan Farms,Onbae Kim,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.592819 34.145438),,,,,
S0001792,Chungsan Fishermen’s organization,Chungsan Farms,HyunGyu Kim,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.590008 34.150024),,,,,
S0001793,Chungsan Fishermen’s organization,Chungsan Farms,Yunjin Kwak,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.589603 34.149812),,,,,
S0001795,Chungsan Fishermen’s organization,Chungsan Farms,Sunju Kim,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.333927 34.144839),,,,,
S0001796,Chungsan Fishermen’s organization,Chungsan Farms,Youngmu Kim,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.572214 34.242001),,,,,
S0001797,Chungsan Fishermen’s organization,Chungsan Farms,Jaeseon Bak,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.551367 34.203549),,,,,
S0001799,Chungsan Fishermen’s organization,Chungsan Farms,Sangmin Choi,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.562137 34.243982),,,,,
S0001800,Chungsan Fishermen’s organization,Chungsan Farms,Chaebok Park,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.539406 34.223151),,,,,
S0001801,Chungsan Fishermen’s organization,Chungsan Farms,Yongcheol Kwak,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.511057 34.111471),,,,,
S0001802,Chungsan Fishermen’s organization,Chungsan Farms,Yiho Kim,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.643905 34.300802),,,,,
S0001803,Chungsan Fishermen’s organization,Chungsan Farms,Malja Kim,Abalone,Multi Site,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.857892 34.194482),,,,,
S0001937,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Woncheol, Kim",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.5315 34.227583),,,,,
S0001938,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Hongmin, Choi",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.525422 34.226917),,,,,
S0001939,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Yeonsung, Choi",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.508333 34.170556),,,,,
S0001940,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Daegwang, Shim",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.525189 34.177622),,,,,
S0001941,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Byungseok, Ko",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.579711 34.139667),,,,,
S0001942,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Jongpyo, Kim",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.581806 34.141722),,,,,
S0001943,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Hyojung, Kim",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.588081 34.148767),,,,,
S0001944,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Jangmyeong, Wi",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.914342 34.1905),,,,,
S0001945,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Hyuncheol, Kim",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.850889 34.199611),,,,,
S0001946,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Songki, Kim",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (125.851669 34.196433),,,,,
S0001947,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Gwnagcheol, Ji",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.901597 34.213853),,,,,
S0001948,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Byungcheol, Han",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (127.005333 34.371944),,,,,
S0001949,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Jinho, Shin",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (127.010361 34.378333),,,,,
S0001950,Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),Sustainable Seafood Aquaculture Fishermen’s Organization (SSAFO),"Jaeyoung, Ju",Abalone,Multi Site without IMS,"Korea, Republic of",Haliotis discus (Japanese abalone),POINT (126.856056 34.357083),,,,,
S0001960,"Fuzhou Rixing Aquatic Food Co., Ltd.",Fuzhou Rixing Aquatic Culture Base,Fuzhou Rixing Aquatic Culture Base,Abalone,Single Site,China,Haliotis discus (Japanese abalone),POINT (119.805278 26.271944),,,,,
S0002006,HIK Abalone,Hermanus,Hermanus,Abalone,Single Site,South Africa,Haliotis midae (Perlemoen abalone),POINT (19.221261 -34.435247),,,,,
S0003245,Fujian Sheng Lianjiang Jiefeng Aquaculture Farm Base,Xiaonengquan Farm,Xiaonengquan site,Abalone,,China,Haliotis discus (Japanese abalone),POINT (119.85 26.383333),,,,,
S0000155,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2601,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.441877 38.331757),,,,,
S0000156,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2602,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.446626 38.343373),,,,,
S0000157,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2603,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.447977 38.352897),,,,,
S0000158,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2604,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.444739 38.350047),,,,,
S0000159,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2605,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.440841 38.347323),,,,,
