"forage_fish","inWatson"
"Acanthuridae","yes"
"Acanthurus sohal","yes"
"Alepes djedaba","yes"
"Alosa pseudoharengus","yes"
"Amblygaster sirm",NA
"Ammodytes","yes"
"Ammodytes personatus","yes"
"Ammodytes spp",NA
"Ammodytidae","yes"
"Amphichthys cryptocentrus",NA
"Anchoa nasus",NA
"Anodontostoma chacunda","yes"
"Aphia minuta",NA
"Aplodactylus punctatus",NA
"Apogonidae","yes"
"Archosargus rhomboidalis",NA
"Arctoscopus japonicus","yes"
"Argentina sphyraena","yes"
"Ariomma indica","yes"
"Atherinidae","yes"
"Atule mate","yes"
"Barbourisia rufa",NA
"Batrachoididae","yes"
"Benthosema pterotum","yes"
"Blicca bjoerkna",NA
"Boops boops","yes"
"Boreogadus saida","yes"
"Bothidae","yes"
"Bothus pantherinus","yes"
"Brachydeuterus auritus","yes"
"Brama australis",NA
"Bregmaceros mcclellandi","yes"
"Brevoortia aurea","yes"
"Brevoortia patronus","yes"
"Brevoortia pectinata","yes"
"Brevoortia tyrannus","yes"
"Caesionidae","yes"
"Caproidae","yes"
"Capros aper","yes"
"Caranx rhonchus","yes"
"Centriscops humerosus","yes"
"Centrolabrus exoletus",NA
"Cephalopholis boenak","yes"
"Cephalopholis fulva","yes"
"Cephalopholis hemistiktos","yes"
"Cephalopholis miniata","yes"
"Cetengraulis mysticetus","yes"
"Champsocephalus esox",NA
"Channichthys rhinoceratus","yes"
"Cheilodactylus variegatus","yes"
"Chirocentrus nudus","yes"
"Chlorophthalmidae","yes"
"Chloroscombrus orqueta","yes"
"Citharichthys sordidus","yes"
"Citharidae",NA
"Clupanodon thrissa","yes"
"Clupea harengus","yes"
"Clupea pallasii",NA
"Clupea pallasii pallasii","yes"
"Clupeidae","yes"
"Clupeiformes","yes"
"Clupeoidei",NA
"Clupeoids","yes"
"Clupeonella cultriventris","yes"
"Coelorinchus chilensis",NA
"Cololabis saira","yes"
"Conodon nobilis","yes"
"Coregonus albula","yes"
"Coregonus sardinella","yes"
"Cottidae","yes"
"Crenidens crenidens","yes"
"Ctenolabrus rupestris","yes"
"Cynoglossidae","yes"
"Cynoscion jamaicensis",NA
"Cyttus novaezealandiae",NA
"Decapterus","yes"
