"country","iso3c","species","year","fao_tonnes_production"
"Australia","AUS","Southern bluefin tuna",2017,8100
"Croatia","HRV","Atlantic bluefin tuna",2017,1081
"Japan","JPN","Pacific bluefin tuna",2017,15858
"Malta","MLT","Atlantic bluefin tuna",2017,4505
"Mexico","MEX","Pacific bluefin tuna",2017,5721.56
"Spain","ESP","Atlantic bluefin tuna",2017,1030
"Turkey","TUR","Atlantic bluefin tuna",2017,777
