"country","iso3c","year","fao_tonnes_production"
"Australia","AUS",2010,7283.53
"Australia","AUS",2011,5800
"Australia","AUS",2012,7087
"Australia","AUS",2013,7486
"Australia","AUS",2014,7544
"Australia","AUS",2015,8418
"Australia","AUS",2016,8895
"Australia","AUS",2017,8100
"Australia","AUS",2018,8000
"Croatia","HRV",2010,1680
"Croatia","HRV",2011,1610
"Croatia","HRV",2012,1125
"Croatia","HRV",2013,915
"Croatia","HRV",2014,1605
"Croatia","HRV",2015,1300
"Croatia","HRV",2016,1470
"Croatia","HRV",2017,1081
"Croatia","HRV",2018,1614
"Japan","JPN",2012,9639
"Japan","JPN",2013,10396
"Japan","JPN",2014,14713
"Japan","JPN",2015,14825
"Japan","JPN",2016,13413
"Japan","JPN",2017,15858
"Japan","JPN",2018,17600
"Malta","MLT",2010,990
"Malta","MLT",2011,931
"Malta","MLT",2012,800
"Malta","MLT",2013,2312
"Malta","MLT",2014,1762
"Malta","MLT",2015,3164
"Malta","MLT",2016,3709
"Malta","MLT",2017,4505
"Malta","MLT",2018,8057
"Mexico","MEX",2010,2008
"Mexico","MEX",2011,3557
"Mexico","MEX",2012,1784
"Mexico","MEX",2013,6228.42
"Mexico","MEX",2014,8286
"Mexico","MEX",2015,7854.24
"Mexico","MEX",2016,8755.81
"Mexico","MEX",2017,5721.56
"Mexico","MEX",2018,9352.03
"Spain","ESP",2011,575
"Spain","ESP",2012,555
"Spain","ESP",2015,940
"Spain","ESP",2016,910
"Spain","ESP",2017,1030
"Spain","ESP",2018,1510
"Tunisia","TUN",2013,630
"Turkey","TUR",2010,580
"Turkey","TUR",2016,770
"Turkey","TUR",2017,777
"Turkey","TUR",2018,715
