rgn_typ,rgn_id,rgn_nam,iso3c,notes,ID_0,Country
eez,250,Aruba,ABW,NA,14,Aruba
eez,200,Angola,AGO,NA,8,Angola
eez,118,Anguilla,AIA,NA,9,Anguilla
eez,82,Albania,ALB,NA,4,Albania
eez,54,United Arab Emirates,ARE,NA,241,United Arab Emirates
eez,172,Argentina,ARG,NA,12,Argentina
eez,151,American Samoa,ASM,NA,6,American Samoa
eez,213,Antarctica,ATA,NA,NA,NA
eez,120,Antigua and Barbuda,ATG,NA,11,Antigua and Barbuda
eez,16,Australia,AUS,NA,15,Australia
eez,59,Belgium,BEL,NA,23,Belgium
eez,99,Benin,BEN,NA,25,Benin
eez,204,Bangladesh,BGD,NA,20,Bangladesh
eez,71,Bulgaria,BGR,NA,37,Bulgaria
eez,52,Bahrain,BHR,NA,19,Bahrain
eez,110,Bahamas,BHS,NA,18,Bahamas
eez,232,Bosnia and Herzegovina,BIH,NA,30,Bosnia and Herzegovina
eez,164,Belize,BLZ,NA,24,Belize
eez,108,Bermuda,BMU,NA,26,Bermuda
eez,171,Brazil,BRA,NA,33,Brazil
eez,124,Barbados,BRB,NA,21,Barbados
eez,247,Brunei,BRN,NA,36,Brunei
eez,105,Bouvet Island,uninhabited_island,"uninhabited island, iso3c BVT; admin country = Norway",NA,NA
eez,218,Canada,CAN,NA,42,Canada
eez,1,Cocos Islands,CCK,NA,52,Cocos Islands
eez,224,Chile,CHL,NA,48,Chile
eez,209,China,CHN/MAC/HKG,NA,NA,NA
eez,195,Ivory Coast,CIV,NA,57,Côte d'Ivoire
eez,197,Cameroon,CMR,NA,41,Cameroon
eez,199,Democratic Republic of the Congo,COD,NA,301,Democratic Republic of the Congo
eez,100,Republique du Congo,COG,NA,185,Republic of Congo
eez,153,Cook Islands,COK,NA,55,Cook Islands
eez,132,Colombia,COL,NA,53,Colombia
eez,28,Comoro Islands,COM,NA,54,Comoros
eez,56,Cape Verde,CPV,NA,43,Cape Verde
eez,130,Costa Rica,CRI,NA,56,Costa Rica
eez,112,Cuba,CUB,NA,59,Cuba
eez,244,Curacao,CUW,NA,60,Curaçao
eez,2,Christmas Island,CXR,NA,50,Christmas Island
eez,113,Cayman Islands,CYM,NA,45,Cayman Islands
eez,81,Cyprus,CYP,NA,61,Cyprus
eez,176,Germany,DEU,NA,86,Germany
eez,46,Djibouti,DJI,NA,65,Djibouti
eez,123,Dominica,DMA,NA,66,Dominica
eez,175,Denmark,DNK,NA,64,Denmark
eez,115,Dominican Republic,DOM,NA,67,Dominican Republic
eez,84,Algeria,DZA,NA,5,Algeria
eez,137,Ecuador,ECU,NA,68,Ecuador
eez,214,Egypt,EGY,NA,69,Egypt
eez,45,Eritrea,ERI,NA,72,Eritrea
eez,63,Western Sahara,ESH,NA,253,Western Sahara
eez,182,Spain,ESP,NA,215,Spain
eez,70,Estonia,EST,NA,73,Estonia
eez,174,Finland,FIN,NA,78,Finland
eez,18,Fiji,FJI,NA,77,Fiji
eez,95,Falkland Islands,FLK,NA,75,Falkland Islands
eez,179,France,FRA,NA,79,France
eez,141,Faeroe Islands,FRO,NA,76,Faroe Islands
eez,198,Gabon,GAB,NA,83,Gabon
eez,180,United Kingdom,GBR,NA,242,United Kingdom
eez,74,Georgia,GEO,NA,85,Georgia
eez,228,Guernsey,GGY,NA,95,Guernsey
eez,106,Ghana,GHA,NA,87,Ghana
eez,60,Gibraltar,GIB,NA,88,Gibraltar
eez,194,Guinea,GIN,NA,96,Guinea
eez,65,Gambia,GMB,NA,84,Gambia
eez,193,Guinea Bissau,GNB,NA,97,Guinea-Bissau
eez,104,Equatorial Guinea,GNQ,NA,71,Equatorial Guinea
eez,80,Greece,GRC,NA,89,Greece
eez,125,Grenada,GRD,NA,91,Grenada
eez,145,Greenland,GRL,NA,90,Greenland
eez,136,Guatemala,GTM,NA,94,Guatemala
