"country","species","fao_major_area","environment","year","value","iso3c"
"China","Whiteleg shrimp","Pacific, Northwest","Brackishwater",2017,1080791,"CHN"
"Indonesia","Whiteleg shrimp","Pacific, Western Central","Brackishwater",2017,737029,"IDN"
"India","Whiteleg shrimp","Indian Ocean, Western","Brackishwater",2017,583400,"IND"
"Ecuador","Whiteleg shrimp","Pacific, Southeast","Brackishwater",2017,440000,"ECU"
"Viet Nam","Whiteleg shrimp","Pacific, Western Central","Brackishwater",2017,439022.7,"VNM"
"Thailand","Whiteleg shrimp","Pacific, Western Central","Brackishwater",2017,284101,"THA"
"Viet Nam","Giant tiger prawn","Pacific, Western Central","Brackishwater",2017,262936.39,"VNM"
"Mexico","Whiteleg shrimp","Pacific, Eastern Central","Brackishwater",2017,147611.9,"MEX"
"Indonesia","Giant tiger prawn","Pacific, Western Central","Brackishwater",2017,126191,"IDN"
"China","Penaeus shrimps nei","Pacific, Northwest","Brackishwater",2017,99212,"CHN"
"China","Giant tiger prawn","Pacific, Northwest","Brackishwater",2017,75227,"CHN"
"Bangladesh","Giant tiger prawn","Indian Ocean, Eastern","Brackishwater",2017,68272,"BGD"
"Thailand","Whiteleg shrimp","Indian Ocean, Eastern","Brackishwater",2017,62208,"THA"
"Brazil","Whiteleg shrimp","Atlantic, Southwest","Marine",2017,60000,"BRA"
"India","Giant tiger prawn","Indian Ocean, Western","Brackishwater",2017,58450,"IND"
"Myanmar","Giant tiger prawn","Indian Ocean, Eastern","Marine",2017,55309.51,"MMR"
"China","Kuruma prawn","Pacific, Northwest","Brackishwater",2017,52466,"CHN"
"Philippines","Giant tiger prawn","Pacific, Western Central","Brackishwater",2017,46067.6,"PHL"
"Saudi Arabia","Whiteleg shrimp","Indian Ocean, Western","Marine",2017,39200,"SAU"
"China","Fleshy prawn","Pacific, Northwest","Brackishwater",2017,37458,"CHN"
"Iran (Islamic Rep. of)","Whiteleg shrimp","Indian Ocean, Western","Brackishwater",2017,32332,"IRN"
"Honduras","Whiteleg shrimp","Pacific, Eastern Central","Brackishwater",2017,31500,"HND"
"Indonesia","Metapenaeus shrimps nei","Pacific, Western Central","Brackishwater",2017,29503,"IDN"
"Malaysia","Whiteleg shrimp","Pacific, Western Central","Brackishwater",2017,27683.61,"MYS"
"Peru","Whiteleg shrimp","Pacific, Southeast","Marine",2017,27491.66,"PER"
"Nicaragua","Whiteleg shrimp","Pacific, Eastern Central","Brackishwater",2017,24888,"NIC"
"Venezuela, Boliv Rep of","Whiteleg shrimp","Atlantic, Western Central","Brackishwater",2017,24500,"VEN"
"Guatemala","Whiteleg shrimp","Pacific, Eastern Central","Brackishwater",2017,16455,"GTM"
"Philippines","Whiteleg shrimp","Pacific, Western Central","Brackishwater",2017,13965.4,"PHL"
"Malaysia","Giant tiger prawn","Indian Ocean, Eastern","Brackishwater",2017,9224.2,"MYS"
"Malaysia","Whiteleg shrimp","Indian Ocean, Eastern","Brackishwater",2017,7964.43,"MYS"
"Thailand","Giant tiger prawn","Indian Ocean, Eastern","Brackishwater",2017,7847,"THA"
"Panama","Whiteleg shrimp","Pacific, Eastern Central","Brackishwater",2017,7522,"PAN"
"Bangladesh","Penaeus shrimps nei","Indian Ocean, Eastern","Brackishwater",2017,7041,"BGD"
"Viet Nam","Metapenaeus shrimps nei","Pacific, Western Central","Brackishwater",2017,6444.64,"VNM"
