product,chi
cow-meat,943792.5123846546
goat-meat,31076.110460066317
sheep-meat,64879.365915634255
chicken-meat,269289.3021937886
cow-milk,262791.4734772305
goat-milk,34307.07684316558
sheep-milk,33297.2455206789
buffalo-milk,233103.84443979105
chicken-eggs,258219.7112410293
fisheries-marine,326510.4458415904
fisheries-freshwater,0.06587469948939192
mariculture-salmon,5769.708356587886
pig-meat,223778.25340154557
Cereals and Grains,271708.8207411774
Fruits and Vegetables,259770.88404711438
Oil Crops and Seeds,147404.49210394832
Pulses and Beans,33272.04265196152
Rest,72063.43915168701
Rice,288071.76052394527
Soy,115492.16481554616
Starches and Roots,70213.92370079359
Sugar,87081.09610095898
