iso3c,category2_production,cumulative_pressure,tonnes,pressure_per_tonne
ABW,marine_fisheries,6.914151316989318e-6,2805.931986699658,0.002464119354910578
AFG,chickens_eggs&meat,3.491378160617385e-5,47518,7.347485501530757e-4
AFG,cows_meat,3.3766851679282306e-4,150879.96,0.002237994474500279
AFG,feed_chickens_eggs&meat,1.0486045372005759e-4,58743.10173693355,0.0017850683845338842
AFG,feed_cows_meat,6.178606668482036e-7,310274.7269438093,1.9913341732151397e-6
AFG,feed_large_ruminant_milk,1.0686196424384856e-6,1105473.1561272528,9.666626787954994e-7
AFG,feed_pigs_meat,9.678165362414896e-6,8302.77431096733,0.001165654394535424
AFG,feed_shrimp_meat,1.5484958521844548e-6,2193.7181970909246,0.00070587728826697295
AFG,feed_small_ruminant_meat,4.485954493672165e-7,543111.2316581744,8.259734345717883e-7
AFG,feed_small_ruminant_milk,6.611199567534073e-7,843090.3444119635,7.841626477344177e-7
AFG,human_crop,0.00430553294679541,8735233.558057263,4.928927106733218e-4
AFG,large_ruminant_milk,0.0015548971860793195,1781535,8.727850904300614e-4
AFG,small_ruminant_meat,8.328418435534762e-4,190087.68,0.004381356243358203
AFG,small_ruminant_milk,7.511726166547461e-4,321342,0.0023376110706186744
AGO,chickens_eggs&meat,3.529962445367393e-5,32121,0.0010989578298830648
AGO,cows_meat,0.0014479358737628377,121265.32,0.011940230510774537
AGO,feed_chickens_eggs&meat,7.353260508576995e-4,597084.2447323693,0.001231528142544264
AGO,feed_cows_meat,2.290152137605891e-5,176271.4708994419,1.2992188275959645e-4
AGO,feed_large_ruminant_milk,6.116103378316121e-6,34461.56159393523,1.7747609497163568e-4
AGO,feed_pigs_meat,7.288697337977221e-4,836118.0790753551,8.717306227892636e-4
AGO,feed_salmon_meat,2.884544627306501e-5,8416.799588950704,0.0034271276116556652
AGO,feed_shrimp_meat,1.289437655137161e-5,2240.853152097575,0.005754226482579498
AGO,freshwater_fisheries,4.888661063162843e-5,12923.102251612872,0.0037828850751008424
AGO,human_crop,0.007121749252816174,20929780.774216656,3.4026869796885016e-4
AGO,large_ruminant_milk,1.9197406760038653e-4,215953,8.889622630868129e-4
AGO,marine_fisheries,0.0025036476812758082,938985.7080469346,0.0026663320429906536
AGO,pigs_meat,0.0014036464446446984,101674.94,0.013805235042624056
AGO,small_ruminant_meat,3.9464729165837375e-4,27493.1,0.014354412258289309
AIA,marine_fisheries,8.600609139748017e-6,2094.8158130807797,0.004105663651211116
ALA,feed_cows_meat,6.495886577789659e-6,4103.677870991359,0.0015829426144066212
ALA,feed_large_ruminant_milk,2.9175563448124607e-6,2279.62519872475,0.001279840364303999
ALA,human_crop,2.4019504428310596e-5,75708.59960007668,3.172625640309198e-4
ALB,chickens_eggs&meat,3.666121237604842e-5,64011,5.727330048905411e-4
ALB,cows_meat,6.374274907679846e-5,43875.72,0.001452802348925521
ALB,feed_chickens_eggs&meat,7.637178834970062e-5,157257.00536848788,4.856495147592609e-4
ALB,feed_cows_meat,4.204884417621034e-5,644522.1852378942,6.524033639073268e-5
ALB,feed_large_ruminant_milk,3.4814337746477456e-5,319303.75227128895,1.0903203454025893e-4
ALB,feed_marine-fish-general_meat,2.3189200396112693e-6,2527.2878926571116,9.17552783103483e-4
ALB,feed_pigs_meat,1.989600997721619e-5,71278.80536801284,2.791293972239432e-4
ALB,feed_small_ruminant_meat,5.361625086125207e-6,90914.92198319349,5.8974093241991176e-5
ALB,feed_small_ruminant_milk,9.882002037643784e-6,109448.5383557625,9.02890270267688e-5
ALB,human_crop,5.577747957092587e-4,2716874.488616817,2.0530017048863615e-4
ALB,large_ruminant_milk,3.56698968961563e-4,982522,3.6304425647625503e-4
ALB,mariculture,6.401657593832166e-6,7841.26474820144,8.164062558021041e-4
ALB,marine_fisheries,5.482945795834291e-5,8075.6187371556,0.006789505515667147
ALB,pigs_meat,2.232910907826379e-4,12331.73,0.01810703695123376
ALB,small_ruminant_meat,5.9947693724524644e-5,34465.42,0.0017393577018508593
ALB,small_ruminant_milk,1.8737427282371826e-4,173776,0.0010782517311004871
ARE,chickens_eggs&meat,4.206023393446637e-5,103091,4.0799132741428803e-4
ARE,cows_meat,2.2302797859203748e-5,17978.02,0.0012405591861174782
ARE,feed_chickens_eggs&meat,5.759293038312287e-5,542343.0733380107,1.0619280159447813e-4
ARE,feed_cows_meat,1.836331150010912e-5,432757.09526428743,4.243329965253263e-5
ARE,feed_large_ruminant_milk,5.959094122804853e-6,589281.2522551995,1.0112478718776809e-5
ARE,feed_marine-fish-general_meat,1.0015724802429355e-5,11305.772582946242,8.858947700343088e-4
ARE,feed_pigs_meat,1.6347537451768743e-5,8093.864560331681,0.002019744379204046
ARE,feed_shrimp_meat,2.95110675805819e-5,36457.689596395234,8.094607175409113e-4
ARE,feed_small_ruminant_meat,2.425855530195646e-6,62063.72286480562,3.908652942847024e-5
ARE,feed_small_ruminant_milk,6.057087325000679e-7,14849.201988236466,4.079065885021365e-5
ARE,human_crop,2.5662112707778906e-4,673176.7953516971,3.8120911007296217e-4
ARE,large_ruminant_milk,1.970093817470822e-5,43000,4.581613529001911e-4
ARE,mariculture,2.29860465412033e-6,2475,9.287291531799313e-4
ARE,marine_fisheries,3.86319630379975e-4,152675.57761380472,0.0025303302362947437
ARE,small_ruminant_meat,2.0876888941581968e-4,77126.26,0.0027068457541675134
ARE,small_ruminant_milk,1.0829499701318371e-4,64834,0.001670342675342933
ARG,chickens_eggs&meat,4.119895909933038e-4,2929000,1.4065878832137378e-4
ARG,cows_meat,0.023286059121579404,3325744.68,0.0070017579105258925
