iso3c,gini_index,gf
ALB,33.2,NA
ARE,32.5,gf 2014 values
ARG,41.2,NA
ARM,33.6,NA
AUS,34.4,gf 2014 values
AUT,29.7,NA
BDI,38.6,gf 2013 values
BEL,27.4,NA
BEN,47.8,gf 2015 values
BFA,35.3,gf 2014 values
BGD,32.4,gf 2016 values
BGR,40.4,NA
BIH,33,gf 2011 values
BLR,25.4,NA
BOL,44,NA
BRA,53.3,NA
BTN,37.4,NA
BWA,53.3,gf 2015 values
CAN,33.3,NA
CHE,32.7,NA
CHL,44.4,NA
CHN,38.5,gf 2016 values
CIV,41.5,gf 2015 values
CMR,46.6,gf 2014 values
COD,42.1,gf 2012 values
COG,48.9,gf 2011 values
COL,49.7,NA
COM,45.3,gf 2014 values
CPV,42.4,gf 2015 values
CRI,48.3,NA
CYP,31.4,NA
CZE,24.9,NA
DEU,31.9,gf 2016 values
DJI,41.6,NA
DNK,28.7,NA
DOM,42.2,NA
DZA,27.6,gf 2011 values
ECU,44.7,NA
EGY,31.5,NA
ESP,34.7,NA
EST,30.4,NA
ETH,35,gf 2015 values
FIN,27.4,NA
FJI,36.7,gf 2013 values
FRA,31.6,NA
FSM,40.1,gf 2013 values
GAB,38,NA
GBR,34.8,gf 2016 values
GEO,37.9,NA
GHA,43.5,gf 2016 values
GIN,33.7,gf 2012 values
GMB,35.9,gf 2015 values
GNB,50.7,gf 2010 values
GRC,34.4,NA
GTM,48.3,gf 2014 values
HND,50.5,NA
HRV,30.4,NA
HTI,41.1,gf 2012 values
HUN,30.6,NA
IDN,38.1,NA
IND,35.7,gf 2011 values
IRL,32.8,gf 2016 values
IRN,40.8,NA
IRQ,29.5,gf 2012 values
ISL,26.8,gf 2015 values
ISR,39,gf 2016 values
ITA,35.9,NA
JOR,33.7,gf 2010 values
JPN,32.9,gf 2013 values
KAZ,27.5,NA
KEN,40.8,gf 2015 values
KGZ,27.3,NA
KOR,31.6,gf 2012 values
LAO,36.4,gf 2012 values
LBN,31.8,gf 2011 values
LBR,35.3,gf 2016 values
LCA,51.2,gf 2016 values
LKA,39.8,gf 2016 values
LSO,44.9,NA
LTU,37.3,NA
LUX,34.9,NA
LVA,35.6,NA
MAR,39.5,gf 2013 values
MDA,25.9,NA
MDG,42.6,gf 2012 values
MDV,31.3,gf 2016 values
MEX,46.3,gf 2016 values
MKD,34.2,NA
MLT,29.2,NA
MMR,30.7,NA
MNE,39,gf 2015 values
MNG,32.3,gf 2016 values
MOZ,54,gf 2014 values
MRT,32.6,gf 2014 values
MUS,36.8,NA
MWI,44.7,gf 2016 values
MYS,41,gf 2015 values
NAM,59.1,gf 2015 values
NER,34.3,gf 2014 values
NIC,46.2,gf 2014 values
NLD,28.5,NA
NOR,27,NA
NPL,32.8,gf 2010 values
PAK,33.5,gf 2015 values
PAN,49.9,NA
PER,43.3,NA
PHL,44.4,gf 2015 values
POL,29.7,NA
PRT,33.8,NA
PRY,48.8,NA
PSE,33.7,gf 2016 values
ROU,36,NA
RUS,37.2,NA
RWA,43.7,gf 2016 values
SDN,34.2,gf 2014 values
SEN,40.3,gf 2011 values
SLB,37.1,gf 2013 values
SLE,34,gf 2011 values
SLV,38,NA
SRB,36.2,NA
STP,56.3,NA
SVK,25.2,gf 2016 values
SVN,24.2,NA
SWE,28.8,NA
SWZ,54.6,gf 2016 values
SYC,46.8,gf 2013 values
TCD,43.3,gf 2011 values
TGO,43.1,gf 2015 values
THA,36.5,NA
TJK,34,gf 2015 values
TLS,28.7,gf 2014 values
TON,37.6,gf 2015 values
TUN,32.8,gf 2015 values
TUR,41.4,NA
TUV,39.1,gf 2010 values
TZA,40.5,NA
UGA,42.8,gf 2016 values
UKR,26,NA
URY,39.5,NA
USA,41.1,gf 2016 values
VNM,35.3,gf 2016 values
VUT,37.6,gf 2010 values
WSM,38.7,gf 2013 values
XKX,29,NA
YEM,36.7,gf 2014 values
ZAF,63,gf 2014 values
ZMB,57.1,gf 2015 values
ZWE,44.3,NA
