"lon","lat","iso3c","subregion"
16.8064414629701,57.8956703917631,"SWE","STORA GRIND™"
17.1266482433087,61.6048015760108,"SWE","M™SS™LAX"
17.1213711605153,61.2055567157782,"SWE","LJUSNE FISKODLING AB"
17.4393876830267,60.5688242412286,"SWE","VŽSTANÅ LAXODLING"
18.4159374980719,62.9524690166454,"SWE","BOSAND FISKODLING"
18.5201875586437,63.1578425267415,"SWE","N"
18.6246799736768,63.1766235643499,"SWE","K™PMANHOLMEN"
18.3417169998899,59.0445711847145,"SWE","BJ™RK™SUNDS FISK"
20.861928706089,64.7454251947253,"SWE","KVISTFORSENS LAXODLING"
21.5100746870484,65.0918926213892,"SWE","SALMON I JŽVREBODARNA"
17.825496787552,58.9014852430934,"SWE","DJURSNŽS SŽTERI AB"
16.2177744339617,56.6353589891174,"SWE","HOSSMOÅNS (BINGA) FISKODLING"
17.4346389647515,60.5598024313275,"SWE","AVELSFISKET"
17.4404288628919,60.5623017456085,"SWE","BROBACKEN"
18.593810926112,59.543300144471,"SWE","LJUSTER™ LAX OCH G™S AB"
17.9330347999866,62.6126115458843,"SWE","KRETSLOPPAN EK. F™RENING"
18.768,60.1483999993173,"SWE","FOGDd LAX"
15.0276,56.1745999989503,"SWE","Herrgords Johan Hdkansson, fiskodling KaLax AB"
17.0843,61.2132999993834,"SWE","Ljusne stremmars fiskodling"
17.3978,62.5239999994507,"SWE","Bergeforsens Laxodling"
17.3597,62.4886999994491,"SWE","Omegalax  Fiskodling"
18.1007,62.7423999994607,"SWE","BF-Hemsn"
