"family","alpha","beta"
"Arcidae",0.000386413333333333,3.03333333333333
"Cardiidae",0.00014762025,3.17260833333333
"Donacidae",0.000226666666666667,3.02933333333333
"Haliotidae",7.893e-05,3.1
"Hiatellidae",0.00144449,2.61
"Myidae",0.000109525,2.8605
"Mytilidae",0.0001154,2.956
"Ostreidae",0.000295836,2.563
"Pectinidae",0.000100595,3.0385
"Pharidae",1e-05,3.0125
"Phasianellidae",0.00029369,2.94
"Pinnidae",0.0002566,2.44
"Solenidae",0.00027084,2.55
"Veneridae",0.000299500833333333,3.06308333333333
