iso3c,total_count,animal,nonmeat_count,meat_count,prop_nonmeat
AFG,4977000,cows,3390816,1586184,0.6812971669680531
AFG,13573000,chickens,10688000,2885000,0.7874456641862522
AFG,7598000,goats,2630161,4967839,0.3461649118188997
AFG,13866000,sheep,7143468,6722532,0.5151787105149286
ALB,107,buffaloes,27,80,0.2523364485981308
ALB,475215,cows,349207,126008,0.7348400197805204
ALB,7835000,chickens,4820000,3015000,0.6151882578174857
ALB,933121,goats,717377,215744,0.7687931147193129
ALB,180087,pigs,0,180087,0
ALB,1925511,sheep,1407276,518235,0.7308584578327519
DZA,1895126,cows,1073709,821417,0.5665633841760389
DZA,136207000,chickens,23000000,113207000,0.16886063124509018
DZA,5007894,goats,2949646,2058248,0.5889992879242252
DZA,4771,pigs,0,4771,0
DZA,28393602,sheep,17709588,10684014,0.6237175543983465
AGO,4996656,cows,432884,4563772,0.08663474131499146
AGO,36500000,chickens,920000,35580000,0.025205479452054796
AGO,4530221,goats,0,4530221,0
AGO,3384819,pigs,0,3384819,0
AGO,1148880,sheep,0,1148880,0
ATG,5000,cows,3500,1500,0.7
ATG,159000,chickens,60000,99000,0.37735849056603776
ATG,27000,goats,0,27000,0
ATG,5000,pigs,0,5000,0
ATG,14000,sheep,0,14000,0
ARG,54793181,cows,1720067,53073114,0.03139199018213599
ARG,118300000,chickens,44000000,74300000,0.37193575655114114
ARG,4863894,goats,0,4863894,0
ARG,5119438,pigs,0,5119438,0
ARG,14746566,sheep,0,14746566,0
ARM,715,buffaloes,0,715,0
ARM,655771,cows,295974,359797,0.4513374333418221
ARM,3814000,chickens,2689000,1125000,0.7050340849501835
ARM,27521,goats,19613,7908,0.7126557901239053
ARM,175549,pigs,0,175549,0
ARM,699561,sheep,472188,227373,0.674977593090524
AUS,26175521,cows,1520376,24655145,0.05808388684985487
AUS,95012000,chickens,16029000,78983000,0.16870500568349261
AUS,3600000,goats,0,3600000,0
AUS,2485699,pigs,0,2485699,0
AUS,72125334,sheep,0,72125334,0
