iso3c,animal,system,product,kgCO2eq_per_animal
AFG,chickens,industrial,eggs,0.39297299999999996
ALB,chickens,industrial,eggs,1.6644355
DZA,chickens,industrial,eggs,2.8138495000000003
AGO,chickens,industrial,eggs,1.049996
ATG,chickens,industrial,eggs,0.3966695
ARG,chickens,industrial,eggs,1.5705705
ARM,chickens,industrial,eggs,2.5018803
AUS,chickens,industrial,eggs,3.8150879
AUT,chickens,industrial,eggs,2.0878512000000002
AZE,chickens,industrial,eggs,1.2949007000000001
BHS,chickens,industrial,eggs,0.6378910000000001
BHR,chickens,industrial,eggs,2.3870096000000003
BGD,chickens,industrial,eggs,0.5356259999999999
BRB,chickens,industrial,eggs,0.32820200000000005
BLR,chickens,industrial,eggs,1.613018
BEL,chickens,industrial,eggs,1.7451363
BLZ,chickens,industrial,eggs,0.3748330000000001
BEN,chickens,industrial,eggs,0.166704
BTN,chickens,industrial,eggs,1.03593
BOL,chickens,industrial,eggs,0.39267450000000004
BIH,chickens,industrial,eggs,0.9229402000000001
BWA,chickens,industrial,eggs,0.9397064000000002
BRA,chickens,industrial,eggs,1.0171780000000001
BRN,chickens,industrial,eggs,1.7732400000000001
BGR,chickens,industrial,eggs,1.6103406000000002
BFA,chickens,industrial,eggs,0.5698112000000001
BDI,chickens,industrial,eggs,0.5704
CPV,chickens,industrial,eggs,1.0360304
KHM,chickens,industrial,eggs,0.7875
CMR,chickens,industrial,eggs,0.6328864
CAN,chickens,industrial,eggs,1.4636748000000002
CAF,chickens,industrial,eggs,0.7027696000000001
TCD,chickens,industrial,eggs,0.6479928
CHL,chickens,industrial,eggs,1.548275
HKG,chickens,industrial,eggs,0.868644
MAC,chickens,industrial,eggs,0.7548458166666666
CHN,chickens,industrial,eggs,1.9303409999999999
TWN,chickens,industrial,eggs,1.8782206333333331
COL,chickens,industrial,eggs,1.2961735
COM,chickens,industrial,eggs,0.9287584
COG,chickens,industrial,eggs,0.545192
COK,chickens,industrial,eggs,1.008
CRI,chickens,industrial,eggs,1.8020765000000003
CIV,chickens,industrial,eggs,0.736
HRV,chickens,industrial,eggs,1.3855212
CUB,chickens,industrial,eggs,0.871386
CYP,chickens,industrial,eggs,1.9718868
CZE,chickens,industrial,eggs,2.1842463000000003
PRK,chickens,industrial,eggs,1.7511479999999997
COD,chickens,industrial,eggs,0.558348
DNK,chickens,industrial,eggs,1.7585556000000002
DMA,chickens,industrial,eggs,0.5508000000000001
DOM,chickens,industrial,eggs,1.252696
ECU,chickens,industrial,eggs,1.2540985000000002
EGY,chickens,industrial,eggs,2.2657758
SLV,chickens,industrial,eggs,0.896869
GNQ,chickens,industrial,eggs,0.8533367999999999
ERI,chickens,industrial,eggs,0.7565712000000001
EST,chickens,industrial,eggs,1.8975702
SWZ,chickens,industrial,eggs,1.012
ETH,chickens,industrial,eggs,0.9199999999999999
FJI,chickens,industrial,eggs,2.9231327999999994
FIN,chickens,industrial,eggs,2.4150188999999997
FRA,chickens,industrial,eggs,1.7581743
PYF,chickens,industrial,eggs,4.31424
GAB,chickens,industrial,eggs,0.6969736
GMB,chickens,industrial,eggs,0.6987768000000001
GEO,chickens,industrial,eggs,2.7884365000000004
DEU,chickens,industrial,eggs,2.5049319000000003
GHA,chickens,industrial,eggs,0.4806816
GRC,chickens,industrial,eggs,1.3811424
GRD,chickens,industrial,eggs,0.7794415000000001
GTM,chickens,industrial,eggs,1.1504495000000001
GIN,chickens,industrial,eggs,0.6949128000000001
GNB,chickens,industrial,eggs,0.836464
GUY,chickens,industrial,eggs,0.417775
HTI,chickens,industrial,eggs,0.7355729999999999
HND,chickens,industrial,eggs,0.9746695000000002
HUN,chickens,industrial,eggs,1.457919
ISL,chickens,industrial,eggs,1.9992
IND,chickens,industrial,eggs,2.5573170000000003
IDN,chickens,industrial,eggs,3.7586220000000004
IRN,chickens,industrial,eggs,2.92908
IRQ,chickens,industrial,eggs,1.9973633
IRL,chickens,industrial,eggs,1.4144999999999999
ISR,chickens,industrial,eggs,3.0622468
ITA,chickens,industrial,eggs,1.2579702
JAM,chickens,industrial,eggs,1.1344355000000002
JPN,chickens,industrial,eggs,2.6948061
JOR,chickens,industrial,eggs,5.428453200000001
KAZ,chickens,industrial,eggs,2.5211863
KEN,chickens,industrial,eggs,0.8826296000000001
KIR,chickens,industrial,eggs,0.42425039999999997
KWT,chickens,industrial,eggs,1.8413196000000005
KGZ,chickens,industrial,eggs,1.3740947000000001
LAO,chickens,industrial,eggs,1.2115319999999998
LVA,chickens,industrial,eggs,2.5611675000000003
LBN,chickens,industrial,eggs,2.291701
LSO,chickens,industrial,eggs,0.9199999999999999
LBR,chickens,industrial,eggs,0.8775327999999999
LBY,chickens,industrial,eggs,1.4590017000000002
LTU,chickens,industrial,eggs,1.4929863
LUX,chickens,industrial,eggs,2.3495337
MDG,chickens,industrial,eggs,0.8350839999999999
MWI,chickens,industrial,eggs,0.8076679999999999
MYS,chickens,industrial,eggs,1.628382
MLI,chickens,industrial,eggs,0.388332
MLT,chickens,industrial,eggs,2.0169171
MRT,chickens,industrial,eggs,0.6061143999999999
MUS,chickens,industrial,eggs,1.6900768
MEX,chickens,industrial,eggs,1.1652055000000001
FSM,chickens,industrial,eggs,0.45652319999999996
MNG,chickens,industrial,eggs,2.3201009999999997
MNE,chickens,industrial,eggs,1.2851863000000001
