iso3c,country,mms,mms_specific,animal,product,production_system,gleam_percentage,percentage
AFG,Afghanistan,management,Short pit storage (less than 1 month),Pig,Meat,Backyard,15,15
AFG,Afghanistan,management,Burned for fuel,Cow,Meat,Feedlot,NA,NA
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Buffaloes,Meat,Mixed,0,0
AFG,Afghanistan,management,Liquid/Slurry,Goat,Meat,Mixed,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Chicken,eggs&meat,Backyard,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Goat,Meat,Grassland Based,0,0
AFG,Afghanistan,applied to crops,Daily spread,Buffaloes,Meat,Mixed,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Goat,Dairy,Mixed,0,0
AFG,Afghanistan,management,Liquid/Slurry,Buffaloes,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Cow,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Composting,Goat,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Dry lot,Goat,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Solid storage,Pig,Meat,Intermediate,0,0
AFG,Afghanistan,management,Liquid/Slurry,Sheep,Dairy,Mixed,0,0
AFG,Afghanistan,management,Solid storage,Goat,Meat,Grassland Based,50,0
AFG,Afghanistan,management,Solid storage,Cow,Dairy,Mixed,60,60
AFG,Afghanistan,management,Anaerobic digester,Cow,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Composting,Buffaloes,Dairy,Grassland Based,0,0
AFG,Afghanistan,applied to crops,Daily spread,Sheep,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Solid storage,Cow,Dairy,Grassland Based,40,0
AFG,Afghanistan,management,Dry lot,Chicken,Eggs,Industrial,0,0
AFG,Afghanistan,management,Solid storage,Goat,Dairy,Mixed,50,50
AFG,Afghanistan,applied to crops,Daily spread,Chicken,Meat,Industrial,0,0
AFG,Afghanistan,management,Composting,Sheep,Dairy,Mixed,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Goat,Dairy,Mixed,50,50
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Cow,Meat,Grassland Based,40,100
AFG,Afghanistan,management,Anaerobic digester,Cow,Meat,Feedlot,NA,NA
AFG,Afghanistan,management,Liquid/Slurry,Pig,Meat,Intermediate,30,30
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Cow,Dairy,Mixed,20,20
AFG,Afghanistan,management,Composting,Buffaloes,Meat,Mixed,0,0
AFG,Afghanistan,management,Short pit storage (less than 1 month),Pig,Meat,Intermediate,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Goat,Meat,Mixed,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Pig,Meat,Industrial,10,10
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Cow,Meat,Feedlot,NA,NA
