iso3c,species,product,kg_co2eq_head
DZA,buffaloes,milk,1375
EGY,buffaloes,milk,1375
LBY,buffaloes,milk,1375
MAR,buffaloes,milk,1375
SDN,buffaloes,milk,1375
TUN,buffaloes,milk,1375
ESH,buffaloes,milk,1375
IOT,buffaloes,milk,1375
BDI,buffaloes,milk,1375
COM,buffaloes,milk,1375
DJI,buffaloes,milk,1375
ERI,buffaloes,milk,1375
ETH,buffaloes,milk,1375
ATF,buffaloes,milk,1375
KEN,buffaloes,milk,1375
MDG,buffaloes,milk,1375
MWI,buffaloes,milk,1375
MUS,buffaloes,milk,1375
MYT,buffaloes,milk,1375
MOZ,buffaloes,milk,1375
REU,buffaloes,milk,1375
RWA,buffaloes,milk,1375
SYC,buffaloes,milk,1375
SOM,buffaloes,milk,1375
SSD,buffaloes,milk,1375
UGA,buffaloes,milk,1375
TZA,buffaloes,milk,1375
ZMB,buffaloes,milk,1375
ZWE,buffaloes,milk,1375
AGO,buffaloes,milk,1375
CMR,buffaloes,milk,1375
CAF,buffaloes,milk,1375
TCD,buffaloes,milk,1375
COG,buffaloes,milk,1375
COD,buffaloes,milk,1375
GNQ,buffaloes,milk,1375
GAB,buffaloes,milk,1375
STP,buffaloes,milk,1375
BWA,buffaloes,milk,1375
SWZ,buffaloes,milk,1375
LSO,buffaloes,milk,1375
NAM,buffaloes,milk,1375
ZAF,buffaloes,milk,1375
BEN,buffaloes,milk,1375
BFA,buffaloes,milk,1375
CPV,buffaloes,milk,1375
CIV,buffaloes,milk,1375
GMB,buffaloes,milk,1375
GHA,buffaloes,milk,1375
GIN,buffaloes,milk,1375
GNB,buffaloes,milk,1375
LBR,buffaloes,milk,1375
MLI,buffaloes,milk,1375
MRT,buffaloes,milk,1375
NER,buffaloes,milk,1375
NGA,buffaloes,milk,1375
SHN,buffaloes,milk,1375
SEN,buffaloes,milk,1375
SLE,buffaloes,milk,1375
TGO,buffaloes,milk,1375
AIA,buffaloes,milk,1375
ATG,buffaloes,milk,1375
ABW,buffaloes,milk,1375
BHS,buffaloes,milk,1375
BRB,buffaloes,milk,1375
BES,buffaloes,milk,1375
VGB,buffaloes,milk,1375
CYM,buffaloes,milk,1375
CUB,buffaloes,milk,1375
CUW,buffaloes,milk,1375
DMA,buffaloes,milk,1375
DOM,buffaloes,milk,1375
GRD,buffaloes,milk,1375
GLP,buffaloes,milk,1375
HTI,buffaloes,milk,1375
JAM,buffaloes,milk,1375
MTQ,buffaloes,milk,1375
MSR,buffaloes,milk,1375
PRI,buffaloes,milk,1375
BLM,buffaloes,milk,1375
KNA,buffaloes,milk,1375
LCA,buffaloes,milk,1375
MAF,buffaloes,milk,1375
VCT,buffaloes,milk,1375
SXM,buffaloes,milk,1375
TTO,buffaloes,milk,1375
TCA,buffaloes,milk,1375
VIR,buffaloes,milk,1375
BLZ,buffaloes,milk,1375
CRI,buffaloes,milk,1375
SLV,buffaloes,milk,1375
GTM,buffaloes,milk,1375
HND,buffaloes,milk,1375
MEX,buffaloes,milk,1375
NIC,buffaloes,milk,1375
PAN,buffaloes,milk,1375
ARG,buffaloes,milk,1375
BOL,buffaloes,milk,1375
BVT,buffaloes,milk,1375
BRA,buffaloes,milk,1375
CHL,buffaloes,milk,1375
COL,buffaloes,milk,1375
ECU,buffaloes,milk,1375
FLK,buffaloes,milk,1375
GUF,buffaloes,milk,1375
GUY,buffaloes,milk,1375
PRY,buffaloes,milk,1375
PER,buffaloes,milk,1375
SGS,buffaloes,milk,1375
SUR,buffaloes,milk,1375
URY,buffaloes,milk,1375
VEN,buffaloes,milk,1375
BMU,buffaloes,milk,1375
CAN,buffaloes,milk,1375
GRL,buffaloes,milk,1375
SPM,buffaloes,milk,1375
USA,buffaloes,milk,1375
ATA,buffaloes,milk,1375
KAZ,buffaloes,milk,1375
KGZ,buffaloes,milk,1375
TJK,buffaloes,milk,1375
TKM,buffaloes,milk,1375
UZB,buffaloes,milk,1375
CHN,buffaloes,milk,1375
HKG,buffaloes,milk,1375
MAC,buffaloes,milk,1375
PRK,buffaloes,milk,1375
JPN,buffaloes,milk,1375
MNG,buffaloes,milk,1375
KOR,buffaloes,milk,1375
BRN,buffaloes,milk,1375
KHM,buffaloes,milk,1375
IDN,buffaloes,milk,1375
LAO,buffaloes,milk,1375
MYS,buffaloes,milk,1375
MMR,buffaloes,milk,1375
PHL,buffaloes,milk,1375
SGP,buffaloes,milk,1375
THA,buffaloes,milk,1375
TLS,buffaloes,milk,1375
VNM,buffaloes,milk,1375
AFG,buffaloes,milk,1375
BGD,buffaloes,milk,1375
BTN,buffaloes,milk,1375
IND,buffaloes,milk,1375
IRN,buffaloes,milk,1375
MDV,buffaloes,milk,1375
NPL,buffaloes,milk,1375
PAK,buffaloes,milk,1375
LKA,buffaloes,milk,1375
ARM,buffaloes,milk,1375
AZE,buffaloes,milk,1375
BHR,buffaloes,milk,1375
CYP,buffaloes,milk,1375
GEO,buffaloes,milk,1375
IRQ,buffaloes,milk,1375
ISR,buffaloes,milk,1375
JOR,buffaloes,milk,1375
KWT,buffaloes,milk,1375
LBN,buffaloes,milk,1375
OMN,buffaloes,milk,1375
QAT,buffaloes,milk,1375
SAU,buffaloes,milk,1375
PSE,buffaloes,milk,1375
SYR,buffaloes,milk,1375
TUR,buffaloes,milk,1375
ARE,buffaloes,milk,1375
YEM,buffaloes,milk,1375
BLR,buffaloes,milk,1375
BGR,buffaloes,milk,1375
CZE,buffaloes,milk,1375
HUN,buffaloes,milk,1375
POL,buffaloes,milk,1375
MDA,buffaloes,milk,1375
ROU,buffaloes,milk,1375
RUS,buffaloes,milk,1375
SVK,buffaloes,milk,1375
UKR,buffaloes,milk,1375
ALA,buffaloes,milk,1375
GGY,buffaloes,milk,1375
JEY,buffaloes,milk,1375
NA,buffaloes,milk,1375
DNK,buffaloes,milk,1375
EST,buffaloes,milk,1375
FRO,buffaloes,milk,1375
FIN,buffaloes,milk,1375
ISL,buffaloes,milk,1375
IRL,buffaloes,milk,1375
IMN,buffaloes,milk,1375
LVA,buffaloes,milk,1375
LTU,buffaloes,milk,1375
NOR,buffaloes,milk,1375
SJM,buffaloes,milk,1375
SWE,buffaloes,milk,1375
GBR,buffaloes,milk,1375
ALB,buffaloes,milk,1375
AND,buffaloes,milk,1375
BIH,buffaloes,milk,1375
HRV,buffaloes,milk,1375
GIB,buffaloes,milk,1375
GRC,buffaloes,milk,1375
