Country,Livestock,Live_Weight,Carcass_Weight,Conversion_Pc,rgn_abbr,region,iso3c
Afghanistan,Cattle,230,122,0.5304347826086957,SA,SOUTH ASIA,AFG
Afghanistan,Sheep,32,15,0.46875,SA,SOUTH ASIA,AFG
Afghanistan,Goats,33,16,0.48484848484848486,SA,SOUTH ASIA,AFG
Afghanistan,Chickens,1080,800,0.7407407407407407,SA,SOUTH ASIA,AFG
Afghanistan,Camels,360,180,0.5,SA,SOUTH ASIA,AFG
Albania,Cattle,196,105,0.5357142857142857,WE,WESTERN EUROPE,ALB
Albania,Sheep,17,8.5,0.5,WE,WESTERN EUROPE,ALB
Albania,Goats,24,9.2,0.3833333333333333,WE,WESTERN EUROPE,ALB
Albania,Pigs,57,45,0.7894736842105263,WE,WESTERN EUROPE,ALB
Algeria,Cattle,319,166,0.5203761755485894,NENA,NEAR EAST AND NORTH AFRICA,DZA
Algeria,Sheep,32,16,0.5,NENA,NEAR EAST AND NORTH AFRICA,DZA
Algeria,Goats,20,10,0.5,NENA,NEAR EAST AND NORTH AFRICA,DZA
Algeria,Pigs,60,40,0.6666666666666666,NENA,NEAR EAST AND NORTH AFRICA,DZA
Algeria,Chickens,1300,1000,0.7692307692307693,NENA,NEAR EAST AND NORTH AFRICA,DZA
Algeria,Turkeys,6700,5000,0.746268656716418,NENA,NEAR EAST AND NORTH AFRICA,DZA
Algeria,Horses,259,129,0.4980694980694981,NENA,NEAR EAST AND NORTH AFRICA,DZA
Algeria,Camels,459,173,0.3769063180827887,NENA,NEAR EAST AND NORTH AFRICA,DZA
Algeria,Rabbits,1600,1000,0.625,NENA,NEAR EAST AND NORTH AFRICA,DZA
American-Samoa,Cattle,300,150,0.5,OCE,OCEANIA,ASM
American-Samoa,Pigs,75,50,0.6666666666666666,OCE,OCEANIA,ASM
American-Samoa,Chickens,1100,800,0.7272727272727273,OCE,OCEANIA,ASM
Angola,Cattle,300,150,0.5,SSA,SUB-SAHARAN AFRICA,AGO
Angola,Sheep,33,15,0.45454545454545453,SSA,SUB-SAHARAN AFRICA,AGO
Angola,Goats,33,15,0.45454545454545453,SSA,SUB-SAHARAN AFRICA,AGO
Angola,Pigs,81,65,0.8024691358024691,SSA,SUB-SAHARAN AFRICA,AGO
Angola,Chickens,1200,900,0.75,SSA,SUB-SAHARAN AFRICA,AGO
Antigua-and-Barbuda,Cattle,377,188,0.4986737400530504,LAC,LATIN AMERICA AND THE CARIBBEAN,ATG
Antigua-and-Barbuda,Sheep,26,12,0.46153846153846156,LAC,LATIN AMERICA AND THE CARIBBEAN,ATG
Antigua-and-Barbuda,Goats,22,10,0.45454545454545453,LAC,LATIN AMERICA AND THE CARIBBEAN,ATG
Antigua-and-Barbuda,Pigs,74,51,0.6891891891891891,LAC,LATIN AMERICA AND THE CARIBBEAN,ATG
Antigua-and-Barbuda,Chickens,1500,1200,0.8,LAC,LATIN AMERICA AND THE CARIBBEAN,ATG
Argentina,Cattle,393,187,0.4758269720101781,LAC,LATIN AMERICA AND THE CARIBBEAN,ARG
Argentina,Sheep,34,17,0.5,LAC,LATIN AMERICA AND THE CARIBBEAN,ARG
Argentina,Goats,13,6.6,0.5076923076923077,LAC,LATIN AMERICA AND THE CARIBBEAN,ARG
Argentina,Pigs,112,90,0.8035714285714286,LAC,LATIN AMERICA AND THE CARIBBEAN,ARG
Argentina,Chickens,2472,1944,0.7864077669902912,LAC,LATIN AMERICA AND THE CARIBBEAN,ARG
