iso3c,country,mms_specific,animal,product,production_system,to_mms_percentage,ef_direct,ef_dir_unit,frac_gas,percentage_leach
AFG,Afghanistan,Pit storage (< 1 month),pigs,meat,backyard,15,0.002,kg N2O - N kg/N,25,6
AFG,Afghanistan,Burned for fuel,cows,meat,feedlot,0,0.007,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Uncovered anaerobic lagoon,buffaloes,meat,mixed,0,0,kg N2O - N kg/N,35,18
AFG,Afghanistan,Liquid/Slurry,goats,meat,mixed,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Uncovered anaerobic lagoon,chickens,eggs&meat,backyard,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Uncovered anaerobic lagoon,goats,meat,grassland,0,0,kg N2O - N kg/N,35,18
AFG,Afghanistan,Daily spread,buffaloes,meat,mixed,20,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Uncovered anaerobic lagoon,goats,milk,mixed,0,0,kg N2O - N kg/N,35,18
AFG,Afghanistan,Liquid/Slurry,buffaloes,meat,grassland,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Uncovered anaerobic lagoon,cows,meat,grassland,0,0,kg N2O - N kg/N,35,18
AFG,Afghanistan,Composting intensive windrow,goats,milk,grassland,0,0.1,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Dry lot,goats,meat,grassland,0,0.02,kg N2O - N kg/N,30,6
AFG,Afghanistan,Solid storage,pigs,meat,intermediate,0,0.005,kg N2O - N kg/N,45,6
AFG,Afghanistan,Liquid/Slurry,sheep,milk,mixed,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Solid storage,goats,meat,grassland,0,0.005,kg N2O - N kg/N,12,6
AFG,Afghanistan,Solid storage,cows,milk,mixed,60,0.005,kg N2O - N kg/N,30,6
AFG,Afghanistan,Anaerobic digester,cows,meat,grassland,0,0,kg N2O - N kg/N,NA,18
AFG,Afghanistan,Composting intensive windrow,buffaloes,milk,grassland,0,0.1,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Daily spread,sheep,meat,grassland,0,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Solid storage,cows,milk,grassland,0,0.005,kg N2O - N kg/N,30,6
AFG,Afghanistan,Dry lot,chickens,eggs,industrial,0,0.02,kg N2O - N kg/N,30,6
AFG,Afghanistan,Solid storage,goats,milk,mixed,50,0.005,kg N2O - N kg/N,12,6
AFG,Afghanistan,Daily spread,chickens,meat,industrial,0,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Composting intensive windrow,sheep,milk,mixed,0,0.1,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Pasture/Range/Paddock,goats,milk,mixed,0,0.01,kg N2O - N kg/N,0,6
AFG,Afghanistan,Pasture/Range/Paddock,cows,meat,grassland,100,0.02,kg N2O - N kg/N,0,6
AFG,Afghanistan,Anaerobic digester,cows,meat,feedlot,0,0,kg N2O - N kg/N,NA,18
AFG,Afghanistan,Liquid/Slurry,pigs,meat,intermediate,30,0,kg N2O - N kg/N,48,18
AFG,Afghanistan,Pasture/Range/Paddock,cows,milk,mixed,0,0.02,kg N2O - N kg/N,0,6
AFG,Afghanistan,Composting intensive windrow,buffaloes,meat,mixed,0,0.1,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Pit storage (< 1 month),pigs,meat,intermediate,0,0.002,kg N2O - N kg/N,25,6
AFG,Afghanistan,Uncovered anaerobic lagoon,goats,meat,mixed,0,0,kg N2O - N kg/N,35,18
AFG,Afghanistan,Uncovered anaerobic lagoon,pigs,meat,industrial,10,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Pasture/Range/Paddock,cows,meat,feedlot,0,0.02,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Uncovered anaerobic lagoon,buffaloes,meat,grassland,0,0,kg N2O - N kg/N,35,18
AFG,Afghanistan,Pit storage (> 1 month),chickens,eggs&meat,backyard,0,0.001,kg N2O - N kg/N,55,6
AFG,Afghanistan,Pasture/Range/Paddock,buffaloes,meat,grassland,100,0.02,kg N2O - N kg/N,0,6
AFG,Afghanistan,Anaerobic digester,cows,meat,mixed,0,0,kg N2O - N kg/N,NA,18
AFG,Afghanistan,Solid storage,pigs,meat,backyard,15,0.005,kg N2O - N kg/N,45,6
AFG,Afghanistan,Liquid/Slurry,buffaloes,milk,grassland,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Composting intensive windrow,buffaloes,milk,mixed,0,0.1,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Daily spread,sheep,milk,grassland,0,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Pit storage (< 1 month),pigs,meat,industrial,0,0.002,kg N2O - N kg/N,25,6
AFG,Afghanistan,Daily spread,chickens,eggs,industrial,0,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Pit storage (> 1 month),pigs,meat,intermediate,0,0.002,kg N2O - N kg/N,25,6
AFG,Afghanistan,Anaerobic digester,cows,milk,grassland,0,0,kg N2O - N kg/N,NA,18
AFG,Afghanistan,Liquid/Slurry,cows,meat,feedlot,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Uncovered anaerobic lagoon,sheep,meat,mixed,0,0,kg N2O - N kg/N,35,18
AFG,Afghanistan,Liquid/Slurry,chickens,meat,industrial,0,0,kg N2O - N kg/N,48,18
AFG,Afghanistan,Dry lot,cows,meat,grassland,0,0.02,kg N2O - N kg/N,30,6
AFG,Afghanistan,Solid storage,buffaloes,milk,mixed,60,0.005,kg N2O - N kg/N,45,6
AFG,Afghanistan,Liquid/Slurry,buffaloes,meat,mixed,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Dry lot,goats,milk,grassland,0,0.02,kg N2O - N kg/N,30,6
AFG,Afghanistan,Pasture/Range/Paddock,buffaloes,milk,grassland,100,0.02,kg N2O - N kg/N,0,6
AFG,Afghanistan,Pasture/Range/Paddock,chickens,meat,industrial,0,0.02,kg N2O - N kg/N,20,6
AFG,Afghanistan,Pasture/Range/Paddock,buffaloes,milk,mixed,0,0.02,kg N2O - N kg/N,0,6
AFG,Afghanistan,Anaerobic digester,cows,milk,mixed,0,0,kg N2O - N kg/N,NA,18
AFG,Afghanistan,Anaerobic digester,sheep,meat,grassland,0,0,kg N2O - N kg/N,NA,18
AFG,Afghanistan,Pasture/Range/Paddock,sheep,meat,grassland,100,0.01,kg N2O - N kg/N,0,6
AFG,Afghanistan,Liquid/Slurry,sheep,milk,grassland,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Dry lot,buffaloes,meat,mixed,0,0.02,kg N2O - N kg/N,30,6
AFG,Afghanistan,Burned for fuel,goats,milk,mixed,0,0.007,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Daily spread,buffaloes,milk,mixed,20,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Dry lot,chickens,eggs&meat,backyard,0,0.02,kg N2O - N kg/N,30,6
AFG,Afghanistan,Dry lot,cows,milk,grassland,0,0.02,kg N2O - N kg/N,20,6
AFG,Afghanistan,Composting intensive windrow,sheep,meat,grassland,0,0.1,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Liquid/Slurry,cows,milk,grassland,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Solid storage,goats,meat,mixed,50,0.005,kg N2O - N kg/N,12,6
AFG,Afghanistan,Solid storage,chickens,meat,industrial,0,0.005,kg N2O - N kg/N,45,6
AFG,Afghanistan,Burned for fuel,sheep,meat,grassland,0,0.007,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Daily spread,pigs,meat,backyard,5,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Pasture/Range/Paddock,pigs,meat,industrial,0,0.02,kg N2O - N kg/N,20,6
AFG,Afghanistan,Liquid/Slurry,sheep,meat,mixed,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Composting intensive windrow,cows,milk,mixed,0,0.1,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Daily spread,goats,milk,mixed,50,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Dry lot,sheep,milk,mixed,0,0.02,kg N2O - N kg/N,30,6
AFG,Afghanistan,Solid storage,chickens,eggs,industrial,100,0.005,kg N2O - N kg/N,45,6
AFG,Afghanistan,Solid storage,goats,milk,grassland,0,0.005,kg N2O - N kg/N,12,6
AFG,Afghanistan,Anaerobic digester,goats,meat,mixed,0,0,kg N2O - N kg/N,NA,18
AFG,Afghanistan,Pasture/Range/Paddock,goats,meat,mixed,0,0.01,kg N2O - N kg/N,0,6
AFG,Afghanistan,Liquid/Slurry,buffaloes,milk,mixed,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Pasture/Range/Paddock,sheep,milk,mixed,0,0.01,kg N2O - N kg/N,0,6
AFG,Afghanistan,Pasture/Range/Paddock,chickens,eggs,industrial,0,0.02,kg N2O - N kg/N,20,6
AFG,Afghanistan,Pasture/Range/Paddock,sheep,meat,mixed,0,0.01,kg N2O - N kg/N,0,6
AFG,Afghanistan,Solid storage,cows,meat,mixed,60,0.005,kg N2O - N kg/N,45,6
AFG,Afghanistan,Pasture/Range/Paddock,pigs,meat,backyard,5,0.02,kg N2O - N kg/N,20,6
AFG,Afghanistan,Pasture/Range/Paddock,cows,meat,mixed,0,0.02,kg N2O - N kg/N,0,6
AFG,Afghanistan,Solid storage,chickens,eggs&meat,backyard,0,0.005,kg N2O - N kg/N,45,6
AFG,Afghanistan,Liquid/Slurry,pigs,meat,backyard,30,0,kg N2O - N kg/N,48,18
AFG,Afghanistan,Composting intensive windrow,cows,meat,feedlot,0,0.1,kg N2O - N kg/N,30,6
AFG,Afghanistan,Daily spread,cows,milk,mixed,20,0.0125,kg N2O - N kg/N,7,6
AFG,Afghanistan,Solid storage,buffaloes,meat,mixed,60,0.005,kg N2O - N kg/N,45,6
AFG,Afghanistan,Pasture/Range/Paddock,pigs,meat,intermediate,0,0.02,kg N2O - N kg/N,20,6
AFG,Afghanistan,Pasture/Range/Paddock,goats,milk,grassland,100,0.01,kg N2O - N kg/N,0,6
AFG,Afghanistan,Liquid/Slurry,cows,milk,mixed,0,0,kg N2O - N kg/N,40,18
AFG,Afghanistan,Composting intensive windrow,goats,meat,mixed,0,0.1,kg N2O - N kg/N,NA,6
AFG,Afghanistan,Burned for fuel,sheep,milk,mixed,0,0.007,kg N2O - N kg/N,NA,6
