iso3c,species,product,kg_co2eq_head
DZA,buffaloes,milk,25
EGY,buffaloes,milk,25
LBY,buffaloes,milk,25
MAR,buffaloes,milk,25
SDN,buffaloes,milk,25
TUN,buffaloes,milk,25
ESH,buffaloes,milk,25
IOT,buffaloes,milk,25
BDI,buffaloes,milk,25
COM,buffaloes,milk,25
DJI,buffaloes,milk,25
ERI,buffaloes,milk,25
ETH,buffaloes,milk,25
ATF,buffaloes,milk,25
KEN,buffaloes,milk,25
MDG,buffaloes,milk,25
MWI,buffaloes,milk,25
MUS,buffaloes,milk,25
MYT,buffaloes,milk,25
MOZ,buffaloes,milk,25
REU,buffaloes,milk,25
RWA,buffaloes,milk,25
SYC,buffaloes,milk,25
SOM,buffaloes,milk,25
SSD,buffaloes,milk,25
UGA,buffaloes,milk,25
TZA,buffaloes,milk,25
ZMB,buffaloes,milk,25
ZWE,buffaloes,milk,25
AGO,buffaloes,milk,25
CMR,buffaloes,milk,25
CAF,buffaloes,milk,25
TCD,buffaloes,milk,25
COG,buffaloes,milk,25
COD,buffaloes,milk,25
GNQ,buffaloes,milk,25
GAB,buffaloes,milk,25
STP,buffaloes,milk,25
BWA,buffaloes,milk,25
SWZ,buffaloes,milk,25
LSO,buffaloes,milk,25
NAM,buffaloes,milk,25
ZAF,buffaloes,milk,25
BEN,buffaloes,milk,25
BFA,buffaloes,milk,25
CPV,buffaloes,milk,25
CIV,buffaloes,milk,25
GMB,buffaloes,milk,25
GHA,buffaloes,milk,25
GIN,buffaloes,milk,25
GNB,buffaloes,milk,25
LBR,buffaloes,milk,25
MLI,buffaloes,milk,25
MRT,buffaloes,milk,25
NER,buffaloes,milk,25
NGA,buffaloes,milk,25
SHN,buffaloes,milk,25
SEN,buffaloes,milk,25
SLE,buffaloes,milk,25
TGO,buffaloes,milk,25
AIA,buffaloes,milk,50
ATG,buffaloes,milk,50
ABW,buffaloes,milk,50
BHS,buffaloes,milk,50
BRB,buffaloes,milk,50
BES,buffaloes,milk,50
VGB,buffaloes,milk,50
CYM,buffaloes,milk,50
CUB,buffaloes,milk,50
CUW,buffaloes,milk,50
DMA,buffaloes,milk,50
DOM,buffaloes,milk,50
GRD,buffaloes,milk,50
GLP,buffaloes,milk,50
HTI,buffaloes,milk,50
JAM,buffaloes,milk,50
MTQ,buffaloes,milk,50
MSR,buffaloes,milk,50
PRI,buffaloes,milk,50
BLM,buffaloes,milk,50
KNA,buffaloes,milk,50
LCA,buffaloes,milk,50
MAF,buffaloes,milk,50
VCT,buffaloes,milk,50
SXM,buffaloes,milk,50
TTO,buffaloes,milk,50
TCA,buffaloes,milk,50
VIR,buffaloes,milk,50
BLZ,buffaloes,milk,50
CRI,buffaloes,milk,50
SLV,buffaloes,milk,50
GTM,buffaloes,milk,50
HND,buffaloes,milk,50
MEX,buffaloes,milk,50
NIC,buffaloes,milk,50
PAN,buffaloes,milk,50
ARG,buffaloes,milk,37.5
BOL,buffaloes,milk,37.5
BVT,buffaloes,milk,37.5
BRA,buffaloes,milk,25
CHL,buffaloes,milk,37.5
COL,buffaloes,milk,37.5
ECU,buffaloes,milk,37.5
FLK,buffaloes,milk,37.5
GUF,buffaloes,milk,37.5
GUY,buffaloes,milk,37.5
PRY,buffaloes,milk,37.5
PER,buffaloes,milk,37.5
SGS,buffaloes,milk,37.5
SUR,buffaloes,milk,50
URY,buffaloes,milk,37.5
VEN,buffaloes,milk,37.5
BMU,buffaloes,milk,50
CAN,buffaloes,milk,50
GRL,buffaloes,milk,50
SPM,buffaloes,milk,50
USA,buffaloes,milk,50
ATA,buffaloes,milk,50
KAZ,buffaloes,milk,25
KGZ,buffaloes,milk,25
TJK,buffaloes,milk,25
TKM,buffaloes,milk,25
UZB,buffaloes,milk,25
CHN,buffaloes,milk,25
HKG,buffaloes,milk,50
MAC,buffaloes,milk,50
PRK,buffaloes,milk,50
JPN,buffaloes,milk,50
MNG,buffaloes,milk,50
KOR,buffaloes,milk,50
BRN,buffaloes,milk,50
KHM,buffaloes,milk,50
IDN,buffaloes,milk,50
LAO,buffaloes,milk,50
MYS,buffaloes,milk,50
MMR,buffaloes,milk,50
PHL,buffaloes,milk,50
SGP,buffaloes,milk,50
THA,buffaloes,milk,50
TLS,buffaloes,milk,50
VNM,buffaloes,milk,50
AFG,buffaloes,milk,125
BGD,buffaloes,milk,125
BTN,buffaloes,milk,100
IND,buffaloes,milk,125
IRN,buffaloes,milk,125
MDV,buffaloes,milk,125
NPL,buffaloes,milk,100
PAK,buffaloes,milk,125
LKA,buffaloes,milk,125
ARM,buffaloes,milk,100
AZE,buffaloes,milk,100
BHR,buffaloes,milk,100
CYP,buffaloes,milk,100
GEO,buffaloes,milk,100
IRQ,buffaloes,milk,125
ISR,buffaloes,milk,100
JOR,buffaloes,milk,125
KWT,buffaloes,milk,100
LBN,buffaloes,milk,100
OMN,buffaloes,milk,100
QAT,buffaloes,milk,100
SAU,buffaloes,milk,100
PSE,buffaloes,milk,100
SYR,buffaloes,milk,125
TUR,buffaloes,milk,100
ARE,buffaloes,milk,100
YEM,buffaloes,milk,100
BLR,buffaloes,milk,125
BGR,buffaloes,milk,125
CZE,buffaloes,milk,125
HUN,buffaloes,milk,125
POL,buffaloes,milk,125
MDA,buffaloes,milk,125
ROU,buffaloes,milk,125
RUS,buffaloes,milk,125
SVK,buffaloes,milk,125
UKR,buffaloes,milk,125
ALA,buffaloes,milk,120.49125000000001
GGY,buffaloes,milk,120.49125000000001
JEY,buffaloes,milk,120.49125000000001
NA,buffaloes,milk,120.49125000000001
DNK,buffaloes,milk,120.49125000000001
EST,buffaloes,milk,120.49125000000001
FRO,buffaloes,milk,120.49125000000001
FIN,buffaloes,milk,120.49125000000001
ISL,buffaloes,milk,120.49125000000001
IRL,buffaloes,milk,120.49125000000001
IMN,buffaloes,milk,120.49125000000001
LVA,buffaloes,milk,120.49125000000001
LTU,buffaloes,milk,120.49125000000001
NOR,buffaloes,milk,120.49125000000001
SJM,buffaloes,milk,120.49125000000001
SWE,buffaloes,milk,120.49125000000001
