iso3c,ID_0,Country,animal,kg_n_yr
AFG,1,Afghanistan,cows,35.38
AFG,1,Afghanistan,buffaloes,39.394285714285715
AFG,1,Afghanistan,goats,3.95
AFG,1,Afghanistan,sheep,4.24
AFG,1,Afghanistan,pigs,15.064
AFG,1,Afghanistan,chickens,0.52
CYP,61,Cyprus,cows,37.69
CYP,61,Cyprus,buffaloes,44.6325
CYP,61,Cyprus,goats,3.66
CYP,61,Cyprus,sheep,4.02
CYP,61,Cyprus,pigs,19.04
CYP,61,Cyprus,chickens,0.56
ALB,4,Albania,cows,42.47
ALB,4,Albania,buffaloes,55.74
ALB,4,Albania,goats,5.09
ALB,4,Albania,sheep,4.81
ALB,4,Albania,pigs,18.86
ALB,4,Albania,chickens,0.7
DZA,5,Algeria,cows,23
DZA,5,Algeria,buffaloes,32.82
DZA,5,Algeria,goats,2.42
DZA,5,Algeria,sheep,3.23
DZA,5,Algeria,pigs,12.56
DZA,5,Algeria,chickens,0.63
ASM,6,American Samoa,cows,46.58625
ASM,6,American Samoa,buffaloes,43.435267916415384
ASM,6,American Samoa,goats,5.071666666666666
ASM,6,American Samoa,sheep,5.865
ASM,6,American Samoa,pigs,18.77
ASM,6,American Samoa,chickens,0.6375
AGO,8,Angola,cows,32.23
AGO,8,Angola,buffaloes,32.82
AGO,8,Angola,goats,2.85
AGO,8,Angola,sheep,3.41
AGO,8,Angola,pigs,8.02
AGO,8,Angola,chickens,0.39
ATG,11,Antigua and Barbuda,cows,34.01416666666667
ATG,11,Antigua and Barbuda,buffaloes,50.828863636363636
ATG,11,Antigua and Barbuda,goats,2.9341666666666666
ATG,11,Antigua and Barbuda,sheep,3.8433333333333333
ATG,11,Antigua and Barbuda,pigs,20.42
ATG,11,Antigua and Barbuda,chickens,0.4928571428571428
ARG,12,Argentina,cows,46.78
ARG,12,Argentina,buffaloes,54.07
ARG,12,Argentina,goats,4.23
ARG,12,Argentina,sheep,4.87
ARG,12,Argentina,pigs,25.05
ARG,12,Argentina,chickens,0.63
ARM,13,Armenia,cows,44.56
ARM,13,Armenia,buffaloes,44.6325
ARM,13,Armenia,goats,4.17
ARM,13,Armenia,sheep,4.28
ARM,13,Armenia,pigs,12.93
ARM,13,Armenia,chickens,0.48
AUS,15,Australia,cows,48.24
AUS,15,Australia,buffaloes,43.435267916415384
AUS,15,Australia,goats,5.34
AUS,15,Australia,sheep,6.3
AUS,15,Australia,pigs,12.25
AUS,15,Australia,chickens,0.69
AUT,16,Austria,cows,62.26
AUT,16,Austria,buffaloes,52.741282051282056
AUT,16,Austria,goats,6.59
AUT,16,Austria,sheep,5.59
AUT,16,Austria,pigs,20.84
AUT,16,Austria,chickens,0.47
AZE,17,Azerbaijan,cows,46.84
AZE,17,Azerbaijan,buffaloes,48.59
AZE,17,Azerbaijan,goats,3.06
AZE,17,Azerbaijan,sheep,3.72
AZE,17,Azerbaijan,pigs,15.6
AZE,17,Azerbaijan,chickens,0.53
BHS,18,Bahamas,cows,38.64
BHS,18,Bahamas,buffaloes,50.828863636363636
BHS,18,Bahamas,goats,3.79
BHS,18,Bahamas,sheep,4.43
BHS,18,Bahamas,pigs,21.31
BHS,18,Bahamas,chickens,0.47
BHR,19,Bahrain,cows,34.29
BHR,19,Bahrain,buffaloes,44.6325
BHR,19,Bahrain,goats,2.8
BHR,19,Bahrain,sheep,3.66
BHR,19,Bahrain,pigs,14.82625
BHR,19,Bahrain,chickens,0.31
BGD,20,Bangladesh,cows,31.97
BGD,20,Bangladesh,buffaloes,32.44
BGD,20,Bangladesh,goats,2.96
BGD,20,Bangladesh,sheep,2.52
BGD,20,Bangladesh,pigs,12.11
BGD,20,Bangladesh,chickens,0.36
BRB,21,Barbados,cows,34.01416666666667
BRB,21,Barbados,buffaloes,50.828863636363636
BRB,21,Barbados,goats,2.9341666666666666
BRB,21,Barbados,sheep,3.8433333333333333
BRB,21,Barbados,pigs,7.88
BRB,21,Barbados,chickens,0.4928571428571428
BLR,22,Belarus,cows,47.05
BLR,22,Belarus,buffaloes,47.943333333333335
BLR,22,Belarus,goats,7.21
BLR,22,Belarus,sheep,4.07
BLR,22,Belarus,pigs,19.51
BLR,22,Belarus,chickens,0.88
BEL,23,Belgium,cows,60.96
BEL,23,Belgium,buffaloes,52.741282051282056
BEL,23,Belgium,goats,4.14
BEL,23,Belgium,sheep,5.35
BEL,23,Belgium,pigs,13.31
BEL,23,Belgium,chickens,0.47
BLZ,24,Belize,cows,34.95
BLZ,24,Belize,buffaloes,46.57
BLZ,24,Belize,goats,3.25
BLZ,24,Belize,sheep,4.52
BLZ,24,Belize,pigs,14.370000000000001
BLZ,24,Belize,chickens,0.54
BEN,25,Benin,cows,32.01
BEN,25,Benin,buffaloes,32.82
BEN,25,Benin,goats,4.34
BEN,25,Benin,sheep,3.11
BEN,25,Benin,pigs,12.05
BEN,25,Benin,chickens,0.54
BTN,27,Bhutan,cows,33.54
BTN,27,Bhutan,buffaloes,41.14
BTN,27,Bhutan,goats,3.02
BTN,27,Bhutan,sheep,3.81
BTN,27,Bhutan,pigs,12.61
BTN,27,Bhutan,chickens,0.45
BOL,28,Bolivia,cows,46.4
BOL,28,Bolivia,buffaloes,53.2625
BOL,28,Bolivia,goats,3.69
BOL,28,Bolivia,sheep,5.06
BOL,28,Bolivia,pigs,20.69
BOL,28,Bolivia,chickens,0.83
BES,29,"Bonaire, Sint Eustatius and Saba",cows,36.5
BES,29,"Bonaire, Sint Eustatius and Saba",buffaloes,50.828863636363636
BES,29,"Bonaire, Sint Eustatius and Saba",goats,3.31
