iso3c,animal,system,product,unit,value
AUT,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
AUT,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
AUT,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
AUT,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
AUT,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
AUT,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
AUT,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
AUT,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
BEL,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
BEL,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
BEL,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
BEL,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
BEL,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
BEL,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
BEL,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
BEL,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
BGR,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
BGR,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
BGR,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
BGR,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
BGR,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
BGR,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
BGR,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
BGR,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
HRV,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
HRV,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
HRV,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
HRV,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
HRV,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
HRV,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
HRV,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
HRV,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
CYP,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
CYP,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
CYP,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
CYP,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
CYP,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
CYP,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
CYP,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
CYP,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
CZE,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
CZE,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
CZE,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
CZE,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
CZE,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
CZE,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
CZE,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
CZE,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
DNK,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
DNK,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
DNK,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
DNK,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
DNK,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
DNK,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
DNK,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
DNK,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
EST,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
EST,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
EST,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
EST,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
EST,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
EST,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
EST,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
EST,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
FIN,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
FIN,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
FIN,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
FIN,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
FIN,cows,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
FIN,buffaloes,mixed,milk,kg CO2-eq·kg milk-1,0.060666667
FIN,sheep,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
FIN,goats,mixed,milk,kg CO2-eq·kg milk-1,0.121333334
FRA,cows,grassland,milk,kg CO2-eq·kg milk-1,0.06
FRA,buffaloes,grassland,milk,kg CO2-eq·kg milk-1,0.06
FRA,sheep,grassland,milk,kg CO2-eq·kg milk-1,0.12
FRA,goats,grassland,milk,kg CO2-eq·kg milk-1,0.12
