iso3c,animal,system,product,leach_n_rate
ABW,sheep,grassland,meat,0.022887049999999996
AFG,sheep,grassland,meat,0.025249199999999996
AGO,sheep,grassland,meat,0.020306550000000007
AIA,sheep,grassland,meat,0.022681236842105264
ALA,sheep,grassland,meat,0.0182371875
ALB,sheep,grassland,meat,0.0192148
AND,sheep,grassland,meat,0.0194927
ARE,sheep,grassland,meat,0.02566605
ARG,sheep,grassland,meat,0.029000850000000005
ARM,sheep,grassland,meat,0.024177300000000002
ASM,sheep,grassland,meat,0.011642025000000002
ATG,sheep,grassland,meat,0.022887050000000003
AUS,sheep,grassland,meat,0.012505500000000001
AUT,sheep,grassland,meat,0.022192299999999998
AZE,sheep,grassland,meat,0.0221526
BDI,sheep,grassland,meat,0.015125700000000004
BEL,sheep,grassland,meat,0.0212395
BEN,sheep,grassland,meat,0.01852005
BES,sheep,grassland,meat,0.022681236842105264
BFA,sheep,grassland,meat,0.019413299999999998
BGD,sheep,grassland,meat,0.015006599999999998
BGR,sheep,grassland,meat,0.016865883333333335
BHR,sheep,grassland,meat,0.024177300000000002
BHS,sheep,grassland,meat,0.026380650000000005
BIH,sheep,grassland,meat,0.0190957
BLM,sheep,grassland,meat,0.022681236842105264
BLR,sheep,grassland,meat,0.016157900000000003
BLZ,sheep,grassland,meat,0.0269166
BMU,sheep,grassland,meat,0.021421458333333334
BOL,sheep,grassland,meat,0.030132300000000004
BRA,sheep,grassland,meat,0.029775
BRB,sheep,grassland,meat,0.02288705
BRN,sheep,grassland,meat,0.00875385
BTN,sheep,grassland,meat,0.022688550000000002
BWA,sheep,grassland,meat,0.021318900000000002
CAF,sheep,grassland,meat,0.02197395
CAN,sheep,grassland,meat,0.0256859
CCK,sheep,grassland,meat,0.012505500000000001
CHE,sheep,grassland,meat,0.021795300000000004
CHL,sheep,grassland,meat,0.0339435
CHN,sheep,grassland,meat,0.023998650000000003
CIV,sheep,grassland,meat,0.016495350000000002
CMR,sheep,grassland,meat,0.020544750000000004
COD,sheep,grassland,meat,0.0188178
COG,sheep,grassland,meat,0.020425650000000004
COK,sheep,grassland,meat,0.011642025000000002
COL,sheep,grassland,meat,0.028822200000000003
COM,sheep,grassland,meat,0.00875385
CPV,sheep,grassland,meat,0.016673999999999998
CRI,sheep,grassland,meat,0.026440200000000004
CUB,sheep,grassland,meat,0.01947285
CUW,sheep,grassland,meat,0.022681236842105264
CXR,sheep,grassland,meat,0.012505500000000001
CYM,sheep,grassland,meat,0.022681236842105264
CYP,sheep,grassland,meat,0.024177300000000002
CZE,sheep,grassland,meat,0.0177459
DEU,sheep,grassland,meat,0.020802800000000003
DJI,sheep,grassland,meat,0.01661445
DMA,sheep,grassland,meat,0.029834550000000005
DNK,sheep,grassland,meat,0.0215571
DOM,sheep,grassland,meat,0.024415499999999993
DZA,sheep,grassland,meat,0.015512775
ECU,sheep,grassland,meat,0.0227481
EGY,sheep,grassland,meat,0.015512775
ERI,sheep,grassland,meat,0.019234650000000002
ESH,sheep,grassland,meat,0.012088649999999998
ESP,sheep,grassland,meat,0.0193339
EST,sheep,grassland,meat,0.018579599999999998
ETH,sheep,grassland,meat,0.01649535
FIN,sheep,grassland,meat,0.0165549
FJI,sheep,grassland,meat,0.010778550000000001
FLK,sheep,grassland,meat,0.0290604
FRA,sheep,grassland,meat,0.0221129
FRO,sheep,grassland,meat,0.0182371875
FSM,sheep,grassland,meat,0.011642025000000002
GAB,sheep,grassland,meat,0.01887735
GBR,sheep,grassland,meat,0.0182371875
GEO,sheep,grassland,meat,0.024058200000000005
GGY,sheep,grassland,meat,0.0182371875
GHA,sheep,grassland,meat,0.016138049999999998
GIB,sheep,grassland,meat,0.0192148
GIN,sheep,grassland,meat,0.018996449999999998
GLP,sheep,grassland,meat,0.0110763
GMB,sheep,grassland,meat,0.018758249999999997
GNB,sheep,grassland,meat,0.017494939285714287
GNQ,sheep,grassland,meat,0.01899645
GRC,sheep,grassland,meat,0.0192148
GRD,sheep,grassland,meat,0.022887050000000003
GRL,sheep,grassland,meat,0.021421458333333334
GTM,sheep,grassland,meat,0.02566605
GUF,sheep,grassland,meat,0.02923905
GUM,sheep,grassland,meat,0.011642025000000002
GUY,sheep,grassland,meat,0.027809849999999997
HKG,sheep,grassland,meat,0.00780105
HND,sheep,grassland,meat,0.026797500000000002
HRV,sheep,grassland,meat,0.019056
HTI,sheep,grassland,meat,0.02268855
HUN,sheep,grassland,meat,0.016277
IDN,sheep,grassland,meat,0.01935375
IMN,sheep,grassland,meat,0.0182371875
IND,sheep,grassland,meat,0.032752500000000004
IOT,sheep,grassland,meat,0.0184674475
IRL,sheep,grassland,meat,0.0183017
IRN,sheep,grassland,meat,0.0200088
IRQ,sheep,grassland,meat,0.022688550000000005
