iso3c,animal,system,product,leach_n_rate
ABW,pigs,intermediate,meat,0.18596958824999998
AFG,pigs,intermediate,meat,0.17402987279999996
AGO,pigs,intermediate,meat,0.053490192
AIA,pigs,intermediate,meat,0.18596958824999998
ALA,pigs,intermediate,meat,0.06600606031666667
ALB,pigs,intermediate,meat,0.0704940593
AND,pigs,intermediate,meat,0.06319482887916666
ARE,pigs,intermediate,meat,0.12556845333333333
ARG,pigs,intermediate,meat,0.28939513499999997
ARM,pigs,intermediate,meat,0.09855763199999999
ASM,pigs,intermediate,meat,0.2358459885
ATG,pigs,intermediate,meat,0.18596958824999998
AUS,pigs,intermediate,meat,0.2693846090811688
AUT,pigs,intermediate,meat,0.05314883551999999
AZE,pigs,intermediate,meat,0.11890943999999999
BDI,pigs,intermediate,meat,0.040084296
BEL,pigs,intermediate,meat,0.026420350000000002
BEN,pigs,intermediate,meat,0.08036868000000001
BES,pigs,intermediate,meat,0.18596958824999998
BFA,pigs,intermediate,meat,0.0903969
BGD,pigs,intermediate,meat,0.13990319699999998
BGR,pigs,intermediate,meat,0.07681950000000001
BHR,pigs,intermediate,meat,0.12556845333333333
BHS,pigs,intermediate,meat,0.18596958824999998
BIH,pigs,intermediate,meat,0.06171033505
BLM,pigs,intermediate,meat,0.18596958824999998
BLR,pigs,intermediate,meat,0.07745470000000002
BLZ,pigs,intermediate,meat,0.166012299
BMU,pigs,intermediate,meat,0.03503661965000001
BOL,pigs,intermediate,meat,0.23902536300000002
BRA,pigs,intermediate,meat,0.193392198
BRB,pigs,intermediate,meat,0.18596958824999998
BRN,pigs,intermediate,meat,0.250578063
BTN,pigs,intermediate,meat,0.145679547
BWA,pigs,intermediate,meat,0.059426136
CAF,pigs,intermediate,meat,0.069964104
CAN,pigs,intermediate,meat,0.026795530880000005
CCK,pigs,intermediate,meat,0.2693846090811688
CHE,pigs,intermediate,meat,0.071017345
CHL,pigs,intermediate,meat,0.19879308524999997
CHN,pigs,intermediate,meat,0.184401339
CIV,pigs,intermediate,meat,0.085237488
CMR,pigs,intermediate,meat,0.059626224
COD,pigs,intermediate,meat,0.04035108
COG,pigs,intermediate,meat,0.05315671200000001
COK,pigs,intermediate,meat,0.24099765899999998
COL,pigs,intermediate,meat,0.16589677199999997
COM,pigs,intermediate,meat,0.051960948
CPV,pigs,intermediate,meat,0.095108496
CRI,pigs,intermediate,meat,0.178604742
CUB,pigs,intermediate,meat,0.14498638500000002
CUW,pigs,intermediate,meat,0.18596958824999998
CXR,pigs,intermediate,meat,0.2693846090811688
CYM,pigs,intermediate,meat,0.22585528500000004
CYP,pigs,intermediate,meat,0.14513049599999997
CZE,pigs,intermediate,meat,0.0751521
DEU,pigs,intermediate,meat,0.046786469850000005
DJI,pigs,intermediate,meat,0.051960948
DMA,pigs,intermediate,meat,0.270217653
DNK,pigs,intermediate,meat,0.04168023600000001
DOM,pigs,intermediate,meat,0.18911769899999997
DZA,pigs,intermediate,meat,0.095737344
ECU,pigs,intermediate,meat,0.19524062999999997
EGY,pigs,intermediate,meat,0.06227500800000001
ERI,pigs,intermediate,meat,0.051960948
ESH,pigs,intermediate,meat,0.09061128
ESP,pigs,intermediate,meat,0.0658592431
EST,pigs,intermediate,meat,0.07142849805
ETH,pigs,intermediate,meat,0.050422176000000006
FIN,pigs,intermediate,meat,0.07105472255
FJI,pigs,intermediate,meat,0.31651360949999996
FLK,pigs,intermediate,meat,0.19879308524999997
FRA,pigs,intermediate,meat,0.033802168
FRO,pigs,intermediate,meat,0.06600606031666667
FSM,pigs,intermediate,meat,0.220055909
GAB,pigs,intermediate,meat,0.041418216
GBR,pigs,intermediate,meat,0.06134543250000001
GEO,pigs,intermediate,meat,0.10938144000000001
GGY,pigs,intermediate,meat,0.06600606031666667
GHA,pigs,intermediate,meat,0.0683634
GIB,pigs,intermediate,meat,0.06319482887916666
GIN,pigs,intermediate,meat,0.10011069599999999
GLP,pigs,intermediate,meat,0.13689949499999998
GMB,pigs,intermediate,meat,0.057158472
GNB,pigs,intermediate,meat,0.09690928800000001
GNQ,pigs,intermediate,meat,0.06347791800000001
GRC,pigs,intermediate,meat,0.07105472255
GRD,pigs,intermediate,meat,0.2848895819999999
GRL,pigs,intermediate,meat,0.031138429010000006
