iso3c,animal,system,product,leach_n_rate
MNP,goats,mixed,meat,0.010067258333333334
MOZ,goats,mixed,meat,0.0204852
MRT,goats,mixed,meat,0.0183414
MSR,goats,mixed,meat,0.0174729625
MTQ,goats,mixed,meat,0.017448150000000003
MUS,goats,mixed,meat,0.01617378
MWI,goats,mixed,meat,0.014827950000000003
MYS,goats,mixed,meat,0.02507055
MYT,goats,mixed,meat,0.016173780000000002
NAM,goats,mixed,meat,0.020366099999999995
NCL,goats,mixed,meat,0.008932500000000001
NER,goats,mixed,meat,0.01578075
NFK,goats,mixed,meat,0.011274800000000001
NGA,goats,mixed,meat,0.0123864
NIC,goats,mixed,meat,0.018817800000000003
NIU,goats,mixed,meat,0.010067258333333332
NLD,goats,mixed,meat,0.02026685
NOR,goats,mixed,meat,0.022143134858333337
NPL,goats,mixed,meat,0.01589985
NRU,goats,mixed,meat,0.010067258333333334
NZL,goats,mixed,meat,0.0119497
OMN,goats,mixed,meat,0.019957757142857142
PAK,goats,mixed,meat,0.01613805
PAN,goats,mixed,meat,0.0184605
PCN,goats,mixed,meat,0.010067258333333332
PER,goats,mixed,meat,0.020782949999999998
PHL,goats,mixed,meat,0.01613805
PLW,goats,mixed,meat,0.010067258333333334
PNG,goats,mixed,meat,0.008714149999999999
POL,goats,mixed,meat,0.020693625
PRI,goats,mixed,meat,0.019591949999999997
PRK,goats,mixed,meat,0.01625715
PRT,goats,mixed,meat,0.0210807
PRY,goats,mixed,meat,0.020127899999999997
PSE,goats,mixed,meat,0.019957757142857142
PYF,goats,mixed,meat,0.010067258333333332
QAT,goats,mixed,meat,0.0220335
REU,goats,mixed,meat,0.016173780000000002
ROU,goats,mixed,meat,0.0169122
RUS,goats,mixed,meat,0.019294200000000004
RWA,goats,mixed,meat,0.01652065875
SAU,goats,mixed,meat,0.019957757142857142
SDN,goats,mixed,meat,0.01196955
SEN,goats,mixed,meat,0.01208865
SGP,goats,mixed,meat,0.014113350000000002
SHN,goats,mixed,meat,0.015284500000000001
SJM,goats,mixed,meat,0.023376683333333335
SLB,goats,mixed,meat,0.008859716666666668
SLE,goats,mixed,meat,0.014768400000000001
SLV,goats,mixed,meat,0.016078500000000003
SMR,goats,mixed,meat,0.021080699999999997
SOM,goats,mixed,meat,0.01652065875
SPM,goats,mixed,meat,0.0227084
SRB,goats,mixed,meat,0.018738400000000002
SSD,goats,mixed,meat,0.01652065875
STP,goats,mixed,meat,0.00565725
SUR,goats,mixed,meat,0.019353750000000003
SVK,goats,mixed,meat,0.020693625
SVN,goats,mixed,meat,0.0201676
SWE,goats,mixed,meat,0.023376683333333335
SWZ,goats,mixed,meat,0.021497549999999997
SXM,goats,mixed,meat,0.01666611838235294
SYC,goats,mixed,meat,0.01652065875
SYR,goats,mixed,meat,0.019957757142857142
TCA,goats,mixed,meat,0.017472962499999998
TCD,goats,mixed,meat,0.01911555
TGO,goats,mixed,meat,0.0132201
THA,goats,mixed,meat,0.010123500000000002
TJK,goats,mixed,meat,0.019532400000000002
TKL,goats,mixed,meat,0.010067258333333332
TKM,goats,mixed,meat,0.01780545
TLS,goats,mixed,meat,0.017192085000000003
TON,goats,mixed,meat,0.010067258333333332
TTO,goats,mixed,meat,0.0174729625
TUN,goats,mixed,meat,0.012803249999999999
TUR,goats,mixed,meat,0.019957757142857142
TUV,goats,mixed,meat,0.010067258333333332
TWN,goats,mixed,meat,0.0181955025
TZA,goats,mixed,meat,0.018281850000000002
UGA,goats,mixed,meat,0.014351550000000003
UKR,goats,mixed,meat,0.020693625
URY,goats,mixed,meat,0.0209616
USA,goats,mixed,meat,0.024653699999999997
UZB,goats,mixed,meat,0.0171504
VCT,goats,mixed,meat,0.009706649999999999
VEN,goats,mixed,meat,0.021080699999999997
VGB,goats,mixed,meat,0.01666611838235294
VIR,goats,mixed,meat,0.017472962499999998
VNM,goats,mixed,meat,0.01887735
VUT,goats,mixed,meat,0.008932500000000001
WLF,goats,mixed,meat,0.010067258333333332
WSM,goats,mixed,meat,0.010067258333333332
XKO,goats,mixed,meat,0.02073928
XMI,goats,mixed,meat,0.013924775000000002
YEM,goats,mixed,meat,0.0182223
ZAF,goats,mixed,meat,0.022629000000000003
ZMB,goats,mixed,meat,0.01840095
ZWE,goats,mixed,meat,0.022628999999999996
