iso3c,animal,system,product,leach_n_rate
LKA,buffaloes,grassland,meat,0.21996635714285717
LSO,buffaloes,grassland,meat,0.1954431
LTU,buffaloes,grassland,meat,0.20939725736263737
LUX,buffaloes,grassland,meat,0.20938288974358976
LVA,buffaloes,grassland,meat,0.20939725736263737
MAC,buffaloes,grassland,meat,0.19452007500000001
MAF,buffaloes,grassland,meat,0.3026858829545455
MAR,buffaloes,grassland,meat,0.19544310000000004
MCO,buffaloes,grassland,meat,0.20938288974358976
MDA,buffaloes,grassland,meat,0.180635
MDG,buffaloes,grassland,meat,0.19544310000000004
MDV,buffaloes,grassland,meat,0.21996635714285717
MEX,buffaloes,grassland,meat,0.27732435000000005
MHL,buffaloes,grassland,meat,0.08621900681408454
MKD,buffaloes,grassland,meat,0.22128779999999998
MLI,buffaloes,grassland,meat,0.19544310000000004
MLT,buffaloes,grassland,meat,0.22738175
MMR,buffaloes,grassland,meat,0.20193404999999995
MNE,buffaloes,grassland,meat,0.22738175
MNG,buffaloes,grassland,meat,0.19452007500000004
MNP,buffaloes,grassland,meat,0.08621900681408454
MOZ,buffaloes,grassland,meat,0.19544310000000004
MRT,buffaloes,grassland,meat,0.19544310000000004
MSR,buffaloes,grassland,meat,0.3026858829545455
MTQ,buffaloes,grassland,meat,0.3026858829545455
MUS,buffaloes,grassland,meat,0.19544310000000004
MWI,buffaloes,grassland,meat,0.19544310000000004
MYS,buffaloes,grassland,meat,0.17954325
MYT,buffaloes,grassland,meat,0.19544310000000004
NAM,buffaloes,grassland,meat,0.1954431
NCL,buffaloes,grassland,meat,0.08621900681408454
NER,buffaloes,grassland,meat,0.19544310000000004
NFK,buffaloes,grassland,meat,0.08621900681408454
NGA,buffaloes,grassland,meat,0.19544310000000004
NIC,buffaloes,grassland,meat,0.27732435000000005
NIU,buffaloes,grassland,meat,0.08621900681408454
NLD,buffaloes,grassland,meat,0.20938288974358976
NOR,buffaloes,grassland,meat,0.20939725736263737
NPL,buffaloes,grassland,meat,0.23212590000000002
NRU,buffaloes,grassland,meat,0.08621900681408454
NZL,buffaloes,grassland,meat,0.08621900681408454
OMN,buffaloes,grassland,meat,0.27049992
PAK,buffaloes,grassland,meat,0.21996635714285717
PAN,buffaloes,grassland,meat,0.27732435000000005
PCN,buffaloes,grassland,meat,0.08621900681408454
PER,buffaloes,grassland,meat,0.31717818750000004
PHL,buffaloes,grassland,meat,0.16411979999999998
PLW,buffaloes,grassland,meat,0.08621900681408454
PNG,buffaloes,grassland,meat,0.08621900681408454
POL,buffaloes,grassland,meat,0.180635
PRI,buffaloes,grassland,meat,0.3026858829545455
PRK,buffaloes,grassland,meat,0.19452007500000001
PRT,buffaloes,grassland,meat,0.22738175
PRY,buffaloes,grassland,meat,0.3171781875000001
PSE,buffaloes,grassland,meat,0.27049992
PYF,buffaloes,grassland,meat,0.08621900681408454
QAT,buffaloes,grassland,meat,0.27049992
REU,buffaloes,grassland,meat,0.19544310000000004
ROU,buffaloes,grassland,meat,0.180635
RUS,buffaloes,grassland,meat,0.180635
RWA,buffaloes,grassland,meat,0.19544310000000004
SAU,buffaloes,grassland,meat,0.26578653750000003
SDN,buffaloes,grassland,meat,0.19544310000000004
SEN,buffaloes,grassland,meat,0.19544310000000004
SGP,buffaloes,grassland,meat,0.1825406
SHN,buffaloes,grassland,meat,0.19544310000000004
SJM,buffaloes,grassland,meat,0.20939725736263737
SLB,buffaloes,grassland,meat,0.08621900681408454
SLE,buffaloes,grassland,meat,0.19544310000000004
SLV,buffaloes,grassland,meat,0.27732435000000005
SMR,buffaloes,grassland,meat,0.22738175
SOM,buffaloes,grassland,meat,0.19544310000000004
SPM,buffaloes,grassland,meat,0.230657
SRB,buffaloes,grassland,meat,0.22738175
SSD,buffaloes,grassland,meat,0.19544310000000004
STP,buffaloes,grassland,meat,0.19544310000000004
SUR,buffaloes,grassland,meat,0.3171781875
SVK,buffaloes,grassland,meat,0.180635
SVN,buffaloes,grassland,meat,0.22738175
SWE,buffaloes,grassland,meat,0.20939725736263737
SWZ,buffaloes,grassland,meat,0.1954431
SXM,buffaloes,grassland,meat,0.3026858829545455
SYC,buffaloes,grassland,meat,0.19544310000000004
SYR,buffaloes,grassland,meat,0.27049992
TCA,buffaloes,grassland,meat,0.3026858829545455
TCD,buffaloes,grassland,meat,0.19544310000000004
TGO,buffaloes,grassland,meat,0.19544310000000004
THA,buffaloes,grassland,meat,0.15881985
TJK,buffaloes,grassland,meat,0.20896095000000003
TKL,buffaloes,grassland,meat,0.08621900681408454
TKM,buffaloes,grassland,meat,0.20896095000000003
TLS,buffaloes,grassland,meat,0.19925430000000005
TON,buffaloes,grassland,meat,0.08621900681408454
TTO,buffaloes,grassland,meat,0.3026858829545455
TUN,buffaloes,grassland,meat,0.19544310000000004
TUR,buffaloes,grassland,meat,0.27049992
TUV,buffaloes,grassland,meat,0.08621900681408454
TWN,buffaloes,grassland,meat,0.19452007500000001
