iso3c,animal,system,product,leach_n_rate
ABW,goats,mixed,milk,0.020127900000000004
AFG,goats,mixed,milk,0.02352225
AGO,goats,mixed,milk,0.01720995
AIA,goats,mixed,milk,0.020127900000000004
ALA,goats,mixed,milk,0.02441153
ALB,goats,mixed,milk,0.020207299999999997
AND,goats,mixed,milk,0.0210807
ARE,goats,mixed,milk,0.02173575
ARG,goats,mixed,milk,0.020520930000000003
ARM,goats,mixed,milk,0.024832350000000003
ASM,goats,mixed,milk,0.00871415
ATG,goats,mixed,milk,0.020127900000000004
AUS,goats,mixed,milk,0.00871415
AUT,goats,mixed,milk,0.026162300000000003
AZE,goats,mixed,milk,0.0182223
BDI,goats,mixed,milk,0.01256505
BEL,goats,mixed,milk,0.0164358
BEN,goats,mixed,milk,0.025844700000000005
BES,goats,mixed,milk,0.020127900000000004
BFA,goats,mixed,milk,0.0152448
BGD,goats,mixed,milk,0.017626799999999998
BGR,goats,mixed,milk,0.0191751
BHR,goats,mixed,milk,0.016673999999999998
BHS,goats,mixed,milk,0.02256945
BIH,goats,mixed,milk,0.021471083333333335
BLM,goats,mixed,milk,0.020127900000000004
BLR,goats,mixed,milk,0.028623700000000002
BLZ,goats,mixed,milk,0.01875825
BMU,goats,mixed,milk,0.024653700000000004
BOL,goats,mixed,milk,0.021973950000000003
BRA,goats,mixed,milk,0.01816275
BRB,goats,mixed,milk,0.020127900000000004
BRN,goats,mixed,milk,0.02144246625
BTN,goats,mixed,milk,0.020927571428571427
BWA,goats,mixed,milk,0.02137845
CAF,goats,mixed,milk,0.01720995
CAN,goats,mixed,milk,0.024653700000000004
CCK,goats,mixed,milk,0.00871415
CHE,goats,mixed,milk,0.026082900000000003
CHL,goats,mixed,milk,0.022271700000000002
CHN,goats,mixed,milk,0.01494705
CIV,goats,mixed,milk,0.016238540625000002
CMR,goats,mixed,milk,0.01530435
COD,goats,mixed,milk,0.01720995
COG,goats,mixed,milk,0.01720995
COK,goats,mixed,milk,0.00871415
