iso3c,animal,system,product,leach_n_rate
ABW,sheep,mixed,milk,0.026007109090909093
AFG,sheep,mixed,milk,0.0252492
AGO,sheep,mixed,milk,0.020455425
AIA,sheep,mixed,milk,0.026007109090909093
ALA,sheep,mixed,milk,0.0182371875
ALB,sheep,mixed,milk,0.0190957
AND,sheep,mixed,milk,0.019492699999999998
ARE,sheep,mixed,milk,0.02566605
ARG,sheep,mixed,milk,0.026440200000000004
ARM,sheep,mixed,milk,0.025487400000000004
ASM,sheep,mixed,milk,0.02128492151256659
ATG,sheep,mixed,milk,0.026007109090909093
AUS,sheep,mixed,milk,0.02128492151256659
AUT,sheep,mixed,milk,0.022192299999999998
AZE,sheep,mixed,milk,0.0221526
BDI,sheep,mixed,milk,0.015125699999999999
BEL,sheep,mixed,milk,0.0220335
BEN,sheep,mixed,milk,0.017933057142857145
BES,sheep,mixed,milk,0.026007109090909093
BFA,sheep,mixed,milk,0.019413299999999998
BGD,sheep,mixed,milk,0.0150066
BGR,sheep,mixed,milk,0.0172298
BHR,sheep,mixed,milk,0.0217953
BHS,sheep,mixed,milk,0.026007109090909093
BIH,sheep,mixed,milk,0.0190957
BLM,sheep,mixed,milk,0.026007109090909093
BLR,sheep,mixed,milk,0.017084233333333334
BLZ,sheep,mixed,milk,0.025249200000000003
BMU,sheep,mixed,milk,0.026007109090909093
BOL,sheep,mixed,milk,0.030132300000000004
BRA,sheep,mixed,milk,0.026440200000000004
BRB,sheep,mixed,milk,0.026007109090909093
BRN,sheep,mixed,milk,0.0174283
BTN,sheep,mixed,milk,0.023035925000000002
BWA,sheep,mixed,milk,0.017374572264437692
CAF,sheep,mixed,milk,0.020455425
CAN,sheep,mixed,milk,0.026007109090909093
CCK,sheep,mixed,milk,0.02128492151256659
CHE,sheep,mixed,milk,0.021795300000000004
CHL,sheep,mixed,milk,0.026440200000000004
CHN,sheep,mixed,milk,0.023998650000000003
CIV,sheep,mixed,milk,0.017933057142857145
CMR,sheep,mixed,milk,0.02054475
COD,sheep,mixed,milk,0.020455425
COG,sheep,mixed,milk,0.020455425
COK,sheep,mixed,milk,0.02128492151256659
COL,sheep,mixed,milk,0.026440200000000004
COM,sheep,mixed,milk,0.0156021
CPV,sheep,mixed,milk,0.017933057142857145
CRI,sheep,mixed,milk,0.025249200000000003
CUB,sheep,mixed,milk,0.026007109090909093
CUW,sheep,mixed,milk,0.026007109090909093
CXR,sheep,mixed,milk,0.02128492151256659
CYM,sheep,mixed,milk,0.026007109090909093
CYP,sheep,mixed,milk,0.023939099999999998
CZE,sheep,mixed,milk,0.0177459
DEU,sheep,mixed,milk,0.0220335
DJI,sheep,mixed,milk,0.0156021
DMA,sheep,mixed,milk,0.026007109090909093
DNK,sheep,mixed,milk,0.0182371875
DOM,sheep,mixed,milk,0.026007109090909093
DZA,sheep,mixed,milk,0.019234650000000002
ECU,sheep,mixed,milk,0.0227481
EGY,sheep,mixed,milk,0.014232449999999999
ERI,sheep,mixed,milk,0.019234649999999996
ESH,sheep,mixed,milk,0.016685909999999998
ESP,sheep,mixed,milk,0.019333899999999998
EST,sheep,mixed,milk,0.0182371875
ETH,sheep,mixed,milk,0.01649535
FIN,sheep,mixed,milk,0.0182371875
FJI,sheep,mixed,milk,0.02128492151256659
FLK,sheep,mixed,milk,0.026440200000000004
FRA,sheep,mixed,milk,0.0221129
FRO,sheep,mixed,milk,0.0182371875
FSM,sheep,mixed,milk,0.02128492151256659
GAB,sheep,mixed,milk,0.020455425
GBR,sheep,mixed,milk,0.0182371875
GEO,sheep,mixed,milk,0.024058200000000002
GGY,sheep,mixed,milk,0.0182371875
GHA,sheep,mixed,milk,0.017933057142857145
GIB,sheep,mixed,milk,0.0194927
GIN,sheep,mixed,milk,0.018996449999999998
GLP,sheep,mixed,milk,0.026007109090909093
GMB,sheep,mixed,milk,0.017933057142857145
GNB,sheep,mixed,milk,0.01006395
GNQ,sheep,mixed,milk,0.020455425
GRC,sheep,mixed,milk,0.0204455
GRD,sheep,mixed,milk,0.026007109090909093
GRL,sheep,mixed,milk,0.026007109090909093
GTM,sheep,mixed,milk,0.025249200000000003
GUF,sheep,mixed,milk,0.026440200000000004
GUM,sheep,mixed,milk,0.02128492151256659
GUY,sheep,mixed,milk,0.026440200000000004
HKG,sheep,mixed,milk,0.023323750000000004
HND,sheep,mixed,milk,0.025249200000000003
HRV,sheep,mixed,milk,0.019055999999999997
HTI,sheep,mixed,milk,0.026007109090909093
HUN,sheep,mixed,milk,0.016277
IDN,sheep,mixed,milk,0.01935375
IMN,sheep,mixed,milk,0.018237187499999998
IND,sheep,mixed,milk,0.032752500000000004
IOT,sheep,mixed,milk,0.0156021
IRL,sheep,mixed,milk,0.0182371875
IRN,sheep,mixed,milk,0.0200088
IRQ,sheep,mixed,milk,0.022688550000000002
ISL,sheep,mixed,milk,0.0182371875
ISR,sheep,mixed,milk,0.02584470000000001
ITA,sheep,mixed,milk,0.020842500000000003
JAM,sheep,mixed,milk,0.026007109090909093
JEY,sheep,mixed,milk,0.0182371875
JOR,sheep,mixed,milk,0.024058200000000002
JPN,sheep,mixed,milk,0.020187450000000006
KAZ,sheep,mixed,milk,0.027214349999999998
KEN,sheep,mixed,milk,0.019056000000000007
KGZ,sheep,mixed,milk,0.0263211
KHM,sheep,mixed,milk,0.014589750000000002
KIR,sheep,mixed,milk,0.02128492151256659
KNA,sheep,mixed,milk,0.026007109090909093
KOR,sheep,mixed,milk,0.023323750000000004
KWT,sheep,mixed,milk,0.023581799999999997
LAO,sheep,mixed,milk,0.014172899999999999
LBN,sheep,mixed,milk,0.025487400000000007
LBR,sheep,mixed,milk,0.017933057142857145
LBY,sheep,mixed,milk,0.016793100000000002
LCA,sheep,mixed,milk,0.026007109090909093
LIE,sheep,mixed,milk,0.0220335
LKA,sheep,mixed,milk,0.023035925000000002
LSO,sheep,mixed,milk,0.017374572264437692
LTU,sheep,mixed,milk,0.0182371875
LUX,sheep,mixed,milk,0.0220335
LVA,sheep,mixed,milk,0.0182371875
MAC,sheep,mixed,milk,0.023323750000000004
MAF,sheep,mixed,milk,0.026007109090909093
MAR,sheep,mixed,milk,0.016257149999999998
MCO,sheep,mixed,milk,0.0220335
MDA,sheep,mixed,milk,0.016832800000000002
MDG,sheep,mixed,milk,0.0156021
MDV,sheep,mixed,milk,0.023035925000000002
MEX,sheep,mixed,milk,0.025249200000000003
MHL,sheep,mixed,milk,0.02128492151256659
MKD,sheep,mixed,milk,0.0190957
MLI,sheep,mixed,milk,0.019949250000000005
MLT,sheep,mixed,milk,0.020723400000000003
MMR,sheep,mixed,milk,0.017924550000000004
MNE,sheep,mixed,milk,0.0189766
