iso3c,animal,system,product,leach_mms_rate
ABW,cows,feedlot,meat,0.0023091197325
AFG,cows,feedlot,meat,0.002106879
AGO,cows,feedlot,meat,0.0019192964999999995
AIA,cows,feedlot,meat,0.0023091197325
ALA,cows,feedlot,meat,0.0024468415688888895
ALB,cows,feedlot,meat,0.0016523378200000002
AND,cows,feedlot,meat,0.0018191797166666667
ARE,cows,feedlot,meat,0.0018311624999999998
ARG,cows,feedlot,meat,0.0037329036600000005
ARM,cows,feedlot,meat,0.002653548
ASM,cows,feedlot,meat,9.247370625e-4
ATG,cows,feedlot,meat,0.0023091197325
AUS,cows,feedlot,meat,9.57564e-4
AUT,cows,feedlot,meat,0.00242228756
AZE,cows,feedlot,meat,0.0027893220000000003
BDI,cows,feedlot,meat,0.0015739064999999999
BEL,cows,feedlot,meat,0.00237170976
BEN,cows,feedlot,meat,0.0019061954999999998
BES,cows,feedlot,meat,0.0023017825252173913
BFA,cows,feedlot,meat,0.0020908005
BGD,cows,feedlot,meat,0.0019038134999999998
BGR,cows,feedlot,meat,0.0019238620000000001
BHR,cows,feedlot,meat,0.0020419695
BHS,cows,feedlot,meat,0.0026231536800000003
BIH,cows,feedlot,meat,0.0016554503
BLM,cows,feedlot,meat,0.0023017825252173913
BLR,cows,feedlot,meat,0.0018678849999999997
BLZ,cows,feedlot,meat,0.00237265065
BMU,cows,feedlot,meat,0.0021773772675
BOL,cows,feedlot,meat,0.0031499568
BRA,cows,feedlot,meat,0.002694042
BRB,cows,feedlot,meat,0.0023091197325
BRN,cows,feedlot,meat,0.0016411979999999997
BTN,cows,feedlot,meat,0.001997307
BWA,cows,feedlot,meat,0.001587603
CAF,cows,feedlot,meat,0.0020723399999999998
CAN,cows,feedlot,meat,0.00207631
CCK,cows,feedlot,meat,0.00102475625
CHE,cows,feedlot,meat,0.0024666404
CHL,cows,feedlot,meat,0.0031200865200000003
CHN,cows,feedlot,meat,0.0023790225
CIV,cows,feedlot,meat,0.0019979025
CMR,cows,feedlot,meat,0.0018216344999999999
COD,cows,feedlot,meat,0.001563783
COG,cows,feedlot,meat,0.0017275455
COK,cows,feedlot,meat,9.247370625e-4
COL,cows,feedlot,meat,0.0030046786200000003
COM,cows,feedlot,meat,0.0015453225
CPV,cows,feedlot,meat,0.0018286688437499999
CRI,cows,feedlot,meat,0.00302572359
CUB,cows,feedlot,meat,0.00187571781
CUW,cows,feedlot,meat,0.0023017825252173913
CXR,cows,feedlot,meat,0.00102475625
CYM,cows,feedlot,meat,0.0023091197325
CYP,cows,feedlot,meat,0.0022444394999999997
CZE,cows,feedlot,meat,0.002205732
DEU,cows,feedlot,meat,0.0025993098600000006
DJI,cows,feedlot,meat,0.0016626359999999999
DMA,cows,feedlot,meat,0.00271140678
DNK,cows,feedlot,meat,0.0023394177800000002
DOM,cows,feedlot,meat,0.00222873021
DZA,cows,feedlot,meat,0.00136965
ECU,cows,feedlot,meat,0.00292864518
EGY,cows,feedlot,meat,0.0014559974999999998
ERI,cows,feedlot,meat,0.0016810965000000001
ESH,cows,feedlot,meat,0.001014732
ESP,cows,feedlot,meat,0.00185231466
EST,cows,feedlot,meat,0.0024946527200000006
ETH,cows,feedlot,meat,0.0018549824999999998
FIN,cows,feedlot,meat,0.00261954098
FJI,cows,feedlot,meat,8.24717875e-4
FLK,cows,feedlot,meat,0.002925303050769231
FRA,cows,feedlot,meat,0.0022958430600000003
FRO,cows,feedlot,meat,0.0024468415688888895
FSM,cows,feedlot,meat,9.247370625e-4
GAB,cows,feedlot,meat,0.0019234649999999996
GBR,cows,feedlot,meat,0.0023966096000000003
GEO,cows,feedlot,meat,0.002508246
GGY,cows,feedlot,meat,0.0024468415688888895
GHA,cows,feedlot,meat,0.0019395435000000001
GIB,cows,feedlot,meat,0.0018191797166666667
GIN,cows,feedlot,meat,0.0019288245000000002
GLP,cows,feedlot,meat,0.0022694624100000004
GMB,cows,feedlot,meat,0.001847241
GNB,cows,feedlot,meat,0.001744815
GNQ,cows,feedlot,meat,0.0014488514999999999
GRC,cows,feedlot,meat,0.0019371297400000002
GRD,cows,feedlot,meat,0.0023091197325
GRL,cows,feedlot,meat,0.0021773772675
GTM,cows,feedlot,meat,0.00239844771
GUF,cows,feedlot,meat,0.0024127039800000004
GUM,cows,feedlot,meat,9.247370625e-4
GUY,cows,feedlot,meat,0.00286686801
HKG,cows,feedlot,meat,0.001525671
HND,cows,feedlot,meat,0.0027514601100000003
HRV,cows,feedlot,meat,0.0017484356400000003
HTI,cows,feedlot,meat,0.0022416287400000004
HUN,cows,feedlot,meat,0.002376442
IDN,cows,feedlot,meat,0.001824612
IMN,cows,feedlot,meat,0.0024468415688888895
IND,cows,feedlot,meat,0.004105377
IOT,cows,feedlot,meat,0.0018220066874999998
IRL,cows,feedlot,meat,0.0022935087000000003
IRN,cows,feedlot,meat,0.002025891
IRQ,cows,feedlot,meat,0.001838904
ISL,cows,feedlot,meat,0.0024468415688888895
ISR,cows,feedlot,meat,0.0043977675
ITA,cows,feedlot,meat,0.00203400568
JAM,cows,feedlot,meat,0.00218256705
JEY,cows,feedlot,meat,0.0024468415688888895
JOR,cows,feedlot,meat,0.002233125
JPN,cows,feedlot,meat,0.0033085980000000003
KAZ,cows,feedlot,meat,0.0032716769999999997
KEN,cows,feedlot,meat,0.0021128339999999996
KGZ,cows,feedlot,meat,0.0031877115
KHM,cows,feedlot,meat,0.0017751855
