iso3c,animal,system,product,leach_mms_rate
ABW,goats,mixed,milk,8.736481249999999e-5
AFG,goats,mixed,milk,1.1761125000000001e-4
AGO,goats,mixed,milk,8.485875e-5
AIA,goats,mixed,milk,8.736481249999999e-5
ALA,goats,mixed,milk,8.115262775641027e-5
ALB,goats,mixed,milk,5.658044e-5
AND,goats,mixed,milk,5.902596e-5
ARE,goats,mixed,milk,1.0867875e-4
ARG,goats,mixed,milk,1.2594825e-4
ARM,goats,mixed,milk,1.2416175e-4
ASM,goats,mixed,milk,9.049317342163009e-5
ATG,goats,mixed,milk,8.736481249999999e-5
AUS,goats,mixed,milk,9.049317342163009e-5
AUT,goats,mixed,milk,1.6482249e-4
AZE,goats,mixed,milk,9.111150000000001e-5
BDI,goats,mixed,milk,6.282525e-5
BEL,goats,mixed,milk,1.0354554e-4
BEN,goats,mixed,milk,1.2922350000000001e-4
BES,goats,mixed,milk,8.687827173913043e-5
BFA,goats,mixed,milk,7.622400000000001e-5
BGD,goats,mixed,milk,8.8134e-5
BGR,goats,mixed,milk,9.58755e-5
BHR,goats,mixed,milk,8.337e-5
BHS,goats,mixed,milk,1.1284725e-4
BIH,goats,mixed,milk,5.246752e-5
BLM,goats,mixed,milk,8.687827173913043e-5
BLR,goats,mixed,milk,2.1754012000000004e-4
BLZ,goats,mixed,milk,9.676874999999999e-5
BMU,goats,mixed,milk,1.0731307000000001e-4
BOL,goats,mixed,milk,1.0986975e-4
BRA,goats,mixed,milk,9.081375e-5
BRB,goats,mixed,milk,8.736481249999999e-5
BRN,goats,mixed,milk,5.41905e-5
BTN,goats,mixed,milk,8.99205e-5
BWA,goats,mixed,milk,1.0689225e-4
CAF,goats,mixed,milk,8.03925e-5
CAN,goats,mixed,milk,9.135764e-5
CCK,goats,mixed,milk,9.049317342163009e-5
CHE,goats,mixed,milk,2.0866320000000003e-4
CHL,goats,mixed,milk,1.1135850000000001e-4
CHN,goats,mixed,milk,7.473524999999999e-5
CIV,goats,mixed,milk,7.5033e-5
CMR,goats,mixed,milk,7.652174999999999e-5
COD,goats,mixed,milk,8.069025e-5
COG,goats,mixed,milk,8.069025e-5
COK,goats,mixed,milk,9.049317342163009e-5
COL,goats,mixed,milk,1.0034175e-4
COM,goats,mixed,milk,3.602775e-5
CPV,goats,mixed,milk,7.3897828125e-5
CRI,goats,mixed,milk,8.6943e-5
CUB,goats,mixed,milk,8.575199999999999e-5
CUW,goats,mixed,milk,8.687827173913043e-5
CXR,goats,mixed,milk,9.049317342163009e-5
CYM,goats,mixed,milk,8.736481249999999e-5
CYP,goats,mixed,milk,1.089765e-4
CZE,goats,mixed,milk,1.4589749999999998e-4
DEU,goats,mixed,milk,1.6251592e-4
DJI,goats,mixed,milk,7.8606e-5
DMA,goats,mixed,milk,1.0867875e-4
DNK,goats,mixed,milk,6.311704500000001e-5
