iso3c,animal,system,product,leach_mms_rate
ABW,buffaloes,grassland,milk,0
AFG,buffaloes,grassland,milk,0
AGO,buffaloes,grassland,milk,0
AIA,buffaloes,grassland,milk,0
ALA,buffaloes,grassland,milk,0
ALB,buffaloes,grassland,milk,0
AND,buffaloes,grassland,milk,0
ARE,buffaloes,grassland,milk,0
ARG,buffaloes,grassland,milk,0
ARM,buffaloes,grassland,milk,0
ASM,buffaloes,grassland,milk,0
ATG,buffaloes,grassland,milk,0
AUS,buffaloes,grassland,milk,0
AUT,buffaloes,grassland,milk,0
AZE,buffaloes,grassland,milk,0
BDI,buffaloes,grassland,milk,0
BEL,buffaloes,grassland,milk,0
BEN,buffaloes,grassland,milk,0
BES,buffaloes,grassland,milk,0
BFA,buffaloes,grassland,milk,0
BGD,buffaloes,grassland,milk,0
BGR,buffaloes,grassland,milk,0
BHR,buffaloes,grassland,milk,0
BHS,buffaloes,grassland,milk,0
BIH,buffaloes,grassland,milk,0
BLM,buffaloes,grassland,milk,0
BLR,buffaloes,grassland,milk,0
BLZ,buffaloes,grassland,milk,0
BMU,buffaloes,grassland,milk,0
BOL,buffaloes,grassland,milk,0
BRA,buffaloes,grassland,milk,0
BRB,buffaloes,grassland,milk,0
BRN,buffaloes,grassland,milk,0
BTN,buffaloes,grassland,milk,0
BWA,buffaloes,grassland,milk,0
CAF,buffaloes,grassland,milk,0
CAN,buffaloes,grassland,milk,0
CCK,buffaloes,grassland,milk,0
CHE,buffaloes,grassland,milk,0
CHL,buffaloes,grassland,milk,0
CHN,buffaloes,grassland,milk,0
CIV,buffaloes,grassland,milk,0
CMR,buffaloes,grassland,milk,0
COD,buffaloes,grassland,milk,0
COG,buffaloes,grassland,milk,0
COK,buffaloes,grassland,milk,0
COL,buffaloes,grassland,milk,0
COM,buffaloes,grassland,milk,0
CPV,buffaloes,grassland,milk,0
CRI,buffaloes,grassland,milk,0
CUB,buffaloes,grassland,milk,0
CUW,buffaloes,grassland,milk,0
CXR,buffaloes,grassland,milk,0
CYM,buffaloes,grassland,milk,0
CYP,buffaloes,grassland,milk,0
CZE,buffaloes,grassland,milk,0
