iso3c,animal,system,product,leach_mms_rate
ABW,sheep,grassland,meat,0
AFG,sheep,grassland,meat,0
AGO,sheep,grassland,meat,0
AIA,sheep,grassland,meat,0
ALA,sheep,grassland,meat,0
ALB,sheep,grassland,meat,0
AND,sheep,grassland,meat,0
ARE,sheep,grassland,meat,0
ARG,sheep,grassland,meat,0
ARM,sheep,grassland,meat,0
ASM,sheep,grassland,meat,0
ATG,sheep,grassland,meat,0
AUS,sheep,grassland,meat,0
AUT,sheep,grassland,meat,0
AZE,sheep,grassland,meat,0
BDI,sheep,grassland,meat,0
BEL,sheep,grassland,meat,0
BEN,sheep,grassland,meat,0
BES,sheep,grassland,meat,0
BFA,sheep,grassland,meat,0
BGD,sheep,grassland,meat,0
BGR,sheep,grassland,meat,0
BHR,sheep,grassland,meat,0
BHS,sheep,grassland,meat,0
BIH,sheep,grassland,meat,0
BLM,sheep,grassland,meat,0
BLR,sheep,grassland,meat,0
BLZ,sheep,grassland,meat,0
BMU,sheep,grassland,meat,0
BOL,sheep,grassland,meat,0
BRA,sheep,grassland,meat,0
BRB,sheep,grassland,meat,0
BRN,sheep,grassland,meat,0
BTN,sheep,grassland,meat,0
BWA,sheep,grassland,meat,0
CAF,sheep,grassland,meat,0
CAN,sheep,grassland,meat,0
CCK,sheep,grassland,meat,0
CHE,sheep,grassland,meat,0
CHL,sheep,grassland,meat,0
CHN,sheep,grassland,meat,0
CIV,sheep,grassland,meat,0
CMR,sheep,grassland,meat,0
COD,sheep,grassland,meat,0
COG,sheep,grassland,meat,0
COK,sheep,grassland,meat,0
COL,sheep,grassland,meat,0
COM,sheep,grassland,meat,0
CPV,sheep,grassland,meat,0
CRI,sheep,grassland,meat,0
CUB,sheep,grassland,meat,0
CUW,sheep,grassland,meat,0
CXR,sheep,grassland,meat,0
CYM,sheep,grassland,meat,0
CYP,sheep,grassland,meat,0
CZE,sheep,grassland,meat,0
DEU,sheep,grassland,meat,0
DJI,sheep,grassland,meat,0
DMA,sheep,grassland,meat,0
DNK,sheep,grassland,meat,0
DOM,sheep,grassland,meat,0
DZA,sheep,grassland,meat,0
