iso3c,animal,system,product,leach_mms_rate
ABW,buffaloes,grassland,meat,0
AFG,buffaloes,grassland,meat,0
AGO,buffaloes,grassland,meat,0
AIA,buffaloes,grassland,meat,0
ALA,buffaloes,grassland,meat,0
ALB,buffaloes,grassland,meat,0
AND,buffaloes,grassland,meat,0
ARE,buffaloes,grassland,meat,0
ARG,buffaloes,grassland,meat,0
ARM,buffaloes,grassland,meat,0
ASM,buffaloes,grassland,meat,0
ATG,buffaloes,grassland,meat,0
AUS,buffaloes,grassland,meat,0
AUT,buffaloes,grassland,meat,0
AZE,buffaloes,grassland,meat,0
BDI,buffaloes,grassland,meat,0
BEL,buffaloes,grassland,meat,0
BEN,buffaloes,grassland,meat,0
BES,buffaloes,grassland,meat,0
BFA,buffaloes,grassland,meat,0
BGD,buffaloes,grassland,meat,0
BGR,buffaloes,grassland,meat,0
BHR,buffaloes,grassland,meat,0
BHS,buffaloes,grassland,meat,0
BIH,buffaloes,grassland,meat,0
BLM,buffaloes,grassland,meat,0
BLR,buffaloes,grassland,meat,0
BLZ,buffaloes,grassland,meat,0
BMU,buffaloes,grassland,meat,0
BOL,buffaloes,grassland,meat,0
BRA,buffaloes,grassland,meat,0
BRB,buffaloes,grassland,meat,0
BRN,buffaloes,grassland,meat,0
BTN,buffaloes,grassland,meat,0
BWA,buffaloes,grassland,meat,0
CAF,buffaloes,grassland,meat,0
CAN,buffaloes,grassland,meat,0
CCK,buffaloes,grassland,meat,0
CHE,buffaloes,grassland,meat,0
CHL,buffaloes,grassland,meat,0
CHN,buffaloes,grassland,meat,0
CIV,buffaloes,grassland,meat,0
CMR,buffaloes,grassland,meat,0
COD,buffaloes,grassland,meat,0
COG,buffaloes,grassland,meat,0
COK,buffaloes,grassland,meat,0
COL,buffaloes,grassland,meat,0
COM,buffaloes,grassland,meat,0
CPV,buffaloes,grassland,meat,0
CRI,buffaloes,grassland,meat,0
CUB,buffaloes,grassland,meat,0
CUW,buffaloes,grassland,meat,0
CXR,buffaloes,grassland,meat,0
CYM,buffaloes,grassland,meat,0
CYP,buffaloes,grassland,meat,0
CZE,buffaloes,grassland,meat,0
DEU,buffaloes,grassland,meat,0
DJI,buffaloes,grassland,meat,0
DMA,buffaloes,grassland,meat,0
DNK,buffaloes,grassland,meat,0
DOM,buffaloes,grassland,meat,0
DZA,buffaloes,grassland,meat,0
ECU,buffaloes,grassland,meat,0
EGY,buffaloes,grassland,meat,0
ERI,buffaloes,grassland,meat,0
ESH,buffaloes,grassland,meat,0
ESP,buffaloes,grassland,meat,0
EST,buffaloes,grassland,meat,0
ETH,buffaloes,grassland,meat,0
FIN,buffaloes,grassland,meat,0
FJI,buffaloes,grassland,meat,0
FLK,buffaloes,grassland,meat,0
FRA,buffaloes,grassland,meat,0
FRO,buffaloes,grassland,meat,0
FSM,buffaloes,grassland,meat,0
GAB,buffaloes,grassland,meat,0
GBR,buffaloes,grassland,meat,0
GEO,buffaloes,grassland,meat,0
GGY,buffaloes,grassland,meat,0
GHA,buffaloes,grassland,meat,0
GIB,buffaloes,grassland,meat,0
GIN,buffaloes,grassland,meat,0
GLP,buffaloes,grassland,meat,0
GMB,buffaloes,grassland,meat,0
GNB,buffaloes,grassland,meat,0
GNQ,buffaloes,grassland,meat,0
GRC,buffaloes,grassland,meat,0
GRD,buffaloes,grassland,meat,0
GRL,buffaloes,grassland,meat,0
GTM,buffaloes,grassland,meat,0
GUF,buffaloes,grassland,meat,0
GUM,buffaloes,grassland,meat,0
GUY,buffaloes,grassland,meat,0
HKG,buffaloes,grassland,meat,0
HND,buffaloes,grassland,meat,0
HRV,buffaloes,grassland,meat,0
HTI,buffaloes,grassland,meat,0
HUN,buffaloes,grassland,meat,0
IDN,buffaloes,grassland,meat,0
IMN,buffaloes,grassland,meat,0
IND,buffaloes,grassland,meat,0
IOT,buffaloes,grassland,meat,0
IRL,buffaloes,grassland,meat,0
IRN,buffaloes,grassland,meat,0
IRQ,buffaloes,grassland,meat,0
ISL,buffaloes,grassland,meat,0
ISR,buffaloes,grassland,meat,0
ITA,buffaloes,grassland,meat,0
JAM,buffaloes,grassland,meat,0
JEY,buffaloes,grassland,meat,0
JOR,buffaloes,grassland,meat,0
JPN,buffaloes,grassland,meat,0
KAZ,buffaloes,grassland,meat,0
