iso3c,animal,system,product,leach_mms_rate
ABW,cows,mixed,milk,0.0013571142287499998
AFG,cows,mixed,milk,0.0012641274000000002
AGO,cows,mixed,milk,0.001439472375
AIA,cows,mixed,milk,0.0013571142287499998
ALA,cows,mixed,milk,0.0010242116784367236
ALB,cows,mixed,milk,0.001289835135
AND,cows,mixed,milk,0.0012530064375
ARE,cows,mixed,milk,0.0013733718750000002
ARG,cows,mixed,milk,0.00186645183
ARM,cows,mixed,milk,0.0019901610000000003
ASM,cows,mixed,milk,3.4478407875e-4
ATG,cows,mixed,milk,0.0013571142287499998
AUS,cows,mixed,milk,2.800874700000001e-4
AUT,cows,mixed,milk,0.0019742879475000003
AZE,cows,mixed,milk,0.0020919915000000007
BDI,cows,mixed,milk,0.0011804298750000002
BEL,cows,mixed,milk,9.8619564e-4
BEN,cows,mixed,milk,0.001429646625
BES,cows,mixed,milk,0.0013528020104347825
BFA,cows,mixed,milk,0.0015681003750000005
BGD,cows,mixed,milk,0.0011422881
BGR,cows,mixed,milk,0.00165452132
BHR,cows,mixed,milk,0.0015314771250000002
BHS,cows,mixed,milk,0.00154167804
BIH,cows,mixed,milk,0.0010802657825
BLM,cows,mixed,milk,0.0013528020104347825
BLR,cows,mixed,milk,0.0014195925999999999
BLZ,cows,mixed,milk,0.0013944525749999999
BMU,cows,mixed,milk,0.0011753236411499999
BOL,cows,mixed,milk,0.0018512903999999997
BRA,cows,mixed,milk,0.0017355847499999997
BRB,cows,mixed,milk,0.0013571142287499998
BRN,cows,mixed,milk,0.0012308985000000002
BTN,cows,mixed,milk,0.0011983842
BWA,cows,mixed,milk,0.0011907022500000002
CAF,cows,mixed,milk,0.0015542550000000003
CAN,cows,mixed,milk,0.00127693065
CCK,cows,mixed,milk,3.4478407875e-4
CHE,cows,mixed,milk,0.00137930504
CHL,cows,mixed,milk,0.00183373506
CHN,cows,mixed,milk,0.0017842668750000003
CIV,cows,mixed,milk,0.0014984268750000002
CMR,cows,mixed,milk,0.0013662258750000002
COD,cows,mixed,milk,0.0011728372500000002
COG,cows,mixed,milk,0.0012956591250000004
COK,cows,mixed,milk,3.4478407875e-4
COL,cows,mixed,milk,0.0017659076099999999
COM,cows,mixed,milk,0.0011589918750000002
CPV,cows,mixed,milk,0.0013715016328125001
CRI,cows,mixed,milk,0.0017782761449999997
CUB,cows,mixed,milk,0.0011023955549999999
CUW,cows,mixed,milk,0.0013528020104347825
CXR,cows,mixed,milk,3.4478407875e-4
CYM,cows,mixed,milk,0.0013571142287499998
CYP,cows,mixed,milk,0.001683329625
CZE,cows,mixed,milk,0.0014998977600000003
DEU,cows,mixed,milk,0.0013328093925000005
DJI,cows,mixed,milk,0.0012469770000000002
DMA,cows,mixed,milk,0.0015935460899999998
DNK,cows,mixed,milk,0.00124132372
DOM,cows,mixed,milk,0.0013098677549999997
DZA,cows,mixed,milk,0.0010272375000000002
ECU,cows,mixed,milk,0.0017212212899999997
EGY,cows,mixed,milk,0.0010919981250000002
ERI,cows,mixed,milk,0.0012608223750000002
ESH,cows,mixed,milk,7.610490000000001e-4
ESP,cows,mixed,milk,0.0012758289750000001
EST,cows,mixed,milk,0.0019346286400000003
ETH,cows,mixed,milk,0.001391236875
FIN,cows,mixed,milk,0.00128304048
FJI,cows,mixed,milk,3.4478407875e-4
FLK,cows,mixed,milk,0.001719257056153846
FRA,cows,mixed,milk,0.0011174664690000002
FRO,cows,mixed,milk,6.266910548888891e-4
FSM,cows,mixed,milk,3.4478407875e-4
GAB,cows,mixed,milk,0.00144259875
GBR,cows,mixed,milk,6.138255200000001e-4
GEO,cows,mixed,milk,0.0018811845000000003
GGY,cows,mixed,milk,6.266910548888891e-4
GHA,cows,mixed,milk,0.0014546576250000004
