"pressure","Freq","area","domination_threshold","proportion_dominated"
"disturbance",8683875,"ocean","50%",0.865875636674363
"ghg",8909,"ocean","50%",0.000888323017907547
"nutrient",2702,"ocean","50%",0.000269418430170186
"water",14111,"ocean","50%",0.00140701830796873
"disturbance",6593134,"ocean","80%",0.65740629614422
"ghg",509,"ocean","80%",5.07527686738064e-05
"nutrient",229,"ocean","80%",2.28337603660151e-05
"water",95,"ocean","80%",9.47252067585778e-06
"disturbance",148547,"land","50%",0.035905008728347
"ghg",843072,"land","50%",0.203777306297838
"nutrient",1125497,"land","50%",0.272041708070364
"water",235198,"land","50%",0.0568492547334497
"disturbance",36858,"land","80%",0.00890887605747281
"ghg",19407,"land","80%",0.0046908285215523
"nutrient",71076,"land","80%",0.0171796428091849
"water",9577,"land","80%",0.00231483818987512
