"area","food_group","domination_threshold","prop_dom"
"land","buffaloes_milk","50%",0.000746636229354103
"land","buffaloes_milk","80%",4.15737881025916e-05
"land","chickens_eggs.meat","50%",0.0361629112394253
"land","chickens_eggs.meat","80%",0.0157559822747415
"land","cows_meat.milk","50%",0.399316234725393
"land","cows_meat.milk","80%",0.224990089969115
"land","farm_crop","50%",0.127869370216194
"land","farm_crop","80%",0.0207148650463274
"land","pigs_meat","50%",0.0131445682825299
"land","pigs_meat","80%",0.00506040016113871
"land","shoats_meat.milk","50%",0.127038377870283
"land","shoats_meat.milk","80%",0.062412891097086
"land","wildcaught_freshwater","50%",0.0271868403383913
"land","wildcaught_freshwater","80%",0
"ocean","aquaculture_marine","50%",0.00654012740684407
"ocean","aquaculture_marine","80%",0.00222963194560901
"ocean","benthic_fisheries","50%",0.000906968927027392
"ocean","benthic_fisheries","80%",6.78033058903504e-06
"ocean","demersal_fisheries","50%",0.0768209461522791
"ocean","demersal_fisheries","80%",0.0421176188256945
"ocean","fofm_fisheries","50%",0.0973898766800685
"ocean","fofm_fisheries","80%",0.0408329456005603
"ocean","large.pelagic_fisheries","50%",0.585654145660965
"ocean","large.pelagic_fisheries","80%",0.51188255348036
"ocean","medium.pelagic_fisheries","50%",0.0221492461087544
"ocean","medium.pelagic_fisheries","80%",0.0129389646895019
"ocean","reef_fisheries","50%",0.000754012645798279
"ocean","reef_fisheries","80%",8.66486364981097e-05
"ocean","small.pelagic_fisheries","50%",0.00157872020906164
"ocean","small.pelagic_fisheries","80%",0.000771860868966474
