"zone","food_group","n_cells_dom_80%","proportion_dominated","iso3c","Country"
1,"cows_meat.milk",461,0.00011142742043776,"AFG","Afghanistan"
1,"farm_crop",577,0.000139465556599973,"AFG","Afghanistan"
1,"shoats_meat.milk",670,0.000161944407143816,"AFG","Afghanistan"
1,"chickens_eggs.meat",13,3.14220491473076e-06,"AFG","Afghanistan"
1,"buffaloes_milk",0,0,"AFG","Afghanistan"
1,"pigs_meat",0,0,"AFG","Afghanistan"
1,"wildcaught_freshwater",0,0,"AFG","Afghanistan"
3,"cows_meat.milk",0,0,"ALA","Åland"
3,"farm_crop",0,0,"ALA","Åland"
3,"shoats_meat.milk",0,0,"ALA","Åland"
3,"chickens_eggs.meat",0,0,"ALA","Åland"
3,"buffaloes_milk",0,0,"ALA","Åland"
3,"pigs_meat",0,0,"ALA","Åland"
3,"wildcaught_freshwater",0,0,"ALA","Åland"
4,"cows_meat.milk",0,0,"ALB","Albania"
4,"farm_crop",2,4.8341614072781e-07,"ALB","Albania"
4,"shoats_meat.milk",0,0,"ALB","Albania"
4,"chickens_eggs.meat",1,2.41708070363905e-07,"ALB","Albania"
4,"buffaloes_milk",0,0,"ALB","Albania"
4,"pigs_meat",0,0,"ALB","Albania"
4,"wildcaught_freshwater",0,0,"ALB","Albania"
5,"cows_meat.milk",23356,0.00564533369141936,"DZA","Algeria"
5,"farm_crop",1344,0.000324855646569088,"DZA","Algeria"
5,"shoats_meat.milk",21266,0.0051401638243588,"DZA","Algeria"
5,"chickens_eggs.meat",334,8.07304955015442e-05,"DZA","Algeria"
5,"buffaloes_milk",0,0,"DZA","Algeria"
5,"pigs_meat",0,0,"DZA","Algeria"
5,"wildcaught_freshwater",0,0,"DZA","Algeria"
6,"cows_meat.milk",0,0,"ASM","American Samoa"
6,"farm_crop",0,0,"ASM","American Samoa"
6,"shoats_meat.milk",0,0,"ASM","American Samoa"
6,"chickens_eggs.meat",0,0,"ASM","American Samoa"
6,"buffaloes_milk",0,0,"ASM","American Samoa"
6,"pigs_meat",2,4.8341614072781e-07,"ASM","American Samoa"
6,"wildcaught_freshwater",0,0,"ASM","American Samoa"
7,"cows_meat.milk",1,2.41708070363905e-07,"AND","Andorra"
7,"farm_crop",0,0,"AND","Andorra"
7,"shoats_meat.milk",0,0,"AND","Andorra"
7,"chickens_eggs.meat",0,0,"AND","Andorra"
7,"buffaloes_milk",0,0,"AND","Andorra"
7,"pigs_meat",0,0,"AND","Andorra"
7,"wildcaught_freshwater",0,0,"AND","Andorra"
8,"cows_meat.milk",6420,0.00155176581173627,"AGO","Angola"
8,"farm_crop",1558,0.000376581173626964,"AGO","Angola"
8,"shoats_meat.milk",676,0.000163394655566,"AGO","Angola"
8,"chickens_eggs.meat",2,4.8341614072781e-07,"AGO","Angola"
8,"buffaloes_milk",0,0,"AGO","Angola"
8,"pigs_meat",0,0,"AGO","Angola"
8,"wildcaught_freshwater",0,0,"AGO","Angola"
9,"cows_meat.milk",0,0,"AIA","Anguilla"
9,"farm_crop",0,0,"AIA","Anguilla"
9,"shoats_meat.milk",0,0,"AIA","Anguilla"
9,"chickens_eggs.meat",2,4.8341614072781e-07,"AIA","Anguilla"
9,"buffaloes_milk",0,0,"AIA","Anguilla"
9,"pigs_meat",0,0,"AIA","Anguilla"
9,"wildcaught_freshwater",0,0,"AIA","Anguilla"
11,"cows_meat.milk",0,0,"ATG","Antigua and Barbuda"
11,"farm_crop",2,4.8341614072781e-07,"ATG","Antigua and Barbuda"
11,"shoats_meat.milk",0,0,"ATG","Antigua and Barbuda"
11,"chickens_eggs.meat",0,0,"ATG","Antigua and Barbuda"
11,"buffaloes_milk",0,0,"ATG","Antigua and Barbuda"
11,"pigs_meat",0,0,"ATG","Antigua and Barbuda"
11,"wildcaught_freshwater",0,0,"ATG","Antigua and Barbuda"
12,"cows_meat.milk",18260,0.0044135893648449,"ARG","Argentina"
12,"farm_crop",1325,0.000320263193232174,"ARG","Argentina"
12,"shoats_meat.milk",9829,0.00237574862360682,"ARG","Argentina"
12,"chickens_eggs.meat",10,2.41708070363905e-06,"ARG","Argentina"
12,"buffaloes_milk",0,0,"ARG","Argentina"
12,"pigs_meat",31,7.49295018128105e-06,"ARG","Argentina"
12,"wildcaught_freshwater",0,0,"ARG","Argentina"
13,"cows_meat.milk",80,1.93366456291124e-05,"ARM","Armenia"
13,"farm_crop",20,4.8341614072781e-06,"ARM","Armenia"
13,"shoats_meat.milk",0,0,"ARM","Armenia"
13,"chickens_eggs.meat",0,0,"ARM","Armenia"
13,"buffaloes_milk",0,0,"ARM","Armenia"
13,"pigs_meat",0,0,"ARM","Armenia"
13,"wildcaught_freshwater",0,0,"ARM","Armenia"
14,"cows_meat.milk",0,0,"ABW","Aruba"
14,"farm_crop",0,0,"ABW","Aruba"
14,"shoats_meat.milk",0,0,"ABW","Aruba"
14,"chickens_eggs.meat",0,0,"ABW","Aruba"
14,"buffaloes_milk",0,0,"ABW","Aruba"
14,"pigs_meat",0,0,"ABW","Aruba"
14,"wildcaught_freshwater",0,0,"ABW","Aruba"
15,"cows_meat.milk",80084,0.019356949107023,"AUS","Australia"
15,"farm_crop",395,9.54746877937425e-05,"AUS","Australia"
15,"shoats_meat.milk",14726,0.00355939304417886,"AUS","Australia"
15,"chickens_eggs.meat",58,1.40190680811065e-05,"AUS","Australia"
15,"buffaloes_milk",0,0,"AUS","Australia"
15,"pigs_meat",0,0,"AUS","Australia"
15,"wildcaught_freshwater",0,0,"AUS","Australia"
16,"cows_meat.milk",1173,0.00028352356653686,"AUT","Austria"
16,"farm_crop",0,0,"AUT","Austria"
16,"shoats_meat.milk",0,0,"AUT","Austria"
16,"chickens_eggs.meat",0,0,"AUT","Austria"
16,"buffaloes_milk",0,0,"AUT","Austria"
16,"pigs_meat",3,7.25124211091715e-07,"AUT","Austria"
16,"wildcaught_freshwater",0,0,"AUT","Austria"
17,"cows_meat.milk",66,1.59527326440177e-05,"AZE","Azerbaijan"
17,"farm_crop",27,6.52611789982543e-06,"AZE","Azerbaijan"
17,"shoats_meat.milk",0,0,"AZE","Azerbaijan"
17,"chickens_eggs.meat",3,7.25124211091715e-07,"AZE","Azerbaijan"
17,"buffaloes_milk",0,0,"AZE","Azerbaijan"
17,"pigs_meat",0,0,"AZE","Azerbaijan"
17,"wildcaught_freshwater",0,0,"AZE","Azerbaijan"
18,"cows_meat.milk",2,4.8341614072781e-07,"BHS","Bahamas"
18,"farm_crop",17,4.10903719618638e-06,"BHS","Bahamas"
18,"shoats_meat.milk",0,0,"BHS","Bahamas"
18,"chickens_eggs.meat",12,2.90049684436686e-06,"BHS","Bahamas"
18,"buffaloes_milk",0,0,"BHS","Bahamas"
