"rgn_id","food_group","n_cells_dom","proportion_area_dominated","iso3c","Country","area","domination_threshold"
1,"demersal_fisheries",0,0,"AFG","Afghanistan","ocean","50%"
1,"fofm_fisheries",0,0,"AFG","Afghanistan","ocean","50%"
1,"large.pelagic_fisheries",0,0,"AFG","Afghanistan","ocean","50%"
1,"medium.pelagic_fisheries",0,0,"AFG","Afghanistan","ocean","50%"
1,"small.pelagic_fisheries",0,0,"AFG","Afghanistan","ocean","50%"
1,"benthic_fisheries",0,0,"AFG","Afghanistan","ocean","50%"
1,"reef_fisheries",0,0,"AFG","Afghanistan","ocean","50%"
1,"aquaculture_marine",0,0,"AFG","Afghanistan","ocean","50%"
3,"demersal_fisheries",48,4.78611570990709e-06,"ALA","Åland","ocean","50%"
3,"fofm_fisheries",29,2.89161157473553e-06,"ALA","Åland","ocean","50%"
3,"large.pelagic_fisheries",0,0,"ALA","Åland","ocean","50%"
3,"medium.pelagic_fisheries",0,0,"ALA","Åland","ocean","50%"
3,"small.pelagic_fisheries",0,0,"ALA","Åland","ocean","50%"
3,"benthic_fisheries",0,0,"ALA","Åland","ocean","50%"
3,"reef_fisheries",0,0,"ALA","Åland","ocean","50%"
3,"aquaculture_marine",9,8.97396695607579e-07,"ALA","Åland","ocean","50%"
4,"demersal_fisheries",233,2.32326033418406e-05,"ALB","Albania","ocean","50%"
4,"fofm_fisheries",0,0,"ALB","Albania","ocean","50%"
4,"large.pelagic_fisheries",0,0,"ALB","Albania","ocean","50%"
4,"medium.pelagic_fisheries",0,0,"ALB","Albania","ocean","50%"
4,"small.pelagic_fisheries",0,0,"ALB","Albania","ocean","50%"
4,"benthic_fisheries",0,0,"ALB","Albania","ocean","50%"
4,"reef_fisheries",0,0,"ALB","Albania","ocean","50%"
4,"aquaculture_marine",8,7.97685951651181e-07,"ALB","Albania","ocean","50%"
5,"demersal_fisheries",8,7.97685951651181e-07,"DZA","Algeria","ocean","50%"
5,"fofm_fisheries",3067,0.000305812851714272,"DZA","Algeria","ocean","50%"
5,"large.pelagic_fisheries",257,2.56256611967942e-05,"DZA","Algeria","ocean","50%"
5,"medium.pelagic_fisheries",0,0,"DZA","Algeria","ocean","50%"
5,"small.pelagic_fisheries",0,0,"DZA","Algeria","ocean","50%"
5,"benthic_fisheries",0,0,"DZA","Algeria","ocean","50%"
5,"reef_fisheries",0,0,"DZA","Algeria","ocean","50%"
5,"aquaculture_marine",0,0,"DZA","Algeria","ocean","50%"
6,"demersal_fisheries",43,4.2875619901251e-06,"ASM","American Samoa","ocean","50%"
6,"fofm_fisheries",0,0,"ASM","American Samoa","ocean","50%"
6,"large.pelagic_fisheries",11087,0.00110549301824458,"ASM","American Samoa","ocean","50%"
6,"medium.pelagic_fisheries",0,0,"ASM","American Samoa","ocean","50%"
6,"small.pelagic_fisheries",0,0,"ASM","American Samoa","ocean","50%"
6,"benthic_fisheries",0,0,"ASM","American Samoa","ocean","50%"
6,"reef_fisheries",0,0,"ASM","American Samoa","ocean","50%"
6,"aquaculture_marine",0,0,"ASM","American Samoa","ocean","50%"
7,"demersal_fisheries",0,0,"AND","Andorra","ocean","50%"
7,"fofm_fisheries",0,0,"AND","Andorra","ocean","50%"
7,"large.pelagic_fisheries",0,0,"AND","Andorra","ocean","50%"
7,"medium.pelagic_fisheries",0,0,"AND","Andorra","ocean","50%"
7,"small.pelagic_fisheries",0,0,"AND","Andorra","ocean","50%"
7,"benthic_fisheries",0,0,"AND","Andorra","ocean","50%"
7,"reef_fisheries",0,0,"AND","Andorra","ocean","50%"
7,"aquaculture_marine",0,0,"AND","Andorra","ocean","50%"
8,"demersal_fisheries",1613,0.000160833430001669,"AGO","Angola","ocean","50%"
8,"fofm_fisheries",2527,0.000251969049977817,"AGO","Angola","ocean","50%"
8,"large.pelagic_fisheries",7944,0.000792102149989623,"AGO","Angola","ocean","50%"
8,"medium.pelagic_fisheries",0,0,"AGO","Angola","ocean","50%"
8,"small.pelagic_fisheries",0,0,"AGO","Angola","ocean","50%"
8,"benthic_fisheries",0,0,"AGO","Angola","ocean","50%"
8,"reef_fisheries",20,1.99421487912795e-06,"AGO","Angola","ocean","50%"
8,"aquaculture_marine",0,0,"AGO","Angola","ocean","50%"
9,"demersal_fisheries",357,3.5596735592434e-05,"AIA","Anguilla","ocean","50%"
9,"fofm_fisheries",0,0,"AIA","Anguilla","ocean","50%"
9,"large.pelagic_fisheries",717,7.14926034167371e-05,"AIA","Anguilla","ocean","50%"
9,"medium.pelagic_fisheries",0,0,"AIA","Anguilla","ocean","50%"
9,"small.pelagic_fisheries",0,0,"AIA","Anguilla","ocean","50%"
9,"benthic_fisheries",0,0,"AIA","Anguilla","ocean","50%"
9,"reef_fisheries",0,0,"AIA","Anguilla","ocean","50%"
9,"aquaculture_marine",0,0,"AIA","Anguilla","ocean","50%"
10,"demersal_fisheries",68549,0.0068350717874671,NA,NA,"ocean","50%"
10,"fofm_fisheries",19680,0.00196230744106191,NA,NA,"ocean","50%"
10,"large.pelagic_fisheries",35,3.48987603847392e-06,NA,NA,"ocean","50%"
10,"medium.pelagic_fisheries",729,7.26891323442139e-05,NA,NA,"ocean","50%"
10,"small.pelagic_fisheries",0,0,NA,NA,"ocean","50%"
10,"benthic_fisheries",2986,0.000297736281453803,NA,NA,"ocean","50%"
10,"reef_fisheries",1531,0.000152657148997245,NA,NA,"ocean","50%"
10,"aquaculture_marine",2234,0.000222753801998592,NA,NA,"ocean","50%"
11,"demersal_fisheries",473,4.71631818913761e-05,"ATG","Antigua and Barbuda","ocean","50%"
11,"fofm_fisheries",0,0,"ATG","Antigua and Barbuda","ocean","50%"
11,"large.pelagic_fisheries",704,7.01963637453039e-05,"ATG","Antigua and Barbuda","ocean","50%"
11,"medium.pelagic_fisheries",0,0,"ATG","Antigua and Barbuda","ocean","50%"
11,"small.pelagic_fisheries",0,0,"ATG","Antigua and Barbuda","ocean","50%"
11,"benthic_fisheries",0,0,"ATG","Antigua and Barbuda","ocean","50%"
11,"reef_fisheries",6,5.98264463738386e-07,"ATG","Antigua and Barbuda","ocean","50%"
11,"aquaculture_marine",0,0,"ATG","Antigua and Barbuda","ocean","50%"
12,"demersal_fisheries",22145,0.00220809442491443,"ARG","Argentina","ocean","50%"
12,"fofm_fisheries",41,4.0881405022123e-06,"ARG","Argentina","ocean","50%"
12,"large.pelagic_fisheries",128,1.27629752264189e-05,"ARG","Argentina","ocean","50%"
12,"medium.pelagic_fisheries",16,1.59537190330236e-06,"ARG","Argentina","ocean","50%"
12,"small.pelagic_fisheries",2104,0.000209791405284261,"ARG","Argentina","ocean","50%"
12,"benthic_fisheries",0,0,"ARG","Argentina","ocean","50%"
12,"reef_fisheries",0,0,"ARG","Argentina","ocean","50%"
12,"aquaculture_marine",556,5.54391736397571e-05,"ARG","Argentina","ocean","50%"
13,"demersal_fisheries",0,0,"ARM","Armenia","ocean","50%"
13,"fofm_fisheries",0,0,"ARM","Armenia","ocean","50%"
13,"large.pelagic_fisheries",0,0,"ARM","Armenia","ocean","50%"
13,"medium.pelagic_fisheries",0,0,"ARM","Armenia","ocean","50%"
