"zone","food_group","n_cells_dom_80%","proportion_dominated","iso3c","Country"
19,"benthic_fisheries",0,0,"BHR","Bahrain"
19,"reef_fisheries",0,0,"BHR","Bahrain"
19,"aquaculture_marine",0,0,"BHR","Bahrain"
20,"demersal_fisheries",306,3.05114876506577e-05,"BGD","Bangladesh"
20,"fofm_fisheries",0,0,"BGD","Bangladesh"
20,"large.pelagic_fisheries",0,0,"BGD","Bangladesh"
20,"medium.pelagic_fisheries",417,4.15793802298178e-05,"BGD","Bangladesh"
20,"small.pelagic_fisheries",0,0,"BGD","Bangladesh"
20,"benthic_fisheries",0,0,"BGD","Bangladesh"
20,"reef_fisheries",0,0,"BGD","Bangladesh"
20,"aquaculture_marine",6,5.98264463738386e-07,"BGD","Bangladesh"
21,"demersal_fisheries",6,5.98264463738386e-07,"BRB","Barbados"
21,"fofm_fisheries",83,8.275991748381e-06,"BRB","Barbados"
21,"large.pelagic_fisheries",4714,0.000470036447010458,"BRB","Barbados"
21,"medium.pelagic_fisheries",0,0,"BRB","Barbados"
21,"small.pelagic_fisheries",0,0,"BRB","Barbados"
21,"benthic_fisheries",0,0,"BRB","Barbados"
21,"reef_fisheries",0,0,"BRB","Barbados"
21,"aquaculture_marine",0,0,"BRB","Barbados"
22,"demersal_fisheries",0,0,"BLR","Belarus"
22,"fofm_fisheries",0,0,"BLR","Belarus"
22,"large.pelagic_fisheries",0,0,"BLR","Belarus"
22,"medium.pelagic_fisheries",0,0,"BLR","Belarus"
22,"small.pelagic_fisheries",0,0,"BLR","Belarus"
22,"benthic_fisheries",0,0,"BLR","Belarus"
22,"reef_fisheries",0,0,"BLR","Belarus"
22,"aquaculture_marine",0,0,"BLR","Belarus"
23,"demersal_fisheries",33,3.29045455056112e-06,"BEL","Belgium"
23,"fofm_fisheries",0,0,"BEL","Belgium"
23,"large.pelagic_fisheries",0,0,"BEL","Belgium"
23,"medium.pelagic_fisheries",0,0,"BEL","Belgium"
23,"small.pelagic_fisheries",0,0,"BEL","Belgium"
23,"benthic_fisheries",0,0,"BEL","Belgium"
23,"reef_fisheries",0,0,"BEL","Belgium"
23,"aquaculture_marine",0,0,"BEL","Belgium"
24,"demersal_fisheries",18,1.79479339121516e-06,"BLZ","Belize"
24,"fofm_fisheries",0,0,"BLZ","Belize"
24,"large.pelagic_fisheries",226,2.25346281341459e-05,"BLZ","Belize"
24,"medium.pelagic_fisheries",0,0,"BLZ","Belize"
24,"small.pelagic_fisheries",0,0,"BLZ","Belize"
24,"benthic_fisheries",0,0,"BLZ","Belize"
24,"reef_fisheries",0,0,"BLZ","Belize"
24,"aquaculture_marine",6,5.98264463738386e-07,"BLZ","Belize"
25,"demersal_fisheries",339,3.38019422012188e-05,"BEN","Benin"
25,"fofm_fisheries",29,2.89161157473553e-06,"BEN","Benin"
25,"large.pelagic_fisheries",97,9.67194216377057e-06,"BEN","Benin"
25,"medium.pelagic_fisheries",0,0,"BEN","Benin"
