"organism","prop_final","percent_final"
"bana",0.0030384288462917,0.3
"barl",0.014568639137007,1.5
"benthic",0.00452216635376233,0.5
"bivalve",0.000826312087630774,0.1
"buffaloes",0.0109525506622367,1.1
"cass",0.00366036922625756,0.4
"chickens",0.0778754124468723,7.8
"cnut",0.00588449375659347,0.6
"coco",0.00403126684900464,0.4
"cows",0.191557625435386,19.2
"crustaceans",0.000294039397047586,0
"demersal",0.0411643819226753,4.1
"fish",0.00157279716209937,0.2
"fofm",0.0167334237838811,1.7
"goats",0.0207337370105759,2.1
"large-pelagic",0.00554882481980513,0.6
"maiz",0.0422316671677099,4.2
"marine-fish-general",0.0027043835625866,0.3
"medium-pelagic",0.00520408013945734,0.5
"ocer",0.000669958066764145,0.1
"oilp",0.004154969885798,0.4
"orts",0.000645438106760482,0.1
"pigs",0.147865366842001,14.8
"plnt",0.00201586255844751,0.2
"pota",0.00808868825761833,0.8
"reef",0.00455421828094107,0.5
"rice",0.0860202461876165,8.6
"salmon",0.00198710571481688,0.2
"sheep",0.0238986005264675,2.4
"shrimp",0.0112896763403518,1.1
"small-pelagic",0.00129217307565783,0.1
"sorg",0.00310403579241683,0.3
"soyb",0.0028501089789672,0.3
"spis",0.00521713177424871,0.5
"sugb",0,0
"sugc",0.0241146384886209,2.4
"swpo",0.00303233772856994,0.3
"tnut",0.00585174817526944,0.6
"tuna",9.35773513978115e-05,0
"vege",0.0296211784677227,3
"whea",0.0751952015294808,7.5
"xfru",0.0300237462478941,3
"xmil",0.00542928298260841,0.5
"xoil",0.0502555674987526,5
"xpul",0.0181952191390858,1.8
"yams",0.00142932223484254,0.1
