"","props"
"thresh80_prop_cpi_cows_meat.milk",0.224991056801397
"thresh80_prop_cpi_farm_crop",0.020717282127031
"thresh80_prop_cpi_shoats_meat.milk",0.0624271518732375
"thresh80_prop_cpi_chickens_eggs.meat",0.0157610581442191
"thresh80_prop_cpi_buffaloes_milk",4.15737881025916e-05
"thresh80_prop_cpi_pigs_meat",0.00506910165167181
"thresh80_prop_cpi_wildcaught_freshwater",0
"thresh80_prop_cpi_demersal_fisheries",0.0426819816364877
"thresh80_prop_cpi_fofm_fisheries",0.0408350395261833
"thresh80_prop_cpi_large.pelagic_fisheries",0.51188255348036
"thresh80_prop_cpi_medium.pelagic_fisheries",0.0129389646895019
"thresh80_prop_cpi_small.pelagic_fisheries",0.000771860868966474
"thresh80_prop_cpi_benthic_fisheries",6.78033058903504e-06
"thresh80_prop_cpi_reef_fisheries",8.66486364981096e-05
"thresh80_prop_cpi_aquaculture_marine",0.00222963194560901
"thresh50_prop_cpi_cows_meat.milk",0.399350315563314
"thresh50_prop_cpi_farm_crop",0.127880488787431
"thresh50_prop_cpi_shoats_meat.milk",0.127053363770646
"thresh50_prop_cpi_chickens_eggs.meat",0.0361754800590842
"thresh50_prop_cpi_buffaloes_milk",0.000746636229354102
"thresh50_prop_cpi_pigs_meat",0.0131607627232443
"thresh50_prop_cpi_wildcaught_freshwater",0.0274360413589365
"thresh50_prop_cpi_demersal_fisheries",0.0773871037564635
"thresh50_prop_cpi_fofm_fisheries",0.0973919706056916
"thresh50_prop_cpi_large.pelagic_fisheries",0.58565504305766
"thresh50_prop_cpi_medium.pelagic_fisheries",0.0221492461087544
"thresh50_prop_cpi_small.pelagic_fisheries",0.00157872020906164
"thresh50_prop_cpi_benthic_fisheries",0.00091035909232191
"thresh50_prop_cpi_reef_fisheries",0.000756505414397189
"thresh50_prop_cpi_aquaculture_marine",0.00654012740684408
