"iso3c","country","origin","cum_pressure_prop_final","cum_pressure_percent_final"
"ABW","Aruba","marine",0.966787989184508,96.68
"ABW","Aruba","land",0.0332120108154916,3.32
"AFG","Afghanistan","marine",0,0
"AFG","Afghanistan","land",1,100
"AGO","Angola","marine",0.196899674783806,19.69
"AGO","Angola","land",0.803100325216194,80.31
"AIA","Anguilla","marine",0.971278200320306,97.13
"AIA","Anguilla","land",0.0287217996796941,2.87
"ALA","Åland","marine",0.115321750165898,11.53
"ALA","Åland","land",0.884678249834102,88.47
"ALB","Albania","marine",0.0397089678765253,3.97
"ALB","Albania","land",0.960291032123475,96.03
"AND","Andorra","marine",0,0
"AND","Andorra","land",1,100
"ARE","United Arab Emirates","marine",0.393146975592593,39.31
"ARE","United Arab Emirates","land",0.606853024407407,60.69
"ARG","Argentina","marine",0.0779454809577171,7.79
"ARG","Argentina","land",0.922054519042283,92.21
"ARM","Armenia","marine",0,0
"ARM","Armenia","land",1,100
"ASM","American Samoa","marine",0.94717707061074,94.72
"ASM","American Samoa","land",0.05282292938926,5.28
"ATG","Antigua and Barbuda","marine",0.495369887904659,49.54
"ATG","Antigua and Barbuda","land",0.504630112095341,50.46
"AUS","Australia","marine",0.0284677705413926,2.85
"AUS","Australia","land",0.971532229458607,97.15
"AUT","Austria","marine",0,0
"AUT","Austria","land",1,100
"AZE","Azerbaijan","marine",0,0
"AZE","Azerbaijan","land",1,100
"BDI","Burundi","marine",0,0
"BDI","Burundi","land",1,100
"BEL","Belgium","marine",0.0635402616116287,6.35
"BEL","Belgium","land",0.936459738388371,93.65
"BEN","Benin","marine",0.0161258863367032,1.61
"BEN","Benin","land",0.983874113663297,98.39
"BES","Bonaire, Sint Eustatius and Saba","marine",0.786693079737258,78.67
"BES","Bonaire, Sint Eustatius and Saba","land",0.213306920262742,21.33
"BFA","Burkina Faso","marine",0,0
"BFA","Burkina Faso","land",1,100
"BGD","Bangladesh","marine",0.0680685523153165,6.81
"BGD","Bangladesh","land",0.931931447684684,93.19
"BGR","Bulgaria","marine",0.0107968611105469,1.08
"BGR","Bulgaria","land",0.989203138889453,98.92
"BHR","Bahrain","marine",0.950030737130462,95
"BHR","Bahrain","land",0.0499692628695378,5
"BHS","Bahamas","marine",0.590816362011329,59.08
"BHS","Bahamas","land",0.409183637988671,40.92
"BIH","Bosnia and Herzegovina","marine",0.00612899157991538,0.61
"BIH","Bosnia and Herzegovina","land",0.993871008420085,99.39
"BLM","Saint-Barthélemy","marine",0.998132028310378,99.81
"BLM","Saint-Barthélemy","land",0.00186797168962163,0.19
"BLR","Belarus","marine",0,0
"BLR","Belarus","land",1,100
"BLZ","Belize","marine",0.138451193480771,13.85
"BLZ","Belize","land",0.861548806519229,86.15
"BMU","Bermuda","marine",0.434530364401499,43.45
