iso3c,ID_0,Country,GHG_KgCO2e_tLW,GHG_aquatic_KgCO2e_tLW
AFG,1,Afghanistan,118,909
CYP,61,Cyprus,118,909
ALA,3,Åland,118,909
ALB,4,Albania,118,909
DZA,5,Algeria,118,909
ASM,6,American Samoa,118,909
AND,7,Andorra,118,909
AGO,8,Angola,118,909
AIA,9,Anguilla,118,909
ATG,11,Antigua and Barbuda,118,909
ARG,12,Argentina,118,909
ARM,13,Armenia,118,909
ABW,14,Aruba,118,909
AUS,15,Australia,118,909
AUT,16,Austria,118,909
AZE,17,Azerbaijan,118,909
BHS,18,Bahamas,118,909
BHR,19,Bahrain,118,909
BGD,20,Bangladesh,118,909
BRB,21,Barbados,118,909
BLR,22,Belarus,118,909
BEL,23,Belgium,118,909
BLZ,24,Belize,118,909
BEN,25,Benin,118,909
BMU,26,Bermuda,118,909
BTN,27,Bhutan,118,909
BOL,28,Bolivia,118,909
BES,29,"Bonaire, Sint Eustatius and Saba",118,909
BIH,30,Bosnia and Herzegovina,118,909
BWA,31,Botswana,118,909
BRA,33,Brazil,118,909
IOT,34,British Indian Ocean Territory,118,909
VGB,35,British Virgin Islands,118,909
BRN,36,Brunei,118,909
BGR,37,Bulgaria,118,909
BFA,38,Burkina Faso,118,909
BDI,39,Burundi,118,909
KHM,40,Cambodia,118,909
CMR,41,Cameroon,118,909
CAN,42,Canada,108.89999999999999,899.9
CPV,43,Cape Verde,118,909
CYM,45,Cayman Islands,118,909
CAF,46,Central African Republic,118,909
TCD,47,Chad,118,909
CHL,48,Chile,136.1,927.1
CHN,49,China,118,909
CXR,50,Christmas Island,118,909
CCK,52,Cocos Islands,118,909
COL,53,Colombia,118,909
COM,54,Comoros,118,909
COK,55,Cook Islands,118,909
CRI,56,Costa Rica,118,909
CIV,57,Côte d'Ivoire,118,909
HRV,58,Croatia,118,909
CUB,59,Cuba,118,909
CUW,60,Curaçao,118,909
CZE,62,Czech Republic,118,909
COD,301,Democratic Republic of the Congo,118,909
DNK,64,Denmark,118,909
DJI,65,Djibouti,118,909
DOM,67,Dominican Republic,118,909
DMA,66,Dominica,118,909
ECU,68,Ecuador,118,909
EGY,69,Egypt,118,909
SLV,70,El Salvador,118,909
GNQ,71,Equatorial Guinea,118,909
ERI,72,Eritrea,118,909
EST,73,Estonia,118,909
ETH,74,Ethiopia,118,909
FLK,75,Falkland Islands,118,909
FRO,76,Faroe Islands,118,909
FJI,77,Fiji,118,909
FIN,78,Finland,118,909
