#,GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
0,2,Rice (Milled Equivalent),"Rice, flour, glutinous, white",360,7.6,1.3,79.1,0,22,,17,1.1,,32,0.6,,16,60,0.04,0.08,2.5,,,,,,,,,,10.9,0.5,
1,2,Rice (Milled Equivalent),"Rice, glutinous, black, polished, raw",347,8.5,2.6,69.9,0,3,,21,3.5,,82,4.9,,2,215,0.39,0.1,2,,,,,,,,,,12.7,1.4,
2,2,Rice (Milled Equivalent),"Rice, glutinous, white, polished, raw",354,7.3,1.5,77.4,0,0,,20,1.8,,35,0.6,,6,81,0.13,0.02,1.4,,,,,,,,,,12.6,0.6,
3,2,Rice (Milled Equivalent),"Rice, red, undermilled, raw",356,6.8,2.7,74.2,0,0,,14,0.8,,,4,,,134,0.35,0.05,3.4,,,,,,,,,,11.2,1.1,
4,2,Rice (Milled Equivalent),"Rice, white, polished, raw",354,6.8,0.7,79.7,0,0,,19,1.2,0.5,71,0.6,0.1,27,105,0.1,0.04,2.6,,,,,,,,,,11.7,0.5,
5,2,Rice (Milled Equivalent),"Rice, white, polished, raw, jasmine  variety",353,6.1,0.7,80.2,0,0,,5,0.9,0.1,113,0.8,0.14,34,65,0.12,0.02,1.5,,,,,,,,,,11.9,0.3,
6,2,Rice (Milled Equivalent),"Rice, whole-grain, milled by machine, raw",353,7.9,2.1,74.1,0,0,,32,2.2,0.5,193,2.8,0.1,33,244,0.33,0.08,5.5,,,,,,,,,,11.9,1.2,
7,2,Rice (Milled Equivalent),"Rice,parboiled, raw",355,6.9,1.2,78.8,0,0,,21,1.6,,45,0.5,,9,126,0.19,0.11,3.3,,,,,,,,,,11.9,0.7,
8,17,Cassava,"Cassava, tuber, fresh, raw",146,0.8,0.2,34.5,45,0,,32,1,,198,1.7,,2,37,0.05,0.12,0.5,,,,,,,,,,61.9,0.9,
9,18,Potatoes,"Potato,  fresh, raw",76,2.2,0.1,15.7,30,0,,24,1.4,,176,1.6,,30,58,0.12,0.07,1.3,,,,,,,,,,79.4,1,
10,19,Sweet Potatoes,"Sweet potato,  purple,  fresh, raw",103,0.7,0.3,24.4,23,2,,26,0.9,0.2,1,,0,1,43,0.08,0.04,0.8,,,,,,,,,,73.6,1,
11,19,Sweet Potatoes,"Sweet potato,  white, fresh, raw",106,0.6,0.5,23.5,36,,,66,0.7,0.2,5,2.4,0.1,3,31,0.16,0.07,0.6,,,,,,,,,,71.9,1.1,
12,19,Sweet Potatoes,"Sweet potato,  yellow,  fresh, raw",94,0.6,0.3,20.3,27,63,,64,0.4,0.2,1,4,0.1,3,43,0.08,0.05,0.6,,,,,,,,,,73.9,0.9,
13,20,Yams,"Yam, spiny, fresh, raw",118,1.3,0.2,27.2,9,0,,68,1.2,,,1.2,,,42,0.08,0.03,0.3,,,,,,,,,,69.1,1,
14,23,Roots and tubers; nes,"Coleus,  tuber, raw",96,1.4,0.5,21.4,7,0,,26,0.7,0.3,269,,0.2,9,34,0.11,0.04,1.5,,,,,,,,,,75.9,0.8,
15,23,Roots and tubers; nes,"Water chestnut, Kra-jub, boiled",135,3.6,0.1,30,9,,,23,4.6,,,,,,89,0.27,0.04,0,,,,,,,,,,64.8,1.5,
16,24,Flour of roots and tubers,"Arrowroot, flour",347,0.4,0.5,85.1,0,2,,35,4.5,,,0.4,,,21,0,0.01,0,,,,,,,,,,13.3,0.3,
17,24,Flour of roots and tubers,"Sago, flour",349,0.6,0.2,86.3,0,0,,11,0.8,0.1,4,,0.1,11,12,0,0,0.1,,,,,,,,,,12.8,0.1,
18,29,Honey,Honey,285,0.2,0,71,0,0,,20,2,,24,0,,5,9,0,0.04,0.1,,,,,,,,,,28.6,0.2,
19,30,Beans,"Bean, black, dried, raw",305,21.3,1.9,40,3,,,66,9.3,3.5,4,21.3,0.9,7,362,0.55,0.19,2.1,,,,,,,,,,12.1,3.4,
20,30,Beans,"Kidney bean, red, dried, raw",299,19.6,1.9,38.8,0,,,109,6.7,,,24.3,,,388,0.35,0.77,2.4,,,,,,,,,,11.6,3.8,
21,30,Beans,"Mungbean, seed, green, dried, raw",301,23.2,1.9,34.7,2,14,,97,5.9,2.7,863,26.1,1.47,44,349,0.73,0.26,2.5,,,,,,,,,,10.6,3.5,
22,30,Beans,"Mungbean, seed, red, dried, raw",343,18.7,0.7,65.5,0,1,,86,6.6,,739,,,15,317,0.53,0.3,2.2,,,,,,,,,,11.9,3.2,
23,30,Beans,"Mungbean, seed, splited, dried, dehulled, raw (Golden gram)",329,24.5,1.2,47.9,0,8,,206,4.3,,279,14.2,,23,328,0.44,0.38,1.9,,,,,,,,,,8.7,3.5,
24,30,Beans,"Rice bean, seed, dried, raw",345,18.1,1.2,65.4,,,,230,2.1,,8,,,9,209,0.5,0.5,3.6,,,,,,,,,,10.5,4.8,
25,30,Beans,"Rice bean, seed, red, dried, raw",300,22.5,2.1,33.9,7,,,68,6.4,2.4,1122,27.8,1.57,16,370,1.09,0.18,2,,,,,,,,,,9.7,4,
26,31,Peas,"Butterfly  pea, seed, dried, dehulled, raw",353,26.6,2.2,56.6,,,,,6.2,,,,,,43,,1.36,4.7,,,,,,,,,,10.9,3.7,
27,31,Peas,"Pea, seed, dried, raw",341,23.6,1,59.4,,,,,,,,,,,,,,,,,,,,,,,,12.2,3.8,
28,32,Broad beans; horse beans; dry,"Broad bean, seed, dried, raw",349,22.1,1.5,61.8,,,,90,6.3,,1762,,,,344,,,,,,,,,,,,,11.9,2.7,
29,33,Chick peas,"Chickpea, dried, raw",374,19.8,5.1,62.1,1,1,,137,5.2,,835,,,7,309,0.31,0.16,1.3,,,,,,,,,,10.1,2.9,
30,34,Cow peas; dry,"Cowpea, catjung,  seed, dried, raw",352,22.5,2.3,60.3,,,,306,7.5,,,,,,408,0.66,0.11,2.4,,,,,,,,,,10.9,4,
31,34,Cow peas; dry,"Cowpea, seed, mixed colours,  dried, raw",357,23.8,2,61,,,,66,10,,8,,,15,447,1.01,0.38,3,,,,,,,,,,8.7,4.5,
32,37,Bambara beans,"Bambara groundnut, fresh, raw",180,8.4,3.8,28.1,4,,,20,,,,,,,143,,0.37,2.9,,,,,,,,,,58.1,1.6,
33,40,Pulses; nes,"Bean, hyacinth, dried, raw",345,25.7,0.8,58.8,0,17,,66,6.5,,407,,,43,372,0.46,0.12,3,,,,,,,,,,11.2,3.5,
34,40,Pulses; nes,"Winged  bean, seed, dried, raw",424,34.1,15.5,37,,,,564,9.6,,,,,,636,,,,,,,,,,,,,9.2,4.2,
35,43,Cashew nuts; with shell,"Cashew  nut, fresh, raw",299,11.6,23,9.2,1,,,11,0.1,,,4.5,,,223,0.36,0.2,0.9,,,,,,,,,,50.5,1.2,
36,44,Chestnuts,"Chestnut, roasted",224,4.7,3.6,36.7,14,,,28,1.5,,321,12.9,,5,78,0.2,0.09,1.3,,,,,,,,,,40.4,1.7,
37,53,Soyabeans,"Soybean, seed, black, dried, raw",378,34.4,13.7,21.1,8,5,,223,6.2,,398,16.1,,37,377,0.51,0.23,2.7,,,,,,,,,,9.6,5.1,
38,53,Soyabeans,"Soybean, seed, yellow, dried, raw",389,34.6,17.8,11.6,5,5,,260,6.6,2.9,994,22,1.42,32,534,0.77,0.3,2,,,,,,,,,,8.7,5.3,
39,54,Groundnuts (Shelled Eq),"Peanut/Groundnut, seed, w/
skin, dried, raw",543,24.9,43,5.2,0,0,,69,5.9,2,483,18,1.6,32,348,1.31,0.28,14.7,,,,,,,,,,6.4,2.5,
40,58,Coconuts - Incl Copra,"Coconut, mature  kernel",362,5.2,35.3,2.7,2,0,,24,10.7,,281,6.5,,3,117,0.06,0.01,0.2,,,,,,,,,,49.3,1,
41,59,Sesameseed,"Sesame, seed, black, dried, raw",555,19.4,46,6.3,,,,913,15.9,3.2,401,19.2,2.2,69,555,0.57,0.61,5.3,,,,,,,,,,4.5,4.6,
42,59,Sesameseed,"Sesame, seed, white, dried, raw",602,22.8,52,0,0,0,,952,9.5,4,457,21.6,2.3,48,543,0.67,0.75,5.3,,,,,,,,,,3.6,4.6,
43,63,Soyabean Oil,"Oil, soybean",888.719678,0,98.77080387,0,0,,,,,,,0,,,,0,0,,,,,,,,,,,,,
44,65,Sunflowerseed Oil,"Oil, sunflower",856,0,95.1,0,0,,,,,,,0,,,,0,0,,,,,,,,,,,,,
45,69,Palm Oil,"Oil, palm",891.2676056,0,99.04225352,0,0,,,,,,,0,,,,0,0,,,,,,,,,,,,,
46,70,Coconut Oil,Coconut cream,310,4.2,31.6,2.2,0,0,,12,1.5,,445,,,16,103,0.06,0.01,0.4,,,,,,,,,,61,1,
47,74,Maize Germ Oil,"Oil, corn",833,0,92.6,0,0,,,,,,,0,,,,0,0,,,,,,,,,,,,,
48,76,Tomatoes,"Tomato,  raw",23,1,0.3,3.4,29,44,,17,0.9,0.2,151,1.2,0.13,9,26,0.07,0.06,0.4,,,,,,,,,,93.5,0.6,
49,76,Tomatoes,"Tomato,  cherry,  small, raw",23,1,0.3,3.3,33,,,9,0.5,0.2,204,1.7,0.07,10,23,0.09,0.04,0.7,,,,,,,,,,93.2,0.5,
50,77,Onions,"Onion,  large",47,1.6,0,9.3,8,0,,39,0.7,,10,1.6,,13,53,0.03,0.04,0.2,,,,,,,,,,86.9,0.6,
51,78,Cabbages and other brassicas,"Cabbage, Chinese, fresh, raw",18,1.7,0.2,1.5,33,122,,60,1.6,0.2,201,1.7,0.1,22,34,0.07,0.12,0.6,,,,,,,,,,94,0.9,
52,78,Cabbages and other brassicas,"Cabbage, Chinese, wongbok, fresh, raw",16,1.7,0.4,0.6,36,69,,130,1.5,,290,1.7,,4,24,0.06,0.07,0.7,,,,,,,,,,94.7,0.9,
53,78,Cabbages and other brassicas,"Cabbage, Chinese/ Flowering white cabbage, raw",20,1.9,0.2,1.5,51,192,,115,1.3,0.5,227,2.1,0.04,110,37,0.05,0.24,0.6,,,,,,,,,,93.3,1,
54,78,Cabbages and other brassicas,"Cabbage, common, fresh, raw",25,1.5,0.3,3.2,32,4,,51,1,0.3,243,1.9,0.3,29,30,0.06,0.07,0.3,,,,,,,,,,92.2,0.9,
55,78,Cabbages and other brassicas,"Mustard  green, India (leaf and stem)",18,1.7,0.4,1,63,124,,68,1.5,,319,1.8,,16,17,0.07,0.17,0.5,,,,,,,,,,94.3,0.8,
56,78,Cabbages and other brassicas,"Mustard, leaf, raw",28,2.2,0.5,3.7,80,158,,152,2.5,,426,,,11,49,0.06,0.16,0.9,,,,,,,,,,92.5,1.1,
57,78,Cabbages and other brassicas,"Kale, Chinese, raw",38,2.7,0.3,6.1,117,220,,178,2.5,,331,,,17,20,0.09,0.16,0.9,,,,,,,,,,89.4,1.5,
58,80,Asparagus,"Asparagus, fresh, raw",21,2.6,0.4,0.3,22,7,,12,0.7,0.5,191,2.8,0.11,9,52,0.1,0.16,0.8,,,,,,,,,,93.2,0.7,
59,81,Lettuce and chicory,"Lettuce,  garden,  leaf and petiole",15,1.3,0.1,1.3,23,130,,62,1.8,,190,1.8,,19,32,0.06,0.13,0.4,,,,,,,,,,94.7,0.8,
60,82,Spinach,"Spinach, amaranth, spine, raw",36,3.9,0.4,2.8,85,444,,520,4.9,,833,2.8,,14,75,0.02,0.28,1,,,,,,,,,,87.8,2.3,
61,82,Spinach,"Spinach, Chinese, raw",21,2.5,0.5,0.2,37,315,,63,4.1,0.9,533,2.7,0.1,70,50,0.12,0.31,0.6,,,,,,,,,,92.3,1.8,
62,82,Spinach,"Spinach, Malabar, raw",18,1.9,0.1,1.1,73,279,,140,3.1,,233,2.5,,15,28,0.06,0.12,0.6,,,,,,,,,,92.9,1.5,
63,83,Cassava leaves,"Cassava, young leaf and top, raw",65,6.3,0.7,6.1,211,324,,158,1.6,,28,4.6,,20,51,0.19,0.45,1.9,,,,,,,,,,81.1,1.2,
64,84,Cauliflowers and broccoli,"Cauliflower, inflorescence, raw",30,2.6,0.1,3.9,68,2,,28,0.8,,205,1.7,,51,48,0.1,0.1,0.7,,,,,,,,,,90.9,0.8,
65,84,Cauliflowers and broccoli,"Broccoli, fresh, raw",26,3.4,0.1,1.4,107,24,,34,0.9,0.5,261,2.9,0.04,22,57,0.08,0.18,1.2,,,,,,,,,,91.2,1,
66,85,Pumpkins; squash; and gourds,"Gourd,  bottle, raw",20,0.5,1,1.5,12,1,,19,0.3,0.1,130,1.5,0.1,4,16,0.03,0.03,0.5,,,,,,,,,,95.1,0.4,
67,85,Pumpkins; squash; and gourds,"Gourd,  snake,  raw",17,0.8,0.1,2.1,,0.03,,15,0.8,,51,2.1,,8,7,0.05,0.4,13,,,,,,,,,,94.6,0.3,
68,85,Pumpkins; squash; and gourds,"Gourd,  sponge,  raw",21,0.9,0.3,3,6,1,,23,0.4,,109,1.2,,16,30,0.04,0.04,0.3,,,,,,,,,,94.1,0.5,
69,85,Pumpkins; squash; and gourds,"Gourd,  wax, mixed variety, raw",16,0.5,0.2,2.3,39,0,,21,0.3,0.1,135,1.7,0.02,5,20,0.02,0.13,0.2,,,,,,,,,,94.9,0.4,
70,85,Pumpkins; squash; and gourds,"Gourd/cucumber, bitter, Thai variety,  raw",20,1.4,0.4,0.5,147,2,,3,0.4,0.2,,4.2,0.08,,5,0.09,0.05,,,,,,,,,,,92.4,1.1,
71,85,Pumpkins; squash; and gourds,"Pumpkin, raw",44,1.3,0.3,7.8,15,85,,31,0.7,0.9,178,2.4,0.06,43,30,0.06,0.05,0.5,,,,,,,,,,87.4,0.8,
72,86,Cucumbers and gherkins,"Cucumber, long",16,0.6,0.1,2.8,8,2,,18,0.4,,118,0.7,,14,22,0.03,0.04,0.2,,,,,,,,,,95.4,0.4,
73,86,Cucumbers and gherkins,"Cucumber, small",21,0.8,0.1,3.7,12,4,,20,0.4,0.2,166,1,0.05,5,28,0.04,0.05,0.3,,,,,,,,,,93.9,0.5,
74,87,Eggplants (aubergines),"Egg plant, purple,  raw",32,1.3,0.1,6.4,18,7,,20,0.6,,55,,,9,29,0.08,0.06,0.7,,,,,,,,,,91.6,0.6,
75,87,Eggplants (aubergines),"Eggplant/aubergine, green, long, raw",22,1,0.1,3.2,4,,,15,0.4,0.2,155,2.3,0.1,5,37,0.06,0.09,0.5,,,,,,,,,,92.9,0.5,
76,87,Eggplants (aubergines),"Eggplant/brinjal, raw",31,1.5,0.2,4.5,8,5,,22,0.9,0.2,251,2.8,0.13,12,37,0.07,0.04,0.7,,,,,,,,,,90.2,0.8,
