,GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
0,1,Wheat,"Trigo, crudo",,12.4,2,,,,,14,2.62,,355,,,9,333,,,,,,,,,,,,,12.7,3.1,
1,1,Wheat,"Trigo, crudo",346,12.3,0.6,72.9,0,0,,55,5.3,,,,,,315,0.26,0.16,2.56,,,,,,,,,,10.6,1.8,
2,1,Wheat,"Trigo, crudo",351.27,9.3,1.4,75.3,1,0,,54,3.3,,,,,,278,0.24,1.19,4.12,,,,,,,,,,10.7,1.5,
3,1,Wheat,"Trigo, crudo",348,9.9,1.2,74.5,1,0,,54,4.7,,,,,,243,0.32,0.18,3.75,,,,,,,,,,10.9,1.7,
4,1,Wheat,"Trigo, crudo",349.82,8.8,1.4,75.5,1,0,,56,4.5,,,,,,224,0.27,0.14,3.87,,,,,,,,,,10.8,1.7,
5,1,Wheat,"Trigo, crudo",,11.2,2.1,,,,,67.3,,,,,,,282,,,,,,,,,,,,,10.5,1.5,
6,1,Wheat,"Trigo, crudo",,,,,,,,,3.02,,,,,,,,,,,,,,,,,,,10.7,,
7,1,Wheat,"Trigo, entero, crudo, seco",,10.6,2.6,,0,0,,58,0.9,,370,,,3,331,0.59,0.22,4.4,,,,,,,,,,9.1,2.1,
8,1,Wheat,"Trigo, entero, Dark North Spring",312.6,13.3,2.2,59.9,,,,33,4.3,2.8,323,,,5.4,325,0.46,0.18,6.1,,,,,,,,,,10,1.6,
9,1,Wheat,"Trigo, entero, Durum",315.6,12.9,2.8,59.7,,,,31,3.6,3.1,349,,,5.1,362,0.43,0.16,9.5,,,,,,,,,,10.9,1.8,
10,1,Wheat,"Trigo, entero, soft",313.3,10.4,2.1,63.2,,,,35,3.7,2.2,296,,,3.4,291,0.35,0.2,2.3,,,,,,,,,,11.7,1.5,
