#,GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
0,1,Wheat,"WHEAT FLOUR,WHOLE-GRAIN",340,13.21,2.5,71.97,0,0,44,34,3.6,2.6,363,10.7,0.41,2,357,0.502,0.165,4.957,0.407,31.2,137,4.067,0.43,0.283,1.167,,0,10.74,1.58,0
1,2,Rice (Milled Equivalent),"RICE,WHITE,SHORT-GRAIN,RAW",358,6.5,0.52,79.15,0,0,,3,4.23,1.1,76,2.8,0.21,1,95,0.565,0.048,4.113,0.171,,23,1.037,0.14,0.161,0.138,,0,13.29,0.54,0
2,2,Rice (Milled Equivalent),"RICE,WHITE,GLUTINOUS,RAW",370,6.81,0.55,81.68,0,0,7,11,1.6,1.2,77,2.8,0.171,7,71,0.18,0.055,2.145,0.107,,23,0.974,0.111,0.2,0.198,,0,10.46,0.49,0
3,3,Barley,"BARLEY,HULLED",354,12.48,2.3,73.48,0,1,19,33,3.6,2.77,452,17.3,0.498,12,264,0.646,0.285,4.604,0.318,,133,1.943,0.482,0.295,1.108,,0,9.44,2.29,0
4,3,Barley,"BARLEY,PEARLED,RAW",352,9.91,1.16,77.72,0,1,23,29,2.5,2.13,280,15.6,0.42,9,221,0.191,0.114,4.604,0.26,37.8,79,1.322,0.244,0.149,0.56,,0,10.09,1.11,0
5,4,Maize,"CORN GRAIN,YEL",365,9.42,4.74,74.26,0,11,19,7,2.71,2.21,287,7.3,0.314,35,210,0.385,0.201,3.627,0.622,,127,0.485,0.667,1.251,2.163,,0,10.37,1.2,0
6,5,Rye,RYE GRAIN,338,10.34,1.63,75.86,0,1,38,24,2.63,2.65,510,15.1,0.367,2,332,0.316,0.251,4.27,0.294,30.4,110,2.577,0.197,0.208,0.767,,0,10.6,1.57,0
7,6,Oats,OATS,389,16.89,6.9,66.27,0,0,56,54,4.72,3.97,429,10.6,0.626,2,523,0.763,0.139,0.961,0.119,,177,4.916,1.217,2.178,2.535,,0,8.22,1.72,0
8,7,Millet,"MILLET,RAW",378,11.02,4.22,72.85,0,0,85,8,3.01,1.68,195,8.5,0.75,5,285,0.421,0.29,4.72,0.384,,114,1.632,0.723,0.773,2.134,,0,8.67,3.25,0
9,8,Sorghum,SORGHUM GRAIN,329,10.62,3.46,72.09,0,0,20,13,3.36,1.67,363,6.7,0.284,2,289,0.332,0.096,3.688,0.443,,165,1.605,0.61,1.131,1.558,,0,12.4,1.43,0
10,9,Buckwheat,BUCKWHEAT,343,13.25,3.4,71.5,0,0,30,18,2.2,2.4,460,10,1.1,1,347,0.101,0.425,7.02,0.21,,231,1.3,0.741,1.04,1.039,,0,9.75,2.1,0
11,11,Triticale,TRITICALE,336,13.05,2.09,72.13,0,0,73,37,2.57,3.45,332,,0.457,5,358,0.416,0.134,1.43,0.138,,130,3.21,0.366,0.211,0.913,,0,10.51,2.23,0
12,12,Mixed grain,"WHEAT,HARD RED SPRING",329,15.4,1.92,68.03,0,0,43,25,3.6,2.78,340,12.2,0.41,2,332,0.504,0.11,5.71,0.336,31.2,124,4.055,0.314,0.303,0.765,,0,12.76,1.89,0
13,12,Mixed grain,"WHEAT,HARD RED WINTER",327,12.61,1.54,71.18,0,0,38,29,3.19,2.65,363,12.2,0.434,2,288,0.383,0.115,5.464,0.3,31.2,126,3.985,0.269,0.2,0.627,,0,13.1,1.57,0
14,12,Mixed grain,"WHEAT,SOFT RED WINTER",331,10.35,1.56,74.24,0,0,41,27,3.21,2.63,397,12.5,0.45,2,493,0.394,0.096,4.8,0.272,,126,4.391,0.289,0.178,0.656,,0,12.17,1.68,0
15,12,Mixed grain,"WHEAT,HARD WHITE",342,11.31,1.71,75.9,0,0,38,32,4.56,3.33,432,12.2,0.363,2,355,0.387,0.108,4.381,0.368,,93,3.821,0.277,0.203,0.75,,0,9.57,1.52,0
16,12,Mixed grain,"WHEAT,SOFT WHITE",340,10.69,1.99,75.36,0,0,41,34,5.37,3.46,435,12.7,0.426,2,402,0.41,0.107,4.766,0.378,,90,3.406,0.368,0.227,0.837,,0,10.42,1.54,0
17,12,Mixed grain,"WHEAT,DURUM",339,13.68,2.47,71.13,0,0,43,34,3.52,4.16,431,,0.553,2,508,0.419,0.121,6.738,0.419,,144,3.012,0.454,0.344,0.978,,0,10.94,1.78,0
18,12,Mixed grain,"RICE,WHITE,SHORT-GRAIN,RAW",358,6.5,0.52,79.15,0,0,,3,4.23,1.1,76,2.8,0.21,1,95,0.565,0.048,4.113,0.171,,23,1.037,0.14,0.161,0.138,,0,13.29,0.54,0
19,12,Mixed grain,"RICE,WHITE,GLUTINOUS,RAW",370,6.81,0.55,81.68,0,0,7,11,1.6,1.2,77,2.8,0.171,7,71,0.18,0.055,2.145,0.107,,23,0.974,0.111,0.2,0.198,,0,10.46,0.49,0
20,12,Mixed grain,"BARLEY,HULLED",354,12.48,2.3,73.48,0,1,19,33,3.6,2.77,452,17.3,0.498,12,264,0.646,0.285,4.604,0.318,,133,1.943,0.482,0.295,1.108,,0,9.44,2.29,0
21,12,Mixed grain,"BARLEY,PEARLED,RAW",352,9.91,1.16,77.72,0,1,23,29,2.5,2.13,280,15.6,0.42,9,221,0.191,0.114,4.604,0.26,37.8,79,1.322,0.244,0.149,0.56,,0,10.09,1.11,0
22,12,Mixed grain,"CORN GRAIN,YEL",365,9.42,4.74,74.26,0,11,19,7,2.71,2.21,287,7.3,0.314,35,210,0.385,0.201,3.627,0.622,,127,0.485,0.667,1.251,2.163,,0,10.37,1.2,0
23,12,Mixed grain,RYE GRAIN,338,10.34,1.63,75.86,0,1,38,24,2.63,2.65,510,15.1,0.367,2,332,0.316,0.251,4.27,0.294,30.4,110,2.577,0.197,0.208,0.767,,0,10.6,1.57,0
24,12,Mixed grain,OATS,389,16.89,6.9,66.27,0,0,56,54,4.72,3.97,429,10.6,0.626,2,523,0.763,0.139,0.961,0.119,,177,4.916,1.217,2.178,2.535,,0,8.22,1.72,0
25,12,Mixed grain,"MILLET,RAW",378,11.02,4.22,72.85,0,0,85,8,3.01,1.68,195,8.5,0.75,5,285,0.421,0.29,4.72,0.384,,114,1.632,0.723,0.773,2.134,,0,8.67,3.25,0
26,12,Mixed grain,SORGHUM GRAIN,329,10.62,3.46,72.09,0,0,20,13,3.36,1.67,363,6.7,0.284,2,289,0.332,0.096,3.688,0.443,,165,1.605,0.61,1.131,1.558,,0,12.4,1.43,0
27,12,Mixed grain,BUCKWHEAT,343,13.25,3.4,71.5,0,0,30,18,2.2,2.4,460,10,1.1,1,347,0.101,0.425,7.02,0.21,,231,1.3,0.741,1.04,1.039,,0,9.75,2.1,0
28,12,Mixed grain,TRITICALE,336,13.05,2.09,72.13,0,0,73,37,2.57,3.45,332,,0.457,5,358,0.416,0.134,1.43,0.138,,130,3.21,0.366,0.211,0.913,,0,10.51,2.23,0
29,13,Cereals; nes,"TEFF,UNCKD",367,13.3,2.38,73.13,,0,,180,7.63,3.63,427,8,0.81,12,429,0.39,0.27,3.363,0.482,13.1,184,9.24,0.449,0.589,1.071,,,8.82,2.37,0
30,15,Quinoa,"QUINOA,UNCKD",368,14.12,6.07,64.16,,1,184,47,4.57,3.1,563,7,0.59,5,457,0.36,0.318,1.52,0.487,70.2,197,2.033,0.706,1.613,3.292,,0,13.28,2.38,0
31,17,Cassava,"CASSAVA,RAW",160,1.36,0.28,38.06,20.6,1,27,16,0.27,0.34,271,1.8,0.1,14,27,0.087,0.048,0.854,0.088,23.7,21,0.384,0.074,0.075,0.048,,0,59.68,0.62,16
32,18,Potatoes,"POTATOES,RUSSET,FLESH & SKN,RAW",79,2.14,0.08,18.07,5.7,0,14,13,0.86,0.29,417,1.3,0.103,5,55,0.082,0.033,1.035,0.345,12.6,23,0.157,0.026,0.002,0.043,,0,78.58,1.13,25
33,18,Potatoes,"POTATOES,WHITE,FLESH & SKN,RAW",69,1.68,0.1,15.71,9.1,0,18,9,0.52,0.29,407,2.4,0.116,16,62,0.071,0.034,1.066,0.203,11,21,0.145,0.026,0.002,0.043,,0,81.58,0.94,25
34,18,Potatoes,"POTATOES,RED,FLESH & SKN,RAW",70,1.89,0.14,15.9,8.6,0,18,10,0.73,0.33,455,1.7,0.134,18,61,0.081,0.031,1.149,0.17,16.4,22,0.141,0.035,0.003,0.059,,0,80.96,1.1,25
35,19,Sweet Potatoes,"SWEET POTATO,RAW,UNPREP",86,1.57,0.05,20.12,2.4,709,11,30,0.61,0.3,337,3,0.151,55,47,0.078,0.061,0.557,0.209,12.3,25,0.258,0.018,0.001,0.014,,0,77.28,0.99,28
36,20,Yams,"YAM,RAW",118,1.53,0.17,27.88,17.1,7,23,17,0.54,0.24,816,4.1,0.178,9,55,0.112,0.032,0.552,0.293,16.5,21,0.397,0.037,0.006,0.076,,0,69.6,0.82,14
37,21,Yautia (cocoyam),"YAUTIA (TANNIER),RAW",98,1.46,0.4,23.63,5.2,0,17,9,0.98,0.5,598,1.5,0.257,21,51,0.097,0.04,0.667,0.237,,24,0.186,0.082,,,,0,73.06,1.45,14
38,22,Taro (cocoyam),"TARO,RAW",112,1.5,0.2,26.46,4.5,4,22,43,0.55,0.23,591,4.1,0.172,11,84,0.095,0.025,0.6,0.283,17.3,33,0.383,0.041,0.016,0.083,,0,70.64,1.2,14
39,23,Roots and tubers; nes,"ARROWROOT,RAW",65,4.24,0.2,13.39,1.9,1,338,6,2.22,0.63,454,1.3,0.121,26,98,0.143,0.059,1.693,0.266,,25,0.174,0.039,0.004,0.092,,0,80.75,1.42,15
