#,GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
0,1,Wheat,Wheat (Triticum aestivum):,351,10.5,2,74.7,,,,36,3.6,,,0.8,,,208,0.37,0.08,2.8,,,,,,,,,,11.9,,
1,2,Rice (Milled Equivalent),Rice (Oryza sativa):,353,6.2,2,76.4,,,,27,7.6,,,10.3,,,312,0.34,0.05,5.8,,,,,,,,,,10.3,,
2,2,Rice (Milled Equivalent),Rice (Oryza sativa):,357,8.1,1.6,76.6,0,0,,22,2,,,0.9,,,250,0.36,0.06,5.2,,,,,,,,,,12.4,,
3,2,Rice (Milled Equivalent),Rice (Oryza sativa):,362,6.8,0.5,81.1,0,0,,11,1.8,,,0.4,,,164,0.12,0.03,2.7,,,,,,,,,,11.1,,
4,2,Rice (Milled Equivalent),Rice (Oryza sativa):,363,7,0.5,79.9,,0,,9,1.7,,,0.4,,,127,0.1,0.03,2.8,,,,,,,,,,12,,
5,2,Rice (Milled Equivalent),Rice (Oryza sativa):,364,7,0.6,79.8,,,,6,2.4,,,0.4,,,,0.17,0.03,5.4,,,,,,,,,,11.8,,
6,2,Rice (Milled Equivalent),Rice (Oryza sativa):,356,9.8,0.6,77,,,,12,,,,0.8,,,115,0.06,0.08,4.3,,,,,,,,,,11.8,,
7,2,Rice (Milled Equivalent),"Rice, red, native --",364,7.4,2.2,77.7,,,,38,2.8,,,0.4,,,294,0.34,,6.5,,,,,,,,,,11.3,,
8,2,Rice (Milled Equivalent),"Rice, red, native --",360,7.2,0.5,80.3,,,,887,,,,0.2,,,124,0.08,,,,,,,,,,,,11.5,,
9,2,Rice (Milled Equivalent),"Rice, red, native --",366,6.3,0.3,81.6,,,,22,1.7,,,0.2,,,98,0.06,,2,,,,,,,,,,11.4,,
10,2,Rice (Milled Equivalent),"Rice, red, native --",358,6,0.2,81.4,,,,79,,,,0.2,,,79,0.04,,,,,,,,,,,,12,,
11,3,Barley,Whole-grain,337,10,1.6,76.2,,,,61,17.9,,,6,,,251,0.36,,,,,,,,,,,,9.9,,
12,3,Barley,Meal,,7.8,,,,,,80,,,,4.4,,,320,,,,,,,,,,,,,14.6,,
13,3,Barley,Gábs (barley flour) from Ethiopia,361,9.8,2.8,76.2,,0,,92,14.9,,,2.4,,,330,0.04,0.11,4.6,,,,,,,,,,9.1,,
14,4,Maize,White variety,357,9.4,4.2,73.6,0,0.416666667,,16,3.6,,,1.9,,,220,0.33,0.1,2.2,,,,,,,,,,11.6,,
15,4,Maize,Pale variety,357,8.6,4.3,73.9,5,1.666666667,,6,2.8,,,1.4,,,182,0.36,0.08,1.4,,,,,,,,,,11.8,,
16,4,Maize,Yellow variety,364,10,4.8,73.6,4,8.333333333,,13,4.9,,,2,,,219,0.32,0.12,1.7,,,,,,,,,,10.4,,
17,4,Maize,"Native-ground, or unsifted",353,9.3,3.8,73.4,3,2.083333333,,17,4.2,,,1.9,,,218,0.3,0.08,1.8,,,,,,,,,,12.2,,
18,5,Rye,Rye (Secale cereale):,336,10.5,1.8,75,,,,40,4.1,,,2,,,351,0.25,,,,,,,,,,,,11.1,,
19,5,Rye,Rye (Secale cereale):,365,8.2,1.3,78,,,,20,0.9,,,0.8,,,290,0.2,,,,,,,,,,,,11.6,,
20,6,Oats,Whole-grain,378,17.1,7,63.1,,,,,,,,1.8,,,,0.68,,,,,,,,,,,,10.8,,
21,6,Oats,Oatmeal or rolled oats,394,12.6,7.4,70,,,,,,,,1.8,,,,,,,,,,,,,,,,8.1,,
22,7,Millet,Bulrush (Pennisetum typhoides; P. typhoideum):,341,10.4,4,71.6,3,0,,22,20.7,,,1.9,,,286,0.3,0.22,1.7,,,,,,,,,,12,,
23,7,Millet,"Kodo millet; bastard millet; ditch millet; haraka millet; native millet (Paspalum commersonii), whole-grain:",335,5.4,2,79,,,,170,,,,9.5,,,160,,,,,,,,,,,,,9.6,,
