"","organism","origin","cum_pressure","total_organism_pressure","proportion_final"
"1","bivalve","marine",18154982.6895539,18154982.6895539,1
"2","chickens","land",98788646461.4337,98789399377.8694,0.999992378570571
"3","chickens","marine",752916.435674676,98789399377.8694,7.62142942882739e-06
"4","crustaceans","land",92654998.0185622,94357650.3916277,0.981955333075817
"5","crustaceans","marine",1702652.37306544,94357650.3916277,0.0180446669241832
"6","marine-fish-general","land",1108756647.70635,1116693792.15937,0.992892282102086
"7","marine-fish-general","marine",7937144.45302056,1116693792.15937,0.00710771789791396
"8","pigs","land",89387556184.4868,89391685623.9026,0.999953805106291
"9","pigs","marine",4129439.41588464,89391685623.9026,4.6194893709225e-05
"10","salmon","land",440602927.542014,446163021.092099,0.987537977628725
"11","salmon","marine",5560093.55008563,446163021.092099,0.0124620223712756
"12","shrimp","land",1886987554.40819,1908554246.14318,0.988699984934371
"13","shrimp","marine",21566691.7349875,1908554246.14318,0.0113000150656287
"14","tuna","land",25758831.525015,25959657.797277,0.992263909107342
"15","tuna","marine",200826.272262034,25959657.797277,0.00773609089265804
