iso3c,system,system_total,rgn_total,system_prop,animal
ABW,grassland,0,0,0,buffalo
ABW,mixed,0,0,1,buffalo
AFG,grassland,86.79592238855768,545.0725909148911,0.1592373636745756,buffalo
AFG,mixed,458.27666852633337,545.0725909148911,0.8407626363254244,buffalo
AGO,grassland,0,0,0,buffalo
AGO,mixed,0,0,1,buffalo
ALB,grassland,0,128.22406586798655,0,buffalo
ALB,mixed,128.22406586798655,128.22406586798655,1,buffalo
ARE,grassland,0,0,0,buffalo
ARE,mixed,0,0,1,buffalo
ARG,grassland,208408.50153657395,301297.85136885865,0.6917025813152363,buffalo
ARG,mixed,92889.34983228472,301297.85136885865,0.3082974186847637,buffalo
ARM,grassland,17.46297659392799,557.7218116171196,0.031311267069318895,buffalo
ARM,mixed,540.2588350231915,557.7218116171196,0.968688732930681,buffalo
AUS,grassland,2601.53529575843,3740.38910688376,0.6955253107144924,buffalo
AUS,mixed,1138.8538111253304,3740.38910688376,0.30447468928550764,buffalo
AUT,grassland,0,0,0,buffalo
AUT,mixed,0,0,1,buffalo
AZE,grassland,6718.834728929793,78894.24439063623,0.08516254615054321,buffalo
AZE,mixed,72175.40966170644,78894.24439063623,0.9148374538494567,buffalo
BDI,grassland,0,0,0,buffalo
BDI,mixed,0,0,1,buffalo
BEN,grassland,0,0,0,buffalo
BEN,mixed,0,0,1,buffalo
BES,grassland,0,0,0,buffalo
BES,mixed,0,0,1,buffalo
BFA,grassland,0,0,0,buffalo
BFA,mixed,0,0,1,buffalo
BGD,grassland,10620.132022318756,1325690.529880821,0.008011018999489647,buffalo
BGD,mixed,1315070.3978585023,1325690.529880821,0.9919889810005105,buffalo
BGR,grassland,0.45756637107200054,4254.828174774892,1.0754050511010559e-4,buffalo
BGR,mixed,4254.37060840382,4254.828174774892,0.9998924594948899,buffalo
BHR,grassland,0,0,0,buffalo
BHR,mixed,0,0,1,buffalo
BHS,grassland,0,0,0,buffalo
BHS,mixed,0,0,1,buffalo
BIH,grassland,0,0,0,buffalo
BIH,mixed,0,0,1,buffalo
BLZ,grassland,0,14.000000430416458,0,buffalo
BLZ,mixed,14.000000430416458,14.000000430416458,1,buffalo
BOL,grassland,0,0,0,buffalo
BOL,mixed,0,0,1,buffalo
BRA,grassland,65121.79504418115,440375.74989350705,0.14787779540523993,buffalo
BRA,mixed,375253.9548493259,440375.74989350705,0.8521222045947601,buffalo
BRN,grassland,292.562793210471,825.1289739528214,0.354566137471739,buffalo
BRN,mixed,532.5661807423504,825.1289739528214,0.6454338625282611,buffalo
BTN,grassland,116.74304325634085,590.1370269766563,0.19782362048087312,buffalo
BTN,mixed,473.3939837203155,590.1370269766563,0.8021763795191269,buffalo
BWA,grassland,0,0,0,buffalo
BWA,mixed,0,0,1,buffalo
CAF,grassland,0,0,0,buffalo
CAF,mixed,0,0,1,buffalo
CAN,grassland,14.23446438065935,314506.65274547494,4.5259660666634825e-5,buffalo
CAN,mixed,314492.4182810943,314506.65274547494,0.9999547403393334,buffalo
CHE,grassland,0,0,0,buffalo
CHE,mixed,0,0,1,buffalo
CHL,grassland,0,41.871445742931655,0,buffalo
CHL,mixed,41.871445742931655,41.871445742931655,1,buffalo
CHN,grassland,1521518.9033682882,13267187.120675508,0.11468285549369858,buffalo
CHN,mixed,11745668.21730722,13267187.120675508,0.8853171445063014,buffalo
CIV,grassland,0,0,0,buffalo
CIV,mixed,0,0,1,buffalo
CMR,grassland,0,0,0,buffalo
CMR,mixed,0,0,1,buffalo
COD,grassland,0,0,0,buffalo
COD,mixed,0,0,1,buffalo
COG,grassland,0,0,0,buffalo
COG,mixed,0,0,1,buffalo
COL,grassland,10480.209308666772,152291.74363165206,0.06881666109237837,buffalo
COL,mixed,141811.5343229853,152291.74363165206,0.9311833389076217,buffalo
CPV,grassland,0,0,0,buffalo
CPV,mixed,0,0,1,buffalo
CUB,grassland,0,0,0,buffalo
CUB,mixed,0,0,1,buffalo
CUW,grassland,0,0,0,buffalo
CUW,mixed,0,0,1,buffalo
CYP,grassland,0,0,0,buffalo
CYP,mixed,0,0,1,buffalo
DEU,grassland,0,1395.6712974709096,0,buffalo
DEU,mixed,1395.6712974709096,1395.6712974709096,1,buffalo
DMA,grassland,0,0,0,buffalo
DMA,mixed,0,0,1,buffalo
DNK,grassland,0,0,0,buffalo
DNK,mixed,0,0,1,buffalo
DOM,grassland,0,0,0,buffalo
DOM,mixed,0,0,1,buffalo
DZA,grassland,0,0,0,buffalo
DZA,mixed,0,0,1,buffalo
ECU,grassland,180.55872105318286,2611.9205842385736,0.06912871782654881,buffalo
ECU,mixed,2431.3618631853906,2611.9205842385736,0.9308712821734512,buffalo
EGY,grassland,607447.9364860456,3751385.027310186,0.16192631043302885,buffalo
EGY,mixed,3143937.0908241402,3751385.027310186,0.838073689566971,buffalo
ERI,grassland,0,0,0,buffalo
ERI,mixed,0,0,1,buffalo
ESP,grassland,3.319333745145672,580.1465980500672,0.005721543065670465,buffalo
ESP,mixed,576.8272643049215,580.1465980500672,0.9942784569343296,buffalo
EST,grassland,0,0,0,buffalo
EST,mixed,0,0,1,buffalo
ETH,grassland,0,0,0,buffalo
ETH,mixed,0,0,1,buffalo
FJI,grassland,0,0,0,buffalo
FJI,mixed,0,0,1,buffalo
FRA,grassland,0,7.880125526870655,0,buffalo
FRA,mixed,7.880125526870655,7.880125526870655,1,buffalo
