fed,category,subcategory,origin,organism,system,product
fed,farm,livestock,land,sheep,grassland,meat
fed,farm,livestock,land,sheep,grassland,milk
fed,farm,livestock,land,sheep,mixed,meat
fed,farm,livestock,land,sheep,mixed,milk
fed,farm,livestock,land,goats,grassland,meat
fed,farm,livestock,land,goats,grassland,milk
fed,farm,livestock,land,goats,mixed,meat
fed,farm,livestock,land,goats,mixed,milk
fed,farm,livestock,land,cows,grassland,meat
fed,farm,livestock,land,cows,grassland,milk
fed,farm,livestock,land,cows,mixed,meat
fed,farm,livestock,land,cows,mixed,milk
fed,farm,livestock,land,cows,feedlot,meat
fed,farm,livestock,land,buffaloes,grassland,milk
fed,farm,livestock,land,buffaloes,mixed,milk
fed,farm,livestock,land,pigs,backyard,meat
fed,farm,livestock,land,pigs,intermediate,meat
fed,farm,livestock,land,pigs,industrial,meat
fed,farm,livestock,land,chickens,backyard,eggs&meat
fed,farm,livestock,land,chickens,industrial,eggs 
fed,farm,livestock,land,chickens,industrial,meat
unfed,feed,crops,land,fodd,crop,feed
unfed,feed,crops,land,plnt,crop,produce
unfed,feed,crops,land,xpul,crop,produce
unfed,feed,crops,land,cnut,crop,produce
unfed,feed,crops,land,oilp,crop,produce
unfed,feed,crops,land,coco,crop,produce
unfed,feed,crops,land,soyb,crop,produce
unfed,feed,crops,land,sorg,crop,produce
unfed,feed,crops,land,ocer,crop,produce
unfed,feed,crops,land,xoil,crop,produce
unfed,feed,crops,land,sugc,crop,produce
unfed,feed,crops,land,sugb,crop,produce
unfed,feed,crops,land,xmil,crop,produce
unfed,feed,crops,land,rice,crop,produce
unfed,feed,crops,land,barl,crop,produce
unfed,feed,crops,land,whea,crop,produce
unfed,feed,crops,land,spis,crop,produce
unfed,feed,crops,land,pota,crop,produce
unfed,feed,crops,land,yams,crop,produce
unfed,feed,crops,land,vege,crop,produce
unfed,feed,crops,land,xfru,crop,produce
unfed,feed,crops,land,swpo,crop,produce
unfed,feed,crops,land,orts,crop,produce
unfed,feed,crops,land,maiz,crop,produce
unfed,feed,crops,land,cass,crop,produce
unfed,feed,crops,land,bana,crop,produce
unfed,feed,crops,land,tnut,crop,produce
unfed,farm,aquaculture,marine,bivalve,aquaculture,meat
fed,farm,aquaculture,marine,crustaceans,aquaculture,meat
fed,farm,aquaculture,marine,shrimp,aquaculture,meat
fed,farm,aquaculture,marine,marine-fish-general,aquaculture,meat
fed,farm,aquaculture,marine,tuna,aquaculture,meat
fed,farm,aquaculture,marine,salmon,aquaculture,meat
unfed,wildcaught,fisheries,freshwater,fish,fisheries,meat
unfed,feed,fisheries,marine,fofm,fisheries,meat
unfed,wildcaught,fisheries,marine,reef,fisheries,meat
unfed,wildcaught,fisheries,marine,benthic,fisheries,meat
unfed,wildcaught,fisheries,marine,demersal,fisheries,meat
unfed,wildcaught,fisheries,marine,medium-pelagic,fisheries,meat
unfed,wildcaught,fisheries,marine,small-pelagic,fisheries,meat
unfed,wildcaught,fisheries,marine,large-pelagic,fisheries,meat
